date,action,symbol,price,shares
2023-01-03,BUY,NTNX,26.2406,19054.4424
2023-01-03,BUY,PCVX,47.1192,10611.3856
2023-02-01,SELL,NTNX,28.5072,1280.7377
2023-02-01,BUY,PCVX,44.3833,804.5874
2023-03-01,SELL,NTNX,28.4173,536.4841
2023-03-01,BUY,PCVX,41.5775,365.2854
2023-04-03,BUY,PTGX,22.7558,19341.1847
2023-04-03,BUY,NVDA,27.929,15758.6784
2023-04-03,SELL,NTNX,25.1622,17237.2206
2023-04-03,SELL,PCVX,37.9031,11781.2584
2023-05-01,SELL,PTGX,23.5047,26.4577
2023-05-01,SELL,NVDA,28.8586,27.2548
2023-06-01,SELL,PTGX,27.4588,19314.7269
2023-06-01,SELL,NVDA,39.7123,1188.2077
2023-06-01,BUY,RIOT,12.3814,46646.1431
2023-07-03,BUY,NVDA,42.3324,61.6523
2023-07-03,SELL,RIOT,13.33,265.1134
2023-08-01,BUY,NVDA,46.4312,1784.0341
2023-08-01,SELL,RIOT,18.1927,4553.4614
2023-09-01,BUY,MARA,11.962,52371.1178
2023-09-01,SELL,NVDA,48.4003,3445.5257
2023-09-01,SELL,RIOT,10.9935,41827.5683
2023-10-01,SELL,MARA,8.4673,52371.1178
2023-10-01,BUY,PLTR,15.966,31459.1893
2023-10-01,SELL,NVDA,43.4288,1377.8391
2023-11-01,BUY,PDD,102.7556,4653.9163
2023-11-01,BUY,PLTR,14.8976,641.0119
2023-11-01,SELL,NVDA,42.2436,11565.5375
2023-12-01,SELL,PDD,147.2288,148.2378
2023-12-01,SELL,PLTR,20.0099,32100.2012
2023-12-01,BUY,COIN,124.483,5328.9656
2024-01-01,BUY,PDD,146.0406,913.3596
2024-01-01,SELL,COIN,173.739,773.8596
2024-02-01,SELL,PDD,126.3402,5419.038
2024-02-01,BUY,CYTK,81.2479,7819.6186
2024-02-01,SELL,COIN,128.6967,4555.106
2024-02-01,BUY,MARA,18.5621,34227.1399
2024-03-01,SELL,MARA,26.9495,6444.5854
2024-03-01,SELL,CYTK,73.7991,7819.6186
2024-03-01,BUY,SMCI,90.3892,8283.3563
2024-04-01,SELL,MARA,21.5976,27782.5545
2024-04-01,BUY,MSTR,163.4714,4456.9035
2024-04-01,SELL,SMCI,103.6193,1252.077
2024-05-01,SELL,SMCI,73.6893,420.9646
2024-05-01,BUY,MSTR,102.5949,290.9882
2024-06-01,BUY,HOOD,20.8687,29729.7021
2024-06-01,SELL,SMCI,78.3513,6610.3148
2024-06-01,SELL,MSTR,152.2702,673.4225
2024-07-01,SELL,HOOD,22.7458,29729.7021
2024-07-01,BUY,INSM,66.1906,9301.8775
2024-07-01,BUY,MSTR,136.4989,436.1668
2024-08-01,SELL,INSM,75.2669,9301.8775
2024-08-01,BUY,RIVN,15.2171,45344.776
2024-08-01,SELL,MSTR,150.9742,4510.636
2024-08-01,BUY,ARGX,516.8437,1335.0574
2024-09-01,BUY,INSM,76.3253,8694.4993
2024-09-01,SELL,RIVN,14.0988,45344.776
2024-09-01,SELL,ARGX,516.9235,1335.0574
2024-09-01,BUY,ASTS,28.9964,22885.9538
2024-10-01,SELL,INSM,72.8805,8694.4993
2024-10-01,BUY,SMMT,20.0898,29418.6747
2024-10-01,BUY,ASTS,24.0539,1684.5022
2024-11-01,SELL,SMMT,18.9415,29418.6747
2024-11-01,BUY,APP,163.2647,3494.637
2024-11-01,SELL,ASTS,23.8042,601.9605
2024-12-01,BUY,RKLB,25.6314,33207.8173
2024-12-01,SELL,APP,327.9573,899.2904
2024-12-01,SELL,ASTS,23.245,23968.4955
2025-01-01,SELL,RKLB,25.4218,120.2867
2025-01-01,BUY,APP,323.444,5.2414
2025-02-01,SELL,RKLB,29.0164,9.1508
2025-02-01,BUY,APP,368.9757,0.7093
2025-03-01,SELL,RKLB,20.4492,33078.3798
2025-03-01,SELL,APP,325.6508,262.073
2025-03-01,BUY,RGTI,8.4273,90393.1588
2025-04-01,SELL,APP,282.1161,2339.2243
2025-04-01,SELL,RGTI,7.7883,2907.8896
2025-04-01,BUY,OKTA,104.5129,6519.4012
2025-05-01,BUY,CRWV,44.2135,17228.6907
2025-05-01,SELL,RGTI,9.1063,87485.2692
2025-05-01,BUY,OKTA,111.6522,303.0414
2025-06-01,BUY,PLTR,131.7121,9928.2971
2025-06-01,SELL,CRWV,111.0631,5454.5113
2025-06-01,SELL,OKTA,103.0651,6822.4425
2025-07-01,SELL,PLTR,130.4739,9928.2971
2025-07-01,BUY,NVTS,6.2506,250188.7198
2025-07-01,SELL,CRWV,155.7959,1736.498
2025-08-01,BUY,CRDO,107.3786,14108.2663
2025-08-01,SELL,NVTS,7.948,250188.7198
2025-08-01,BUY,CRWV,103.9937,4529.7961
2025-09-01,SELL,CRDO,122.8654,969.5718
2025-09-01,SELL,CRWV,102.8554,14567.4775
2025-09-01,BUY,IREN,26.4302,61077.5158
2025-10-01,SELL,CRDO,144.6826,13138.6945
2025-10-01,BUY,SATS,79.3607,30049.9261
2025-10-01,SELL,IREN,47.0093,10347.4864
2025-11-01,BUY,CIFR,19.0314,134949.1639
2025-11-01,SELL,SATS,73.0902,30049.9261
2025-11-01,SELL,IREN,58.0328,6474.5132
2025-12-01,BUY,SNDK,209.7848,11094.1309
2025-12-01,SELL,CIFR,19.6504,16509.8426
2025-12-01,SELL,IREN,45.3518,44255.5161
2026-01-01,SELL,CIFR,14.7178,118439.3213
2026-01-01,BUY,LITE,368.0671,5932.6689
2026-01-01,SELL,SNDK,236.8641,1875.2571
2026-02-01,BUY,LITE,391.1823,3786.928
2026-02-01,SELL,SNDK,573.4985,2589.1541
2026-03-01,SELL,LITE,701.1201,1856.1234
2026-03-01,BUY,SNDK,635.6599,2043.5337
2026-04-01,SELL,LITE,764.1101,3.3983
2026-04-01,BUY,SNDK,692.4099,0.7458
2026-05-01,BUY,LITE,949.52,1494.4992
2026-05-01,SELL,SNDK,1187.62,1194.8766
2026-06-01,BUY,AAOI,185.5,58309.7886
2026-06-01,SELL,LITE,904.72,9354.5744
2026-06-01,SELL,SNDK,1761.16,1337.4513
