symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PTGX,2023-05-01,23.5047,14181.5609,2023-06-01,27.4588,56075.31,16.82,22
NVDA,2023-05-01,28.8586,1301.9977,2023-06-01,39.7123,14131.49,37.61,22
META,2023-05-01,242.7254,1495.7466,2023-07-03,285.7108,64295.27,17.71,43
RIOT,2023-06-01,12.3814,396.6001,2023-07-03,13.33,376.21,7.66,21
NVDA,2023-05-01,28.8586,22.6096,2023-07-03,42.3324,304.64,46.69,43
RIOT,2023-06-01,12.3814,2745.6087,2023-08-01,18.1927,15955.56,46.94,41
PLTR,2023-07-03,15.4867,841.8216,2023-08-01,19.95,3757.3,28.82,20
NVDA,2023-05-01,28.8586,10225.9646,2023-08-01,46.4312,179696.79,60.89,63
RIOT,2023-06-01,12.3814,29729.2318,2023-09-01,10.9935,-41261.2,-11.21,64
PLTR,2023-07-03,15.4867,27110.5261,2023-09-01,15.1472,-9204.02,-2.19,43
MARA,2023-08-01,16.8048,32184.5541,2023-09-01,11.962,-155863.36,-28.82,23
ADBE,2023-09-01,561.9858,665.2615,2023-10-01,508.9255,-35298.98,-9.44,21
LI,2023-09-01,42.2665,8845.4811,2023-10-01,35.6065,-58910.9,-15.76,21
NVDA,2023-09-01,48.4003,7724.4878,2023-10-01,43.4288,-38402.29,-10.27,21
RIVN,2023-10-01,24.2536,13567.6787,2023-11-01,16.0958,-110682.41,-33.64,31
AFRM,2023-10-01,21.2381,398.8027,2023-11-01,17.5836,-1457.42,-17.21,31
PLTR,2023-10-01,15.966,20610.3628,2023-11-01,14.8976,-22020.11,-6.69,31
AFRM,2023-10-01,21.2381,3491.3244,2023-12-01,34.3484,45772.31,61.73,61
ADBE,2023-11-01,543.4836,488.3855,2023-12-01,609.7141,32346.02,12.19,30
AFRM,2023-10-01,21.2381,1276.7695,2024-01-01,49.0763,35542.97,131.08,92
COIN,2023-12-01,124.483,284.7265,2024-01-01,173.739,14024.49,39.57,31
PDD,2023-11-01,102.7556,2707.1985,2024-01-01,146.0406,117181.09,42.12,61
AFRM,2023-10-01,21.2381,10327.1944,2024-02-01,39.6405,190045.16,86.65,123
COIN,2023-12-01,124.483,2917.1371,2024-02-01,128.6967,12291.94,3.38,62
MARA,2024-01-01,23.4648,320.7743,2024-02-01,18.5621,-1572.66,-20.89,31
CYTK,2024-02-01,81.2479,4861.3187,2024-03-01,73.7991,-36210.99,-9.17,29
AMD,2024-02-01,170.3042,2319.2143,2024-03-01,202.376,74381.38,18.83,29
MARA,2024-01-01,23.4648,21278.4078,2024-03-01,26.9495,74148.87,14.85,60
LUNR,2024-03-01,5.8312,80045.9681,2024-04-01,6.63,63940.72,13.7,31
SMCI,2024-03-01,90.3892,396.7191,2024-04-01,103.6193,5248.63,14.64,31
ARM,2024-03-01,141.4076,3300.8413,2024-04-01,126.7496,-48383.73,-10.37,31
