date,action,symbol,price,shares
2023-05-01,BUY,PTGX,23.5047,14181.5609
2023-05-01,BUY,META,242.7254,1373.294
2023-05-01,BUY,NVDA,28.8586,11550.5719
2023-06-01,SELL,PTGX,27.4588,14181.5609
2023-06-01,BUY,META,272.1012,122.4526
2023-06-01,BUY,RIOT,12.3814,32871.4405
2023-06-01,SELL,NVDA,39.7123,1301.9977
2023-07-03,SELL,META,285.7108,1495.7466
2023-07-03,SELL,RIOT,13.33,396.6001
2023-07-03,BUY,PLTR,15.4867,27952.3477
2023-07-03,SELL,NVDA,42.3324,22.6096
2023-08-01,SELL,RIOT,18.1927,2745.6087
2023-08-01,SELL,PLTR,19.95,841.8216
2023-08-01,SELL,NVDA,46.4312,10225.9646
2023-08-01,BUY,MARA,16.8048,32184.5541
2023-09-01,SELL,RIOT,10.9935,29729.2318
2023-09-01,BUY,NVDA,48.4003,7724.4878
2023-09-01,BUY,ADBE,561.9858,665.2615
2023-09-01,BUY,LI,42.2665,8845.4811
2023-09-01,SELL,PLTR,15.1472,27110.5261
2023-09-01,SELL,MARA,11.962,32184.5541
2023-10-01,BUY,RIVN,24.2536,13567.6787
2023-10-01,BUY,AFRM,21.2381,15494.0909
2023-10-01,SELL,ADBE,508.9255,665.2615
2023-10-01,SELL,LI,35.6065,8845.4811
2023-10-01,BUY,PLTR,15.966,20610.3628
2023-10-01,SELL,NVDA,43.4288,7724.4878
2023-11-01,SELL,RIVN,16.0958,13567.6787
2023-11-01,SELL,AFRM,17.5836,398.8027
2023-11-01,BUY,ADBE,543.4836,488.3855
2023-11-01,SELL,PLTR,14.8976,20610.3628
2023-11-01,BUY,PDD,102.7556,2583.1148
2023-12-01,SELL,AFRM,34.3484,3491.3244
2023-12-01,BUY,COIN,124.483,3201.8636
2023-12-01,SELL,ADBE,609.7141,488.3855
2023-12-01,BUY,PDD,147.2288,124.0837
2024-01-01,SELL,AFRM,49.0763,1276.7695
2024-01-01,SELL,COIN,173.739,284.7265
2024-01-01,BUY,MARA,23.4648,21599.1821
2024-01-01,SELL,PDD,146.0406,2707.1985
2024-02-01,BUY,CYTK,81.2479,4861.3187
2024-02-01,SELL,AFRM,39.6405,10327.1944
2024-02-01,SELL,COIN,128.6967,2917.1371
2024-02-01,BUY,AMD,170.3042,2319.2143
2024-02-01,SELL,MARA,18.5621,320.7743
2024-03-01,BUY,LUNR,5.8312,80045.9681
2024-03-01,SELL,CYTK,73.7991,4861.3187
2024-03-01,BUY,SMCI,90.3892,5163.9361
2024-03-01,BUY,ARM,141.4076,3300.8413
2024-03-01,SELL,AMD,202.376,2319.2143
2024-03-01,SELL,MARA,26.9495,21278.4078
2024-04-01,SELL,LUNR,6.63,80045.9681
2024-04-01,SELL,SMCI,103.6193,396.7191
2024-04-01,BUY,MSTR,163.4714,3021.7866
2024-04-01,SELL,ARM,126.7496,3300.8413
2024-04-01,BUY,HOOD,19.3609,25514.0867
2024-05-01,BUY,SMCI,73.6893,133.5136
2024-05-01,BUY,APP,69.6254,5186.7767
2024-05-01,SELL,MSTR,102.5949,3021.7866
2024-05-01,SELL,HOOD,16.6051,25514.0867
2024-05-01,BUY,NVDA,82.9584,4353.1626
2024-06-01,SELL,SMCI,78.3513,4900.7306
2024-06-01,SELL,APP,81.3877,5186.7767
2024-06-01,BUY,MSTR,152.2702,2803.4401
2024-06-01,BUY,FSLR,271.3623,1573.1013
2024-06-01,SELL,NVDA,109.2758,446.7132
2024-07-01,BUY,INSM,66.1906,6123.8956
2024-07-01,SELL,MSTR,136.4989,2803.4401
2024-07-01,SELL,FSLR,222.3959,1573.1013
2024-07-01,BUY,IREN,12.6011,32167.3762
2024-07-01,SELL,NVDA,124.1235,640.796
2024-08-01,SELL,INSM,75.2669,6123.8956
2024-08-01,BUY,RIVN,15.2171,24400.8814
2024-08-01,BUY,CHTR,376.4445,986.3623
2024-08-01,SELL,IREN,9.2661,32167.3762
2024-08-01,BUY,ARGX,516.8437,718.4196
2024-08-01,SELL,NVDA,109.0861,3265.6534
2024-09-01,BUY,INSM,76.3253,4610.4726
2024-09-01,SELL,RIVN,14.0988,24400.8814
2024-09-01,BUY,RKLB,6.2506,56297.908
2024-09-01,BUY,ASTS,28.9964,12135.8411
2024-09-01,SELL,CHTR,346.809,986.3623
2024-09-01,SELL,ARGX,516.9235,718.4196
2024-10-01,SELL,INSM,72.8805,4610.4726
2024-10-01,SELL,RKLB,9.2062,56297.908
2024-10-01,BUY,SMMT,20.0898,18990.1862
2024-10-01,BUY,ASTS,24.0539,3724.7488
2024-10-01,BUY,APP,130.2943,2928.0563
2024-11-01,BUY,UAL,80.3193,5037.9505
2024-11-01,SELL,SMMT,18.9415,18990.1862
2024-11-01,BUY,MSTR,229.1956,1765.4992
2024-11-01,SELL,ASTS,23.8042,15860.5899
2024-11-01,SELL,APP,163.2647,449.5986
2024-12-01,SELL,UAL,96.1755,5037.9505
2024-12-01,BUY,RKLB,25.6314,25761.0366
2024-12-01,SELL,MSTR,387.8872,63.2223
2024-12-01,SELL,APP,327.9573,465.112
2025-01-01,BUY,LUNR,18.1527,33004.525
2025-01-01,SELL,RKLB,25.4218,2193.8132
2025-01-01,SELL,MSTR,289.2154,1702.2769
2025-01-01,SELL,APP,323.444,161.0274
2025-02-01,SELL,LUNR,21.6474,963.7389
2025-02-01,BUY,RKLB,29.0164,336.4901
2025-02-01,BUY,APP,368.9757,27.4795
2025-03-01,SELL,LUNR,14.5481,32040.7861
