symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
ISRG,2023-05-01,302.6953,1101.2174,2023-06-01,310.0243,8070.82,2.42,22
META,2023-05-01,242.7254,1373.294,2023-06-01,272.1012,40341.61,12.1,22
APP,2023-05-01,16.8347,3600.768,2023-06-01,24.8027,28690.92,47.33,22
APP,2023-05-01,16.8347,16199.6046,2023-07-03,25.8612,146225.73,53.62,42
PLTR,2023-06-01,14.5282,771.4486,2023-07-03,15.4867,739.43,6.6,20
MRVL,2023-06-01,61.0483,6797.8571,2023-08-01,65.8111,32376.83,7.8,39
PLTR,2023-06-01,14.5282,26884.6914,2023-08-01,19.95,145763.42,37.32,39
TSLA,2023-07-03,279.5301,1489.4824,2023-08-01,260.7084,-28034.59,-6.73,19
MSTR,2023-08-01,43.4567,10518.9473,2023-09-01,35.0623,-88300.25,-19.32,23
APP,2023-08-01,31.3729,3150.1382,2023-09-01,43.1252,37021.37,37.46,23
ODFL,2023-08-01,205.9706,2219.3397,2023-09-01,217.4234,25417.65,5.56,23
APP,2023-08-01,31.3729,11420.3586,2023-10-01,39.8801,97155.27,27.12,44
WDC,2023-09-01,45.8711,410.5414,2023-10-01,45.5216,-143.48,-0.76,21
INSM,2023-10-01,25.2021,18651.7894,2023-11-01,24.9226,-5213.18,-1.11,31
PDD,2023-09-01,103.155,4799.8605,2023-11-01,102.7556,-1917.06,-0.39,52
WDC,2023-09-01,45.8711,10326.1806,2023-11-01,41.6774,-43304.9,-9.14,52
MSTR,2023-11-01,42.5251,10877.2987,2023-12-01,49.7273,78340.48,16.94,30
NFLX,2023-11-01,41.94,11029.0466,2023-12-01,47.3529,59699.13,12.91,30
XEL,2023-11-01,60.4392,7653.2816,2023-12-01,60.7487,2368.69,0.51,30
PDD,2023-12-01,147.2288,3454.6277,2024-01-01,146.0406,-4104.79,-0.81,31
SHOP,2023-12-01,72.7108,6995.1188,2024-01-01,77.8031,35621.24,7.0,31
DDOG,2023-12-01,116.4151,4369.0267,2024-01-01,121.2479,21114.63,4.15,31
INSM,2024-01-01,30.9435,16977.7173,2024-02-01,28.4672,-42041.92,-8.0,31
MSTR,2024-01-01,63.0433,8333.1614,2024-02-01,50.2585,-106537.8,-20.28,31
LITE,2024-01-01,52.3713,10031.2575,2024-02-01,56.0658,37060.48,7.05,31
NVDA,2024-02-01,62.9195,7745.3842,2024-03-01,82.1586,149014.22,30.58,29
AMD,2024-02-01,170.3042,2861.5601,2024-03-01,202.376,91775.38,18.83,29
ASML,2024-02-01,889.4438,547.9106,2024-03-01,989.3038,54714.35,11.23,29
ARM,2024-03-01,141.4076,4137.3774,2024-04-01,126.7496,-60645.68,-10.37,31
MSTR,2024-03-01,107.7621,1462.8716,2024-04-01,163.4714,81495.55,51.7,31
PLTR,2024-03-01,24.8926,23503.2344,2024-04-01,22.8057,-49048.9,-8.38,31
MSTR,2024-03-01,107.7621,3966.2784,2024-05-01,102.5949,-20494.55,-4.8,61
MU,2024-04-01,124.1235,5223.6127,2024-05-01,109.5754,-75993.64,-11.72,30
GOOGL,2024-04-01,155.2268,793.7191,2024-05-01,163.6142,6657.24,5.4,30
KDP,2024-05-01,33.31,16617.9236,2024-06-01,34.1787,14435.99,2.61,31
GOOGL,2024-04-01,155.2268,3383.2212,2024-06-01,172.2413,57563.82,10.96,61
GOOG,2024-05-01,165.3416,3347.8752,2024-06-01,173.6292,27745.85,5.01,31
NVDA,2024-06-01,109.2758,5277.8546,2024-07-01,124.1235,78364.0,13.59,30
INSM,2024-06-01,54.9574,10494.3425,2024-07-01,66.1906,117885.05,20.44,30
MSTR,2024-06-01,152.2702,3787.6208,2024-07-01,136.4989,-59735.7,-10.36,30
