date,action,symbol,price,shares,value
2023-05-01,BUY,ISRG,302.6953,1101.2174,333333.33
2023-05-01,BUY,META,242.7254,1373.294,333333.33
2023-05-01,BUY,APP,16.8347,19800.3726,333333.33
2023-06-01,SELL,ISRG,310.0243,1101.2174,341404.16
2023-06-01,BUY,MRVL,61.0483,6581.5745,401793.93
2023-06-01,SELL,META,272.1012,1373.294,373674.94
2023-06-01,SELL,APP,24.8027,3600.768,89308.77
2023-06-01,BUY,PLTR,14.5282,27656.14,401793.93
2023-07-03,BUY,MRVL,61.248,216.2826,13246.88
2023-07-03,SELL,APP,25.8612,16199.6046,418941.22
2023-07-03,SELL,PLTR,15.4867,771.4486,11947.19
2023-07-03,BUY,TSLA,279.5301,1489.4824,416355.15
2023-08-01,SELL,MRVL,65.8111,6797.8571,447374.45
2023-08-01,BUY,MSTR,43.4567,10518.9473,457118.74
2023-08-01,BUY,APP,31.3729,14570.4968,457118.74
2023-08-01,SELL,PLTR,19.95,26884.6914,536349.59
2023-08-01,SELL,TSLA,260.7084,1489.4824,388320.56
2023-08-01,BUY,ODFL,205.9706,2219.3397,457118.74
2023-09-01,SELL,MSTR,35.0623,10518.9473,368818.49
2023-09-01,BUY,PDD,103.155,4774.4196,492505.25
2023-09-01,SELL,APP,43.1252,3150.1382,135850.34
2023-09-01,BUY,WDC,45.8711,10736.722,492505.25
2023-09-01,SELL,ODFL,217.4234,2219.3397,482536.39
2023-10-01,BUY,INSM,25.2021,18651.7894,470064.26
2023-10-01,BUY,PDD,97.9329,25.441,2491.51
2023-10-01,SELL,APP,39.8801,11420.3586,455445.04
2023-10-01,SELL,WDC,45.5216,410.5414,18688.5
2023-11-01,SELL,INSM,24.9226,18651.7894,464851.09
2023-11-01,SELL,PDD,102.7556,4799.8605,493212.55
2023-11-01,BUY,MSTR,42.5251,10877.2987,462558.22
2023-11-01,BUY,NFLX,41.94,11029.0466,462558.22
2023-11-01,SELL,WDC,41.6774,10326.1806,430368.36
2023-11-01,BUY,XEL,60.4392,7653.2816,462558.22
2023-12-01,SELL,MSTR,49.7273,10877.2987,540898.7
2023-12-01,BUY,PDD,147.2288,3454.6277,508620.69
2023-12-01,BUY,SHOP,72.7108,6995.1188,508620.69
2023-12-01,SELL,NFLX,47.3529,11029.0466,522257.34
2023-12-01,BUY,DDOG,116.4151,4369.0267,508620.69
2023-12-01,SELL,XEL,60.7487,7653.2816,464926.91
2024-01-01,BUY,MSTR,63.0433,8333.1614,525350.0
2024-01-01,SELL,PDD,146.0406,3454.6277,504515.9
2024-01-01,SELL,SHOP,77.8031,6995.1188,544241.93
2024-01-01,SELL,DDOG,121.2479,4369.0267,529735.32
2024-01-01,BUY,LITE,52.3713,10031.2575,525350.0
2024-01-01,BUY,INSM,30.9435,16977.7173,525350.0
2024-02-01,BUY,NVDA,62.9195,7745.3842,487335.7
2024-02-01,SELL,INSM,28.4672,16977.7173,483308.07
2024-02-01,SELL,MSTR,50.2585,8333.1614,418812.19
2024-02-01,BUY,AMD,170.3042,2861.5601,487335.7
2024-02-01,SELL,LITE,56.0658,10031.2575,562410.48
2024-02-01,BUY,ASML,889.4438,547.9106,487335.7
2024-03-01,SELL,NVDA,82.1586,7745.3842,636349.93
2024-03-01,SELL,AMD,202.376,2861.5601,579111.09
2024-03-01,BUY,ARM,141.4076,4137.3774,585056.61
2024-03-01,BUY,MSTR,107.7621,5429.1501,585056.61
2024-03-01,BUY,PLTR,24.8926,23503.2344,585056.61
2024-03-01,SELL,ASML,989.3038,547.9106,542050.06
2024-04-01,BUY,GOOGL,155.2268,4176.9404,648373.09
2024-04-01,SELL,ARM,126.7496,4137.3774,524410.94
2024-04-01,SELL,MSTR,163.4714,1462.8716,239137.67
2024-04-01,BUY,MU,124.1235,5223.6127,648373.09
2024-04-01,SELL,PLTR,22.8057,23503.2344,536007.71
2024-05-01,SELL,MSTR,102.5949,3966.2784,406919.94
2024-05-01,SELL,MU,109.5754,5223.6127,572379.45
2024-05-01,BUY,KDP,33.31,16617.9236,553543.04
2024-05-01,SELL,GOOGL,163.6142,793.7191,129863.72
2024-05-01,BUY,GOOG,165.3416,3347.8752,553543.04
2024-06-01,BUY,NVDA,109.2758,5277.8546,576741.78
2024-06-01,BUY,INSM,54.9574,10494.3425,576741.78
2024-06-01,BUY,MSTR,152.2702,3787.6208,576741.78
2024-06-01,SELL,KDP,34.1787,16617.9236,567979.03
