symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
AXON,2023-04-12,223.9735,4461.2405,2023-05-02,215.686,-36972.53,-3.7,14
AMD,2023-05-03,83.185,11548.7982,2023-05-16,97.3438,163517.12,17.02,9
APP,2023-05-17,24.5032,45806.4504,2023-05-23,24.7728,12349.42,1.1,4
META,2023-05-24,244.9021,4626.0848,2023-05-31,259.59,67947.47,6.0,4
PLTR,2023-06-01,14.3584,83502.582,2023-06-21,15.6864,110891.43,9.25,13
NVDA,2023-06-22,42.1846,31000.8584,2023-07-11,42.4043,6810.89,0.52,11
PLTR,2023-07-12,16.6949,78614.7908,2023-07-18,17.7334,81641.46,6.22,4
NVDA,2023-07-19,47.4098,29358.4184,2023-07-25,44.8646,-74723.05,-5.37,3
PLTR,2023-07-26,16.3954,80208.2254,2023-08-15,15.6165,-62474.19,-4.75,14
NVDA,2023-08-16,44.3853,28175.2571,2023-09-19,43.7293,-18482.97,-1.48,23
PLTR,2023-09-20,15.2271,80784.4247,2023-09-26,13.9191,-105666.03,-8.59,4
PDD,2023-09-27,94.1286,11926.7344,2023-10-03,97.4935,40132.27,3.57,4
PLTR,2023-10-04,15.3569,75595.8639,2023-10-24,16.4852,85294.81,7.35,12
PDD,2023-10-25,106.8295,11646.7698,2023-11-07,106.2803,-6396.41,-0.51,8
PLTR,2023-11-08,18.7418,65940.3715,2023-11-28,19.1912,29633.6,2.4,13
PDD,2023-11-29,139.121,9081.6607,2024-01-17,136.3352,-25299.69,-2.0,27
CRWD,2024-01-18,281.8067,4386.5833,2024-03-05,305.1217,102273.19,8.27,32
NVDA,2024-03-06,87.7282,15232.2739,2024-03-26,95.5564,119241.29,8.92,14
MSTR,2024-03-27,195.2098,7444.3612,2024-04-16,130.1565,-484280.26,-33.32,13
ARM,2024-04-17,121.3577,7971.319,2024-04-23,96.8745,-195163.4,-20.17,4
NVDA,2024-04-24,83.89,9190.3801,2024-07-09,130.2543,426105.54,55.27,47
ARM,2024-07-10,182.7355,6540.4408,2024-07-16,179.5403,-20898.02,-1.75,4
NVDA,2024-07-17,120.9783,9690.9394,2024-07-23,122.7556,17223.71,1.47,4
ARM,2024-07-24,165.8409,7161.7629,2024-08-06,115.0372,-363844.06,-30.63,9
NVDA,2024-08-07,107.2888,7666.6905,2024-08-13,112.1515,37280.82,4.53,4
PLTR,2024-08-14,30.6939,27968.235,2024-08-20,32.4213,48312.33,5.63,4
NVDA,2024-08-21,127.0292,7126.825,2024-09-04,104.9024,-157693.83,-17.42,9
PLTR,2024-09-05,30.3145,24622.6659,2024-09-24,37.4537,175786.14,23.55,13
APP,2024-09-25,127.9578,7195.6035,2025-02-11,379.2303,1808057.27,196.37,88
PLTR,2025-02-12,110.2643,24708.1447,2025-02-19,124.443,350329.37,12.86,4
APP,2025-02-20,488.2764,6287.0906,2025-03-11,237.1437,-1578894.05,-51.43,13
PLTR,2025-05-14,128.7166,11564.6182,2025-08-19,173.5093,518010.47,34.8,64
AMD,2025-08-20,165.4314,12109.907,2025-09-03,161.9067,-42683.79,-2.13,9
PLTR,2025-09-04,154.5678,12664.5945,2025-09-09,155.736,14794.78,0.76,3
AVGO,2025-09-10,338.6213,5815.2812,2025-09-16,363.9931,147544.15,7.49,4
APP,2025-09-17,601.5563,3513.1145,2025-09-23,638.6406,130281.39,6.16,4
WDC,2025-09-24,110.5738,20258.2226,2025-10-07,126.5898,324455.69,14.48,9
SNDK,2025-10-08,121.128,21137.8249,2026-03-24,689.0,12003578.91,468.82,111
