date,equity
2021-05-24,1000000.0
2021-05-25,1000000.0
2021-05-26,999199.6402877698
2021-05-27,1013901.5711926308
2021-05-28,1005481.38795408
2021-06-01,1009758.3268606365
2021-06-02,1022972.0222962355
2021-06-03,1022153.2996565105
2021-06-04,1048160.2622619526
2021-06-07,1041564.7351788726
2021-06-08,1017439.9966790869
2021-06-09,1016625.6961221893
2021-06-10,1020535.1090204174
2021-06-11,1043976.9020110683
2021-06-14,1055309.4466029098
2021-06-15,1041824.5726998262
2021-06-16,1043098.1920756053
2021-06-17,1092704.7812144868
2021-06-18,1091621.4985488006
2021-06-21,1079234.1433315342
2021-06-22,1106145.938205358
2021-06-23,1116131.665617127
2021-06-24,1124814.0685717422
2021-06-25,1114594.511726962
2021-06-28,1170467.6399948304
2021-06-29,1172912.7605232466
2021-06-30,1171492.2971602934
2021-07-01,1183762.4013771145
2021-07-02,1199868.3844039296
2021-07-06,1212255.5154319024
2021-07-07,1193118.4931583824
2021-07-08,1165650.372552998
2021-07-09,1174289.0585954008
2021-07-12,1201361.8213818823
2021-07-13,1185987.92849265
2021-07-14,1162063.1196693787
2021-07-15,1110801.9014505926
2021-07-16,1063640.6570294206
2021-07-19,1099879.2869817247
2021-07-20,1090054.527482614
2021-07-21,1136791.0452874484
2021-07-22,1147567.8246209626
2021-07-23,1145459.2122219326
2021-07-26,1129997.5492243357
2021-07-27,1124059.7198189269
2021-07-28,1123160.1916655945
2021-07-29,1128334.8362121058
2021-07-30,1137910.9531087712
2021-08-02,1132628.9968353482
2021-08-03,1137450.0271181045
2021-08-04,1136539.7952818791
2021-08-05,1156889.2574495317
2021-08-06,1141697.196895678
2021-08-09,1137717.5600633277
2021-08-10,1117591.9129028812
2021-08-11,1104305.498726299
2021-08-12,1115854.2887218152
2021-08-13,1131718.7599420932
2021-08-16,1118376.767542245
2021-08-17,1089921.9549509732
2021-08-18,1089049.71517883
2021-08-19,1091787.0212203504
2021-08-20,1101788.975882715
2021-08-23,1145165.6135761724
2021-08-24,1132466.2445199713
2021-08-25,1131559.9965227533
2021-08-26,1124173.4744539508
2021-08-27,1153108.2441788518
2021-08-30,1155757.096232247
2021-08-31,1140523.0769581415
2021-09-01,1143376.1893564963
2021-09-02,1141083.3060474675
2021-09-03,1163858.1882620086
2021-09-07,1154636.4430556525
2021-09-08,1138179.2016871013
2021-09-09,1129925.4262682197
2021-09-10,1145261.4294663481
2021-09-13,1128651.4072097053
2021-09-14,1133237.0763287917
2021-09-15,1138281.0881121526
2021-09-16,1133237.0763287917
2021-09-17,1115811.865172766
2021-09-20,1075714.2432210788
2021-09-21,1081623.721654819
2021-09-22,1080758.115162689
2021-09-23,1097061.3875583152
2021-09-24,1113682.5139991173
2021-09-27,1103623.5456466356
2021-09-28,1081621.040042692
2021-09-29,1074173.2977604873
2021-09-30,1087638.2312379922
2021-10-01,1104690.716176989
2021-10-04,1066157.929271381
2021-10-05,1079895.2942244927
2021-10-06,1103827.8952387925
2021-10-07,1120971.2253169273
2021-10-08,1118950.38870924
2021-10-11,1134890.2805483143
2021-10-12,1147219.8576702091
2021-10-13,1145516.8751076977
2021-10-14,1142088.2506687935
2021-10-15,1153146.307668178
2021-10-18,1169767.3301671734
2021-10-19,1162750.1114427524
2021-10-20,1161819.655718178
2021-10-21,1191167.1309497054
2021-10-22,1196058.3514357673
2021-10-25,1221412.960978486
2021-10-26,1226120.0876179582
2021-10-27,1225138.976436809
2021-10-28,1271388.890095358
2021-10-29,1315018.2454961846
2021-11-01,1426676.7442557863
2021-11-02,1383484.11254019
2021-11-03,1432897.652142253
2021-11-04,1451843.8517299774
2021-11-05,1442612.7818032454
2021-11-08,1372789.2995813482
2021-11-09,1207220.1493585277
2021-11-10,1206254.1460416946
2021-11-11,1244375.3418915889
2021-11-12,1244375.3418915889
2021-11-15,1229429.820302114
2021-11-16,1236718.5221772147
2021-11-17,1198146.5426045996
2021-11-18,1296992.2158836897
2021-11-19,1350632.658061067
2021-11-22,1308498.2098714726
2021-11-23,1299899.469223529
2021-11-24,1337898.0374832866
2021-11-26,1289949.6311080265
2021-11-29,1366643.5117371245
2021-11-30,1337979.8414475697
2021-12-01,1287322.501496455
2021-12-02,1315620.5613479402
2021-12-03,1256936.2465796995
2021-12-06,1230072.028435508
2021-12-07,1326883.431523443
2021-12-08,1325821.7741041598
2021-12-09,1307522.8936374267
2021-12-10,1292854.3174931807
2021-12-13,1257562.717483222
2021-12-14,1238682.6320479363
2021-12-15,1283413.9929108587
2021-12-16,1213993.3155739177
2021-12-17,1220383.6388353314
2021-12-20,1222416.5596477408
2021-12-21,1253350.9827004387
2021-12-22,1282252.4849407272
2021-12-23,1273393.3653269575
2021-12-27,1318850.8096035519
2021-12-28,1277895.6462210815
2021-12-29,1285883.4657384446
2021-12-30,1269907.9394495895
2021-12-31,1270633.9101173899
2022-01-03,1298808.9907063914
2022-01-04,1282386.26171653
2022-01-05,1281360.173577668
2022-01-06,1253780.9795497877
2022-01-07,1209338.7474884966
2022-01-10,1246032.447426298
2022-01-11,1253427.6807259412
2022-01-12,1302674.5396058839
2022-01-13,1214755.636748596
2022-01-14,1236011.137608115
2022-01-18,1213519.1447709654
2022-01-19,1172468.3442329399
2022-01-20,1173198.4448234458
2022-01-21,1111528.0166218264
2022-01-24,1095159.5106924693
2022-01-25,1080633.2498336474
2022-01-26,1079768.435085579
2022-01-27,1042267.6691433188
2022-01-28,1078540.0934369976
2022-01-31,1136407.9431032827
2022-02-01,1145266.1489003147
2022-02-02,1216841.053323678
2022-02-03,1158003.58644087
2022-02-04,1160395.6431212632
2022-02-07,1132075.7801299212
2022-02-08,1153781.0116622644
2022-02-09,1152857.725481879
2022-02-10,1125651.8978738303
2022-02-11,1102892.9747739339
2022-02-14,1104462.4045188506
2022-02-15,1129128.5312979391
2022-02-16,1128224.9513368697
2022-02-17,1069778.717766325
2022-02-18,1033407.8032720843
2022-02-22,1019133.7920349997
2022-02-23,1022814.7746561993
2022-02-24,1021996.1777140282
2022-02-25,1036607.7200709066
2022-02-28,1022341.3803288658
2022-03-01,991633.2171964957
2022-03-02,990839.5455600477
2022-03-03,976114.6789951652
2022-03-04,949048.1265797967
2022-03-07,908192.9766471693
2022-03-08,893245.5956362654
2022-03-09,892530.571179322
2022-03-10,875139.4059060032
2022-03-11,882466.062091211
2022-03-14,883854.3420755288
2022-03-15,892916.2306415418
2022-03-16,893340.2611706596
2022-03-17,909497.1683253876
2022-03-18,911001.1663083014
2022-03-21,911271.1749716921
2022-03-22,911119.0165686721
2022-03-23,910389.7048048284
2022-03-24,937699.6262869246
2022-03-25,938061.2858759715
2022-03-28,942356.7696634687
2022-03-29,928439.7204487689
2022-03-30,927696.5631982104
2022-03-31,913797.9866355842
2022-04-01,919725.4280784233
2022-04-04,971334.3608593775
2022-04-05,925381.5312215765
2022-04-06,886797.8460953322
2022-04-07,896549.7989313413
2022-04-08,869608.9723999477
2022-04-11,827582.4351312504
2022-04-12,836256.7998263023
2022-04-13,835587.3299623325
2022-04-14,834597.700419043
2022-04-18,822907.1860540772
2022-04-19,839451.9726941471
2022-04-20,838779.9487351591
2022-04-21,793007.8579376659
2022-04-22,765654.4876272834
2022-04-25,803362.5398843589
2022-04-26,777368.2289297138
2022-04-27,776745.8322639028
2022-04-28,743464.4807095845
2022-04-29,728041.3038840762
2022-05-02,720954.1073902182
2022-05-03,724338.1913542796
2022-05-04,723758.1848064346
2022-05-05,708393.9245163184
2022-05-06,693303.1286564344
2022-05-09,665582.0188615762
2022-05-10,671986.9182454158
2022-05-11,671448.7592380254
2022-05-12,682833.0526726058
2022-05-13,679149.9003445264
2022-05-16,685928.3204981243
2022-05-18,685928.3204981243
2022-05-19,688797.4229315033
