symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
NVDA,2021-06-28,19.5785,51035.4955,2021-07-27,18.8173,-38848.17,-3.89,20
INTU,2021-07-28,511.8256,1873.3219,2021-08-03,518.753,12977.17,1.35,4
NVDA,2021-08-04,19.8616,48849.7223,2021-08-17,19.0622,-39050.69,-4.02,9
AMD,2021-08-18,105.6059,8803.4276,2021-08-24,109.9041,37838.48,4.07,4
NVDA,2021-08-25,21.7612,44390.1861,2021-09-21,20.8175,-41889.2,-4.34,18
PANW,2021-09-22,74.2863,12419.7227,2021-10-19,79.9861,70790.04,7.67,19
AMD,2021-10-20,118.8271,8346.709,2021-10-26,125.504,55730.5,5.62,4
TSLA,2021-10-27,338.6368,3088.4685,2021-11-09,333.9513,-14470.86,-1.38,9
NVDA,2021-11-10,28.8649,35674.6953,2021-12-07,31.777,103885.79,10.09,18
MRVL,2021-12-08,90.7308,12474.4659,2022-01-04,87.8287,-36202.39,-3.2,18
TSLA,2022-01-05,355.0358,3080.9928,2022-01-25,299.6589,-170615.72,-15.6,13
TSLA,2022-04-06,341.2144,2701.4362,2022-04-12,322.0257,-51837.16,-5.62,4
CDNS,2022-08-10,188.8299,4599.5842,2022-08-23,183.4747,-24631.69,-2.84,9
AXON,2023-02-08,185.6711,4537.8961,2023-02-22,189.5053,17399.2,2.07,9
ABNB,2023-02-23,128.0277,6706.1935,2023-02-28,124.8624,-21227.11,-2.47,3
AXON,2023-03-01,206.7394,4043.79,2023-05-02,215.686,36178.17,4.33,43
AMD,2023-05-03,83.185,10468.1434,2023-05-16,97.3438,148216.35,17.02,9
APP,2023-05-17,24.5032,41520.1994,2023-05-23,24.7728,11193.85,1.1,4
META,2023-05-24,244.9021,4193.207,2023-05-31,259.59,61589.41,6.0,4
PLTR,2023-06-01,14.3584,75688.9608,2023-06-21,15.6864,100514.94,9.25,13
NVDA,2023-06-22,42.1846,28099.998,2023-07-11,42.4043,6173.57,0.52,11
PLTR,2023-07-12,16.6949,71258.5144,2023-07-18,17.7334,74001.97,6.22,4
NVDA,2023-07-19,47.4098,26611.2388,2023-07-25,44.8646,-67730.92,-5.37,3
PLTR,2023-07-26,16.3954,72702.8232,2023-08-15,15.6165,-56628.23,-4.75,14
NVDA,2023-08-16,44.3853,25538.7822,2023-09-19,43.7293,-16753.44,-1.48,23
PLTR,2023-09-20,15.2271,73225.081,2023-09-26,13.9191,-95778.41,-8.59,4
PDD,2023-09-27,94.1286,10810.6969,2023-10-03,97.4935,36376.91,3.57,4
PLTR,2023-10-04,15.3569,68522.0112,2023-10-24,16.4852,77313.39,7.35,12
PDD,2023-10-25,106.8295,10556.9262,2023-11-07,106.2803,-5797.86,-0.51,8
PLTR,2023-11-08,18.7418,59770.0077,2023-11-28,19.1912,26860.64,2.4,13
PDD,2023-11-29,139.121,8231.8438,2024-01-17,136.3352,-22932.27,-2.0,27
CRWD,2024-01-18,281.8067,3976.1079,2024-03-05,305.1217,92702.96,8.27,32
NVDA,2024-03-06,87.7282,13806.9087,2024-03-26,95.5564,108083.24,8.92,14
MSTR,2024-03-27,195.2098,6747.7516,2024-04-16,130.1565,-438963.51,-33.32,13
ARM,2024-04-17,121.3577,7225.3976,2024-04-23,96.8745,-176900.85,-20.17,4
NVDA,2024-04-24,83.89,8330.382,2024-07-09,130.2543,386232.33,55.27,47
ARM,2024-07-10,182.7355,5928.4121,2024-07-16,179.5403,-18942.46,-1.75,4
NVDA,2024-07-17,120.9783,8784.0979,2024-07-23,122.7556,15611.98,1.47,4
ARM,2024-07-24,165.8409,6491.5911,2024-08-06,115.0372,-329796.85,-30.63,9
NVDA,2024-08-07,107.2888,6949.2676,2024-08-13,112.1515,33792.2,4.53,4
PLTR,2024-08-14,30.6939,25351.0564,2024-08-20,32.4213,43791.41,5.63,4
NVDA,2024-08-21,127.0292,6459.9178,2024-09-04,104.9024,-142937.31,-17.42,9
PLTR,2024-09-05,30.3145,22318.5438,2024-09-24,37.4537,159336.55,23.55,13
APP,2024-09-25,127.9578,6522.257,2025-02-11,379.2303,1638863.82,196.37,88
PLTR,2025-02-12,110.2643,22396.017,2025-02-19,124.443,317546.41,12.86,4
APP,2025-02-20,488.2764,5698.7597,2025-03-11,237.1437,-1431144.91,-51.43,13
PLTR,2025-05-14,128.7166,10482.4274,2025-08-19,173.5093,469536.22,34.8,64
AMD,2025-08-20,165.4314,10976.6881,2025-09-03,161.9067,-38689.53,-2.13,9
PLTR,2025-09-04,154.5678,11479.468,2025-09-09,155.736,13410.31,0.76,3
AVGO,2025-09-10,338.6213,5271.0987,2025-09-16,363.9931,133737.26,7.49,4
APP,2025-09-17,601.5563,3184.3639,2025-09-23,638.6406,118089.91,6.16,4
WDC,2025-09-24,110.5738,18362.4947,2025-10-07,126.5898,294093.72,14.48,9
SNDK,2025-10-08,121.128,19159.7839,2026-03-24,689.0,10880304.78,468.82,111
