date,action,symbol,price,shares
2021-06-28,BUY,NVDA,19.5785,51035.4955
2021-07-27,SELL,NVDA,18.8173,51035.4955
2021-07-28,BUY,INTU,511.8256,1873.3219
2021-08-03,SELL,INTU,518.753,1873.3219
2021-08-04,BUY,NVDA,19.8616,48849.7223
2021-08-17,SELL,NVDA,19.0622,48849.7223
2021-08-18,BUY,AMD,105.6059,8803.4276
2021-08-24,SELL,AMD,109.9041,8803.4276
2021-08-25,BUY,NVDA,21.7612,44390.1861
2021-09-21,SELL,NVDA,20.8175,44390.1861
2021-09-22,BUY,PANW,74.2863,12419.7227
2021-10-19,SELL,PANW,79.9861,12419.7227
2021-10-20,BUY,AMD,118.8271,8346.709
2021-10-26,SELL,AMD,125.504,8346.709
2021-10-27,BUY,TSLA,338.6368,3088.4685
2021-11-09,SELL,TSLA,333.9513,3088.4685
2021-11-10,BUY,NVDA,28.8649,35674.6953
2021-12-07,SELL,NVDA,31.777,35674.6953
2021-12-08,BUY,MRVL,90.7308,12474.4659
2022-01-04,SELL,MRVL,87.8287,12474.4659
2022-01-05,BUY,TSLA,355.0358,3080.9928
2022-01-25,SELL,TSLA,299.6589,3080.9928
2022-04-06,BUY,TSLA,341.2144,2701.4362
2022-04-12,SELL,TSLA,322.0257,2701.4362
2022-08-10,BUY,CDNS,188.8299,4599.5842
2022-08-23,SELL,CDNS,183.4747,4599.5842
2023-02-08,BUY,AXON,185.6711,4537.8961
2023-02-22,SELL,AXON,189.5053,4537.8961
2023-02-23,BUY,ABNB,128.0277,6706.1935
2023-02-28,SELL,ABNB,124.8624,6706.1935
2023-03-01,BUY,AXON,206.7394,4043.79
2023-05-02,SELL,AXON,215.686,4043.79
2023-05-03,BUY,AMD,83.185,10468.1434
2023-05-16,SELL,AMD,97.3438,10468.1434
2023-05-17,BUY,APP,24.5032,41520.1994
2023-05-23,SELL,APP,24.7728,41520.1994
2023-05-24,BUY,META,244.9021,4193.207
2023-05-31,SELL,META,259.59,4193.207
2023-06-01,BUY,PLTR,14.3584,75688.9608
2023-06-21,SELL,PLTR,15.6864,75688.9608
2023-06-22,BUY,NVDA,42.1846,28099.998
2023-07-11,SELL,NVDA,42.4043,28099.998
2023-07-12,BUY,PLTR,16.6949,71258.5144
2023-07-18,SELL,PLTR,17.7334,71258.5144
2023-07-19,BUY,NVDA,47.4098,26611.2388
2023-07-25,SELL,NVDA,44.8646,26611.2388
2023-07-26,BUY,PLTR,16.3954,72702.8232
2023-08-15,SELL,PLTR,15.6165,72702.8232
2023-08-16,BUY,NVDA,44.3853,25538.7822
2023-09-19,SELL,NVDA,43.7293,25538.7822
2023-09-20,BUY,PLTR,15.2271,73225.081
2023-09-26,SELL,PLTR,13.9191,73225.081
2023-09-27,BUY,PDD,94.1286,10810.6969
2023-10-03,SELL,PDD,97.4935,10810.6969
2023-10-04,BUY,PLTR,15.3569,68522.0112
2023-10-24,SELL,PLTR,16.4852,68522.0112
2023-10-25,BUY,PDD,106.8295,10556.9262
2023-11-07,SELL,PDD,106.2803,10556.9262
2023-11-08,BUY,PLTR,18.7418,59770.0077
2023-11-28,SELL,PLTR,19.1912,59770.0077
2023-11-29,BUY,PDD,139.121,8231.8438
2024-01-17,SELL,PDD,136.3352,8231.8438
2024-01-18,BUY,CRWD,281.8067,3976.1079
2024-03-05,SELL,CRWD,305.1217,3976.1079
2024-03-06,BUY,NVDA,87.7282,13806.9087
2024-03-26,SELL,NVDA,95.5564,13806.9087
2024-03-27,BUY,MSTR,195.2098,6747.7516
2024-04-16,SELL,MSTR,130.1565,6747.7516
2024-04-17,BUY,ARM,121.3577,7225.3976
2024-04-23,SELL,ARM,96.8745,7225.3976
2024-04-24,BUY,NVDA,83.89,8330.382
2024-07-09,SELL,NVDA,130.2543,8330.382
2024-07-10,BUY,ARM,182.7355,5928.4121
2024-07-16,SELL,ARM,179.5403,5928.4121
2024-07-17,BUY,NVDA,120.9783,8784.0979
2024-07-23,SELL,NVDA,122.7556,8784.0979
2024-07-24,BUY,ARM,165.8409,6491.5911
2024-08-06,SELL,ARM,115.0372,6491.5911
2024-08-07,BUY,NVDA,107.2888,6949.2676
2024-08-13,SELL,NVDA,112.1515,6949.2676
2024-08-14,BUY,PLTR,30.6939,25351.0564
2024-08-20,SELL,PLTR,32.4213,25351.0564
2024-08-21,BUY,NVDA,127.0292,6459.9178
2024-09-04,SELL,NVDA,104.9024,6459.9178
2024-09-05,BUY,PLTR,30.3145,22318.5438
2024-09-24,SELL,PLTR,37.4537,22318.5438
2024-09-25,BUY,APP,127.9578,6522.257
2025-02-11,SELL,APP,379.2303,6522.257
2025-02-12,BUY,PLTR,110.2643,22396.017
2025-02-19,SELL,PLTR,124.443,22396.017
2025-02-20,BUY,APP,488.2764,5698.7597
2025-03-11,SELL,APP,237.1437,5698.7597
2025-05-14,BUY,PLTR,128.7166,10482.4274
2025-08-19,SELL,PLTR,173.5093,10482.4274
2025-08-20,BUY,AMD,165.4314,10976.6881
2025-09-03,SELL,AMD,161.9067,10976.6881
2025-09-04,BUY,PLTR,154.5678,11479.468
2025-09-09,SELL,PLTR,155.736,11479.468
2025-09-10,BUY,AVGO,338.6213,5271.0987
2025-09-16,SELL,AVGO,363.9931,5271.0987
2025-09-17,BUY,APP,601.5563,3184.3639
2025-09-23,SELL,APP,638.6406,3184.3639
2025-09-24,BUY,WDC,110.5738,18362.4947
2025-10-07,SELL,WDC,126.5898,18362.4947
2025-10-08,BUY,SNDK,121.128,19159.7839
2026-03-24,SELL,SNDK,689.0,19159.7839
2026-04-15,BUY,SNDK,934.4199,14104.9909
