date,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,999199.6402877698
2021-01-07,1078582.6180675635
2021-01-08,1163146.7253604685
2021-01-11,1072172.231044872
2021-01-12,1122728.3124980931
2021-01-13,1129297.3407173255
2021-01-14,1116859.7983038605
2021-01-15,1091958.454789173
2021-01-19,1116265.0450765544
2021-01-20,1124063.2703014782
2021-01-21,1116846.608456093
2021-01-22,1119027.4106254738
2021-01-25,1164177.7116263174
2021-01-26,1167204.4791694714
2021-01-27,1142184.185009323
2021-01-28,1104210.855302785
2021-01-29,1048830.556776725
2021-02-01,1110000.1094026363
2021-02-02,1153590.6201491617
2021-02-03,1129667.3825014764
2021-02-04,1123455.2062186275
2021-02-05,1126415.9035151673
2021-02-08,1141206.0791423211
2021-02-09,1122754.6921936276
2021-02-10,1063752.8728971076
2021-02-11,1072793.48497549
2021-02-12,1078688.3788652574
2021-02-16,1052386.0073005706
2021-02-17,1054936.8512541023
2021-02-18,1040701.8593109522
2021-02-19,1032665.7327951061
2021-02-22,944374.404437936
2021-02-23,922936.2041571888
2021-02-24,922197.4462002286
2021-02-25,888392.0456094778
2021-02-26,919642.8567229678
2021-03-01,951149.1137910023
2021-03-02,944856.786777559
2021-03-03,944100.5063724611
2021-03-04,893457.4680230345
2021-03-05,942193.6048284671
2021-03-08,901085.8201184252
2021-03-09,945355.6862514724
2021-03-10,945355.6862514724
2021-03-11,945355.6862514724
2021-03-12,945355.6862514724
2021-03-15,945355.6862514724
2021-03-16,945355.6862514724
2021-03-17,945355.6862514724
2021-03-18,945355.6862514724
2021-03-19,945355.6862514724
2021-03-22,945355.6862514724
2021-03-23,945355.6862514724
2021-03-24,945355.6862514724
2021-03-25,945355.6862514724
2021-03-26,945355.6862514724
2021-03-29,945355.6862514724
2021-03-30,945355.6862514724
2021-03-31,945355.6862514724
2021-04-01,945355.6862514724
2021-04-05,945355.6862514724
2021-04-06,945355.6862514724
2021-04-07,944599.0070458358
2021-04-08,946024.4638170238
2021-04-09,943037.1740004114
2021-04-12,916492.7228067667
2021-04-13,917171.898299493
2021-04-14,910654.6276829166
2021-04-15,912487.3732794638
2021-04-16,907871.3611019676
2021-04-19,888590.8947439144
2021-04-20,872976.6231073542
2021-04-21,916832.797611252
2021-04-22,894429.152220472
2021-04-23,915542.5265277798
