symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
TSLA,2021-01-06,246.6639,4050.8543,2021-02-23,228.0201,-75523.5,-7.56,32
CRWD,2021-02-24,204.771,4503.5555,2021-03-02,209.9706,23416.83,2.54,4
MU,2021-03-03,89.3945,10561.0618,2021-03-09,89.5851,2013.07,0.21,4
AMAT,2021-04-07,139.1087,6790.3649,2021-05-18,121.7826,-117650.73,-12.46,29
WDC,2021-05-26,76.2797,10823.6371,2021-06-02,78.1571,20320.36,2.46,4
AMAT,2021-06-03,136.5878,6183.4972,2021-06-08,136.0669,-3220.61,-0.38,3
NVDA,2021-06-09,17.0052,49397.9897,2021-07-27,18.8173,89515.56,10.66,33
INTU,2021-07-28,511.8256,1813.2151,2021-08-03,518.753,12560.79,1.35,4
NVDA,2021-08-04,19.8616,47282.3419,2021-08-17,19.0622,-37797.72,-4.02,9
AMD,2021-08-18,105.6059,8520.9624,2021-08-24,109.9041,36624.4,4.07,4
NVDA,2021-08-25,21.7612,42965.8873,2021-09-21,20.8175,-40545.14,-4.34,18
PANW,2021-09-22,74.2863,12021.2239,2021-10-19,79.9861,68518.67,7.67,19
AMD,2021-10-20,118.8271,8078.8962,2021-10-26,125.504,53942.33,5.62,4
TSLA,2021-10-27,338.6368,2989.3716,2021-11-09,333.9513,-14006.55,-1.38,9
NVDA,2021-11-10,28.8649,34530.0317,2021-12-07,31.777,100552.49,10.09,18
MRVL,2021-12-08,90.7308,12074.2075,2022-01-04,87.8287,-35040.79,-3.2,18
TSLA,2022-01-05,355.0358,2982.1352,2022-01-25,299.6589,-165141.3,-15.6,13
QCOM,2022-01-26,161.8509,5512.4359,2022-02-08,173.0836,61919.34,6.94,9
AAPL,2022-02-09,170.2804,5594.2128,2022-02-15,166.9092,-18859.18,-1.98,4
PANW,2022-02-16,82.1587,11346.7135,2022-02-23,74.5423,-86420.95,-9.27,4
MU,2022-02-24,89.3333,9452.8657,2022-03-01,86.7487,-24431.48,-2.89,3
PANW,2022-03-02,90.8442,9012.2603,2022-03-08,81.962,-80048.2,-9.78,4
AMGN,2022-03-09,229.3991,3214.8335,2022-03-22,234.3645,15962.84,2.16,9
PANW,2022-03-23,94.2746,7979.2009,2022-03-29,96.2209,15529.4,2.06,4
TSLA,2022-03-30,356.9511,2147.4549,2022-04-12,322.0257,-75000.71,-9.78,9
COST,2022-04-13,511.4832,1349.8548,2022-04-19,514.2609,3749.44,0.54,3
PANW,2022-04-20,97.7286,7091.7418,2022-04-26,90.6459,-50228.08,-7.25,4
AMGN,2022-04-27,246.5748,2602.8935,2022-05-03,230.1226,-42823.26,-6.67,4
TMUS,2022-05-04,130.8086,4571.7544,2022-05-10,121.5492,-42332.05,-7.08,4
AMGN,2022-05-11,238.4974,2326.2417,2022-06-07,244.4298,13800.23,2.49,17
TMUS,2022-06-08,137.696,4122.7905,2022-06-14,124.7676,-53301.09,-9.39,4
AMGN,2022-06-15,236.457,2171.9227,2022-06-22,236.2472,-455.67,-0.09,4
WMT,2022-06-23,40.5228,12641.9775,2022-07-06,41.4552,11787.38,2.3,8
AMGN,2022-07-07,244.3399,2141.4262,2022-07-19,245.9984,3551.56,0.68,8
COST,2022-07-20,520.0316,1011.3678,2022-08-02,544.5195,24766.27,4.71,9
CDNS,2022-08-03,181.4565,3030.0765,2022-08-30,174.9624,-19677.62,-3.58,19
AMZN,2022-08-31,129.2236,4096.0002,2022-09-07,126.0165,-13136.28,-2.48,4
GILD,2022-09-14,64.3234,8011.6476,2022-09-20,65.0623,5919.81,1.15,4
AXON,2022-11-16,185.3815,2807.2967,2022-11-29,183.724,-4653.09,-0.89,8
AMZN,2022-11-30,92.2814,5580.1192,2022-12-06,90.3842,-10586.6,-2.06,4
AXON,2022-12-07,170.0146,2961.7827,2022-12-20,166.39,-10735.28,-2.13,9
AXON,2023-01-25,186.7295,2634.9406,2023-02-22,189.5053,7314.07,1.49,19
ABNB,2023-02-23,128.0277,3893.9614,2023-02-28,124.8624,-12325.56,-2.47,3
AXON,2023-03-01,206.7394,2348.0287,2023-05-02,215.686,21006.87,4.33,43
AMD,2023-05-03,83.185,6078.3228,2023-05-16,97.3438,86061.76,17.02,9
APP,2023-05-17,24.5032,24108.6509,2023-05-23,24.7728,6499.69,1.1,4
META,2023-05-24,244.9021,2434.7769,2023-05-31,259.59,35761.76,6.0,4
PLTR,2023-06-01,14.3584,43948.5785,2023-06-21,15.6864,58363.71,9.25,13
NVDA,2023-06-22,42.1846,16316.1635,2023-07-11,42.4043,3584.66,0.52,11
PLTR,2023-07-12,16.6949,41375.9519,2023-07-18,17.7334,42968.93,6.22,4
NVDA,2023-07-19,47.4098,15451.6844,2023-07-25,44.8646,-39327.63,-5.37,3
PLTR,2023-07-26,16.3954,42214.4842,2023-08-15,15.6165,-32880.86,-4.75,14
NVDA,2023-08-16,44.3853,14828.931,2023-08-22,47.935,52638.26,8.0,4
NVDA,2023-09-07,45.3079,15663.6347,2023-09-19,43.7293,-24726.61,-3.48,8
PLTR,2023-10-18,17.7733,38476.9697,2023-10-24,16.4852,-49562.18,-7.25,4
PLTR,2023-11-08,18.7418,33789.9493,2023-11-28,19.1912,15185.2,2.4,13
PDD,2023-11-29,139.121,4653.7256,2024-01-17,136.3352,-12964.35,-2.0,27
CRWD,2024-01-18,281.8067,2247.8184,2024-03-05,305.1217,52407.88,8.27,32
NVDA,2024-03-06,87.7282,7805.4681,2024-03-26,95.5564,61102.77,8.92,14
MSTR,2024-03-27,195.2098,3814.706,2024-04-16,130.1565,-248159.22,-33.32,13
NVDA,2024-05-08,89.3058,5550.737,2024-07-09,130.2543,227294.35,45.85,38
ARM,2024-07-10,182.7355,3950.2422,2024-07-16,179.5403,-12621.81,-1.75,4
NVDA,2024-07-17,120.9783,5853.0481,2024-07-23,122.7556,10402.62,1.47,4
ARM,2024-07-24,165.8409,4325.4937,2024-07-30,140.0896,-111387.08,-15.53,4
NVDA,2024-08-21,127.0292,4762.5737,2024-09-04,104.9024,-105380.52,-17.42,9
PLTR,2024-09-18,35.966,13868.7838,2024-09-24,37.4537,20632.59,4.14,4
APP,2024-09-25,127.9578,4052.9365,2025-01-14,323.7536,793547.94,153.02,69
APP,2025-01-23,353.6088,3704.8089,2025-01-28,348.0271,-20679.13,-1.58,3
PLTR,2025-02-12,110.2643,11674.7717,2025-02-19,124.443,165533.09,12.86,4
APP,2025-02-20,488.2764,2970.6923,2025-02-25,402.685,-254265.71,-17.53,3
PLTR,2025-05-14,128.7166,9278.8245,2025-08-19,173.5093,415623.6,34.8,64
AMD,2025-08-20,165.4314,9716.3324,2025-09-03,161.9067,-34247.16,-2.13,9
PLTR,2025-09-04,154.5678,10161.381,2025-09-09,155.736,11870.53,0.76,3
AVGO,2025-09-10,338.6213,4665.8638,2025-09-16,363.9931,118381.36,7.49,4
