date,action,symbol,price,shares
2021-01-06,BUY,TSLA,246.6639,4050.8543
2021-02-23,SELL,TSLA,228.0201,4050.8543
2021-02-24,BUY,CRWD,204.771,4503.5555
2021-03-02,SELL,CRWD,209.9706,4503.5555
2021-03-03,BUY,MU,89.3945,10561.0618
2021-03-09,SELL,MU,89.5851,10561.0618
2021-04-07,BUY,AMAT,139.1087,6790.3649
2021-05-18,SELL,AMAT,121.7826,6790.3649
2021-05-26,BUY,WDC,76.2797,10823.6371
2021-06-02,SELL,WDC,78.1571,10823.6371
2021-06-03,BUY,AMAT,136.5878,6183.4972
2021-06-08,SELL,AMAT,136.0669,6183.4972
2021-06-09,BUY,NVDA,17.0052,49397.9897
2021-07-27,SELL,NVDA,18.8173,49397.9897
2021-07-28,BUY,INTU,511.8256,1813.2151
2021-08-03,SELL,INTU,518.753,1813.2151
2021-08-04,BUY,NVDA,19.8616,47282.3419
2021-08-17,SELL,NVDA,19.0622,47282.3419
2021-08-18,BUY,AMD,105.6059,8520.9624
2021-08-24,SELL,AMD,109.9041,8520.9624
2021-08-25,BUY,NVDA,21.7612,42965.8873
2021-09-21,SELL,NVDA,20.8175,42965.8873
2021-09-22,BUY,PANW,74.2863,12021.2239
2021-10-19,SELL,PANW,79.9861,12021.2239
2021-10-20,BUY,AMD,118.8271,8078.8962
2021-10-26,SELL,AMD,125.504,8078.8962
2021-10-27,BUY,TSLA,338.6368,2989.3716
2021-11-09,SELL,TSLA,333.9513,2989.3716
2021-11-10,BUY,NVDA,28.8649,34530.0317
2021-12-07,SELL,NVDA,31.777,34530.0317
2021-12-08,BUY,MRVL,90.7308,12074.2075
2022-01-04,SELL,MRVL,87.8287,12074.2075
2022-01-05,BUY,TSLA,355.0358,2982.1352
2022-01-25,SELL,TSLA,299.6589,2982.1352
2022-01-26,BUY,QCOM,161.8509,5512.4359
2022-02-08,SELL,QCOM,173.0836,5512.4359
2022-02-09,BUY,AAPL,170.2804,5594.2128
2022-02-15,SELL,AAPL,166.9092,5594.2128
2022-02-16,BUY,PANW,82.1587,11346.7135
2022-02-23,SELL,PANW,74.5423,11346.7135
2022-02-24,BUY,MU,89.3333,9452.8657
2022-03-01,SELL,MU,86.7487,9452.8657
2022-03-02,BUY,PANW,90.8442,9012.2603
2022-03-08,SELL,PANW,81.962,9012.2603
2022-03-09,BUY,AMGN,229.3991,3214.8335
2022-03-22,SELL,AMGN,234.3645,3214.8335
2022-03-23,BUY,PANW,94.2746,7979.2009
2022-03-29,SELL,PANW,96.2209,7979.2009
2022-03-30,BUY,TSLA,356.9511,2147.4549
2022-04-12,SELL,TSLA,322.0257,2147.4549
