date,equity
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1035150.8006616296
2023-05-30,1037205.0622466478
2023-05-31,1026268.5536266416
2023-06-01,1037573.960262825
2023-06-02,1034010.2055914195
2023-06-05,1085352.5549556178
2023-06-06,1101750.1115198408
2023-06-07,1048272.3660699707
2023-06-08,1083210.017077017
2023-06-09,1070376.2151841999
2023-06-12,1115298.092705525
2023-06-13,1139544.4796983546
2023-06-14,1134552.3664412154
2023-06-15,1182330.961134008
2023-06-16,1163076.6873983175
2023-06-20,1125996.4985126704
2023-06-21,1119392.973797894
2023-06-22,1139069.6588802272
2023-06-23,1117306.6818196974
2023-06-26,1075872.7097771901
2023-06-27,1109259.5771195623
2023-06-28,1088766.6373411955
2023-06-29,1081090.7335168493
2023-07-03,1122415.996731447
2023-07-05,1120191.4429115416
2023-07-06,1114498.812337838
2023-07-07,1125221.2147784792
2023-07-10,1116434.3597615939
2023-07-11,1123421.9204694075
2023-07-12,1113123.103303716
2023-07-13,1123867.6516246526
2023-07-14,1099695.7797762381
2023-07-17,1167504.77215211
2023-07-18,1191394.139524015
2023-07-19,1180713.3305280323
2023-07-20,1142252.9667786323
2023-07-24,1118659.9931030194
2023-07-25,1125629.6250590552
2023-07-26,1125414.8446703574
2023-07-27,1105548.206915927
2023-07-28,1218567.1492516466
2023-07-31,1358305.8961638534
2023-08-01,1368575.356356665
2023-08-02,1298026.84024252
2023-08-03,1280904.2132276515
2023-08-04,1245966.0964861754
2023-08-07,1231580.6201840204
2023-08-08,1165827.2628372603
2023-08-09,1043897.1456248123
2023-08-10,1054173.4658444729
2023-08-11,1054859.4685293634
2023-08-14,1076777.254311617
2023-08-15,1070438.0559850538
2023-08-16,1046291.0128805854
2023-08-17,1044100.5365645462
2023-08-18,1041213.6381854317
2023-08-21,1130312.2864904213
2023-08-22,1154195.7197312897
2023-08-23,1154195.7197312897
2023-08-24,1154195.7197312897
2023-08-25,1154195.7197312897
2023-08-28,1154195.7197312897
2023-08-29,1154195.7197312897
2023-08-30,1154195.7197312897
2023-08-31,1154195.7197312897
2023-09-01,1154195.7197312897
2023-09-05,1154195.7197312897
2023-09-06,1154195.7197312897
2023-09-07,1175333.175964937
2023-09-08,1157721.4798278804
2023-09-11,1147860.5590539307
2023-09-12,1140030.875961347
2023-09-13,1155611.3344170377
2023-09-14,1158457.1034994528
2023-09-15,1115174.9411762105
2023-09-18,1117081.453736791
2023-09-19,1112198.7776717534
2023-09-20,1112198.7776717534
2023-09-21,1112198.7776717534
2023-09-22,1112198.7776717534
2023-09-25,1112198.7776717534
2023-09-26,1112198.7776717534
2023-09-27,1112198.7776717534
2023-09-28,1112198.7776717534
2023-09-29,1112198.7776717534
2023-10-02,1112198.7776717534
2023-10-03,1112198.7776717534
2023-10-04,1112198.7776717534
2023-10-05,1112198.7776717534
2023-10-09,1112198.7776717534
2023-10-10,1112198.7776717534
2023-10-12,1112198.7776717534
2023-10-13,1112198.7776717534
2023-10-16,1112198.7776717534
2023-10-17,1112198.7776717534
2023-10-18,1073223.6171820264
2023-10-19,1065107.6300978495
2023-10-20,1005794.6459064003
2023-10-23,1010790.5424243181
2023-10-24,1029942.261508836
2023-10-25,1029942.261508836
2023-10-26,1029942.261508836
2023-10-30,1029942.261508836
2023-10-31,1029942.261508836
2023-11-01,1029942.261508836
2023-11-02,1029942.261508836
2023-11-03,1029942.261508836
2023-11-06,1029942.261508836
2023-11-07,1029942.261508836
