symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
TSLA,2021-01-06,246.6639,4050.8543,2021-02-23,228.0201,-75523.5,-7.56,32
CRWD,2021-02-24,204.771,4503.5555,2021-02-26,204.2037,-2554.59,-0.28,2
MU,2021-03-03,89.3945,10271.0002,2021-03-04,84.5992,-49252.12,-5.36,1
AMAT,2021-04-07,139.1087,6236.3258,2021-05-12,114.8542,-151259.37,-17.44,25
WDC,2021-05-26,76.2797,9374.9776,2021-06-02,78.1571,17600.64,2.46,4
AMAT,2021-06-03,136.5878,5355.8823,2021-06-08,136.0669,-2789.56,-0.38,3
NVDA,2021-06-09,17.0052,42786.4221,2021-07-27,18.8173,77534.55,10.66,33
INTU,2021-07-28,511.8256,1570.5287,2021-08-03,518.753,10879.61,1.35,4
NVDA,2021-08-04,19.8616,40953.9115,2021-08-17,19.0622,-32738.74,-4.02,9
AMD,2021-08-18,105.6059,7380.4851,2021-08-24,109.9041,31722.45,4.07,4
NVDA,2021-08-25,21.7612,37215.1609,2021-09-21,20.8175,-35118.42,-4.34,18
PANW,2021-09-22,74.2863,10412.2516,2021-10-19,79.9861,59347.84,7.67,19
AMD,2021-10-20,118.8271,6997.5798,2021-10-26,125.504,46722.44,5.62,4
TSLA,2021-10-27,338.6368,2589.2596,2021-11-09,333.9513,-12131.84,-1.38,9
NVDA,2021-11-10,28.8649,29908.3556,2021-12-07,31.777,87094.03,10.09,18
MRVL,2021-12-08,90.7308,10458.1309,2022-01-04,87.8287,-30350.75,-3.2,18
TSLA,2022-01-05,355.0358,2582.9895,2022-01-25,299.6589,-143037.86,-15.6,13
QCOM,2022-01-26,161.8509,4774.6189,2022-02-08,173.0836,53631.69,6.94,9
AAPL,2022-02-09,170.2804,4845.4487,2022-02-15,166.9092,-16334.95,-1.98,4
PANW,2022-02-16,82.1587,9827.9958,2022-02-23,74.5423,-74853.81,-9.27,4
MU,2022-02-24,89.3333,8187.6299,2022-03-01,86.7487,-21161.41,-2.89,3
PANW,2022-03-02,90.8442,7805.9952,2022-03-08,81.962,-69333.98,-9.78,4
AMGN,2022-03-09,229.3991,2784.5362,2022-03-22,234.3645,13826.25,2.16,9
PANW,2022-03-23,94.2746,6911.2021,2022-03-29,96.2209,13450.82,2.06,4
TSLA,2022-03-30,356.9511,1860.0219,2022-04-12,322.0257,-64962.0,-9.78,9
COST,2022-04-13,511.4832,1169.1786,2022-04-19,514.2609,3247.58,0.54,3
PANW,2022-04-20,97.7286,6142.5195,2022-04-26,90.6459,-43505.1,-7.25,4
AMGN,2022-04-27,246.5748,2254.4978,2022-05-03,230.1226,-37091.39,-6.67,4
TMUS,2022-05-04,130.8086,3959.8259,2022-05-10,121.5492,-36665.91,-7.08,4
AMGN,2022-05-11,238.4974,2014.8736,2022-06-07,244.4298,11953.06,2.49,17
TMUS,2022-06-08,137.696,3570.9518,2022-06-14,124.7676,-46166.69,-9.39,4
AMGN,2022-06-15,236.457,1881.208,2022-06-22,236.2472,-394.68,-0.09,4
WMT,2022-06-23,40.5228,10949.8258,2022-07-06,41.4552,10209.62,2.3,8
AMGN,2022-07-07,244.3399,1854.7913,2022-07-19,245.9984,3076.17,0.68,8
COST,2022-07-20,520.0316,875.9934,2022-08-02,544.5195,21451.24,4.71,9
CDNS,2022-08-03,181.4565,2624.4907,2022-08-30,174.9624,-17043.7,-3.58,19
GILD,2022-09-14,64.3234,7127.283,2022-09-15,65.4018,7686.06,1.68,1
AXON,2022-12-07,170.0146,2737.3526,2022-12-08,171.4724,3990.51,0.86,1
AXON,2022-12-14,169.745,2760.7766,2022-12-16,168.7565,-2729.03,-0.58,2
AXON,2023-01-25,186.7295,2491.048,2023-02-22,189.5053,6914.65,1.49,19
ABNB,2023-02-23,128.0277,3681.3135,2023-02-28,124.8624,-11652.46,-2.47,3
AXON,2023-03-01,206.7394,2219.8032,2023-03-13,207.3685,1396.48,0.3,8
AXON,2023-03-15,211.6321,2171.5956,2023-05-02,215.686,8803.43,1.92,33
AMD,2023-05-03,83.185,5621.5899,2023-05-16,97.3438,79594.97,17.02,9
APP,2023-05-17,24.5032,22297.0903,2023-05-23,24.7728,6011.3,1.1,4
META,2023-05-24,244.9021,2251.8234,2023-05-31,259.59,33074.56,6.0,4
PLTR,2023-06-01,14.3584,40646.1942,2023-06-21,15.6864,53978.15,9.25,13
NVDA,2023-06-22,42.1846,15090.1307,2023-07-11,42.4043,3315.3,0.52,11
PLTR,2023-07-12,16.6949,38266.8619,2023-07-18,17.7334,39740.14,6.22,4
NVDA,2023-07-19,47.4098,14290.604,2023-07-25,44.8646,-36372.45,-5.37,3
PLTR,2023-07-26,16.3954,39042.367,2023-08-14,15.0873,-51071.32,-7.98,13
NVDA,2023-08-16,44.3853,13249.8865,2023-08-17,43.8951,-6495.09,-1.1,1
NVDA,2023-09-07,45.3079,12816.1595,2023-09-18,42.597,-34743.33,-5.98,7
PLTR,2023-10-18,17.7733,30667.0769,2023-10-19,17.4039,-11328.42,-2.08,1
PLTR,2023-11-08,18.7418,28432.2456,2023-11-28,19.1912,12777.45,2.4,13
PDD,2023-11-29,139.121,3915.8328,2024-01-17,136.3352,-10908.73,-2.0,27
CRWD,2024-01-18,281.8067,1891.4041,2024-03-05,305.1217,44098.09,8.27,32
NVDA,2024-03-06,87.7282,6567.8288,2024-03-26,95.5564,51414.28,8.92,14
MSTR,2024-03-27,195.2098,3209.8425,2024-04-05,156.7655,-123400.15,-19.69,6
MSTR,2024-04-10,138.2873,3632.9157,2024-04-16,130.1565,-29538.51,-5.88,4
NVDA,2024-05-08,89.3058,5286.2149,2024-07-09,130.2543,216462.57,45.85,38
ARM,2024-07-10,182.7355,3761.9916,2024-07-16,179.5403,-12020.32,-1.75,4
NVDA,2024-07-17,120.9783,5574.1177,2024-07-23,122.7556,9906.88,1.47,4
ARM,2024-07-24,165.8409,4119.3592,2024-07-25,150.7735,-62068.03,-9.09,1
