date,action,symbol,price,shares
2021-01-06,BUY,TSLA,246.6639,4050.8543
2021-02-23,SELL,TSLA,228.0201,4050.8543
2021-02-24,BUY,CRWD,204.771,4503.5555
2021-02-26,SELL,CRWD,204.2037,4503.5555
2021-03-03,BUY,MU,89.3945,10271.0002
2021-03-04,SELL,MU,84.5992,10271.0002
2021-04-07,BUY,AMAT,139.1087,6236.3258
2021-05-12,SELL,AMAT,114.8542,6236.3258
2021-05-26,BUY,WDC,76.2797,9374.9776
2021-06-02,SELL,WDC,78.1571,9374.9776
2021-06-03,BUY,AMAT,136.5878,5355.8823
2021-06-04,SELL,AMAT,140.063,5355.8823
2021-06-09,BUY,NVDA,17.0052,44042.9995
2021-07-27,SELL,NVDA,18.8173,44042.9995
2021-07-28,BUY,INTU,511.8256,1616.653
2021-08-03,SELL,INTU,518.753,1616.653
2021-08-04,BUY,NVDA,19.8616,42156.6766
2021-08-17,SELL,NVDA,19.0622,42156.6766
2021-08-18,BUY,AMD,105.6059,7597.2412
2021-08-24,SELL,AMD,109.9041,7597.2412
2021-08-25,BUY,NVDA,21.7612,38308.129
2021-09-21,SELL,NVDA,20.8175,38308.129
2021-09-29,BUY,PANW,73.8337,10783.7517
2021-09-30,SELL,PANW,74.7592,10783.7517
2021-10-20,BUY,AMD,118.8271,6773.6566
2021-10-26,SELL,AMD,125.504,6773.6566
2021-10-27,BUY,TSLA,338.6368,2506.4029
2021-11-09,SELL,TSLA,333.9513,2506.4029
2021-11-10,BUY,NVDA,28.8649,28951.2812
2021-12-07,SELL,NVDA,31.777,28951.2812
2021-12-08,BUY,MRVL,90.7308,10123.4676
2021-12-20,SELL,MRVL,83.6544,10123.4676
2021-12-29,BUY,MRVL,87.9977,9608.3986
2022-01-04,SELL,MRVL,87.8287,9608.3986
2022-01-05,BUY,TSLA,355.0358,2373.1189
2022-01-06,SELL,TSLA,347.3942,2373.1189
2022-04-06,BUY,TSLA,341.2144,2412.2304
2022-04-07,SELL,TSLA,344.9667,2412.2304
2022-08-10,BUY,CDNS,188.8299,4399.7628
2022-08-23,SELL,CDNS,183.4747,4399.7628
2023-02-08,BUY,AXON,185.6711,4340.7542
2023-02-22,SELL,AXON,189.5053,4340.7542
2023-02-23,BUY,ABNB,128.0277,6414.8526
2023-02-28,SELL,ABNB,124.8624,6414.8526
2023-03-01,BUY,AXON,206.7394,3868.113
2023-03-13,SELL,AXON,207.3685,3868.113
2023-03-15,BUY,AXON,211.6321,3784.116
2023-05-02,SELL,AXON,215.686,3784.116
2023-05-03,BUY,AMD,83.185,9795.9247
2023-05-16,SELL,AMD,97.3438,9795.9247
2023-05-17,BUY,APP,24.5032,38853.9473
