date,action,symbol,price,shares
2022-08-10,BUY,CDNS,188.8299,5291.533
2022-08-23,SELL,CDNS,183.4747,5291.533
2023-02-08,BUY,AXON,185.6711,5220.5663
2023-02-22,SELL,AXON,189.5053,5220.5663
2023-02-23,BUY,ABNB,128.0277,7715.0595
2023-02-28,SELL,ABNB,124.8624,7715.0595
2023-03-01,BUY,AXON,206.7394,4652.131
2023-03-13,SELL,AXON,207.3685,4652.131
2023-03-15,BUY,AXON,211.6321,4551.1108
2023-05-02,SELL,AXON,215.686,4551.1108
2023-05-03,BUY,AMD,83.185,11781.4457
2023-05-16,SELL,AMD,97.3438,11781.4457
2023-05-17,BUY,APP,24.5032,46729.2109
2023-05-23,SELL,APP,24.7728,46729.2109
2023-05-24,BUY,META,244.9021,4719.2764
2023-05-31,SELL,META,259.59,4719.2764
2023-06-01,BUY,PLTR,14.3584,85184.7283
2023-06-21,SELL,PLTR,15.6864,85184.7283
2023-06-22,BUY,NVDA,42.1846,31625.3667
2023-07-11,SELL,NVDA,42.4043,31625.3667
2023-07-12,BUY,PLTR,16.6949,80198.4782
2023-07-18,SELL,PLTR,17.7334,80198.4782
2023-07-19,BUY,NVDA,47.4098,29949.8417
2023-07-25,SELL,NVDA,44.8646,29949.8417
2023-07-26,BUY,PLTR,16.3954,81824.0171
2023-08-14,SELL,PLTR,15.0873,81824.0171
2023-08-16,BUY,NVDA,44.3853,27768.8304
2023-08-17,SELL,NVDA,43.8951,27768.8304
2023-09-07,BUY,NVDA,45.3079,26859.8828
2023-09-18,SELL,NVDA,42.597,26859.8828
2023-10-18,BUY,PLTR,17.7733,64271.6463
2023-10-19,SELL,PLTR,17.4039,64271.6463
2023-11-08,BUY,PLTR,18.7418,59588.0339
2023-11-28,SELL,PLTR,19.1912,59588.0339
2023-11-29,BUY,PDD,139.121,8206.7814
2024-01-17,SELL,PDD,136.3352,8206.7814
2024-01-18,BUY,CRWD,281.8067,3964.0023
2024-03-05,SELL,CRWD,305.1217,3964.0023
2024-03-06,BUY,NVDA,87.7282,13764.8724
2024-03-26,SELL,NVDA,95.5564,13764.8724
2024-03-27,BUY,MSTR,195.2098,6727.2074
2024-04-05,SELL,MSTR,156.7655,6727.2074
2024-04-10,BUY,MSTR,138.2873,7613.9026
2024-04-16,SELL,MSTR,130.1565,7613.9026
2024-05-08,BUY,NVDA,89.3058,11078.9287
2024-07-09,SELL,NVDA,130.2543,11078.9287
2024-07-10,BUY,ARM,182.7355,7884.4506
2024-07-16,SELL,ARM,179.5403,7884.4506
2024-07-17,BUY,NVDA,120.9783,11682.3556
2024-07-23,SELL,NVDA,122.7556,11682.3556
2024-07-24,BUY,ARM,165.8409,8633.4546
2024-07-25,SELL,ARM,150.7735,8633.4546
2024-08-21,BUY,NVDA,127.0292,10230.8219
2024-08-29,SELL,NVDA,120.7087,10230.8219
2024-09-18,BUY,PLTR,35.966,34281.6236
2024-09-24,SELL,PLTR,37.4537,34281.6236
2024-09-25,BUY,APP,127.9578,10018.2946
2025-01-13,SELL,APP,306.7591,10018.2946
2025-01-23,BUY,APP,353.6088,8677.0686
2025-01-28,SELL,APP,348.0271,8677.0686
2025-02-12,BUY,PLTR,110.2643,27343.6201
2025-02-19,SELL,PLTR,124.443,27343.6201
2025-02-20,BUY,APP,488.2764,6957.6988
2025-02-25,SELL,APP,402.685,6957.6988
2025-05-14,BUY,PLTR,128.7166,21732.082
2025-08-19,SELL,PLTR,173.5093,21732.082
2025-08-20,BUY,AMD,165.4314,22756.7923
2025-09-03,SELL,AMD,161.9067,22756.7923
2025-09-04,BUY,PLTR,154.5678,23799.1657
2025-09-09,SELL,PLTR,155.736,23799.1657
2025-09-10,BUY,AVGO,338.6213,10928.0172
2025-09-16,SELL,AVGO,363.9931,10928.0172
2025-09-17,BUY,APP,601.5563,6601.812
2025-09-23,SELL,APP,638.6406,6601.812
2025-09-24,BUY,WDC,110.5738,38069.0785
2025-10-07,SELL,WDC,126.5898,38069.0785
2025-10-08,BUY,SNDK,121.128,39722.0341
2025-11-18,SELL,SNDK,255.6359,39722.0341
2025-12-03,BUY,SNDK,196.1054,51697.4134
2025-12-16,SELL,SNDK,202.1762,51697.4134
2025-12-24,BUY,SNDK,246.1602,42392.2095
2026-01-02,SELL,SNDK,244.942,42392.2095
2026-01-07,BUY,SNDK,340.7381,30425.2153
2026-01-21,SELL,SNDK,460.1887,30425.2153
2026-01-28,BUY,SNDK,499.4696,27987.5973
2026-02-04,SELL,SNDK,648.7554,27987.5973
2026-04-15,BUY,SNDK,934.4199,19400.3518
