symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
WDC,2021-05-26,76.2797,13099.1486,2021-06-02,78.1571,24592.42,2.46,4
AMAT,2021-06-03,136.5878,7483.4902,2021-06-04,140.063,26006.96,2.54,1
NVDA,2021-06-09,17.0052,61538.993,2021-07-27,18.8173,111516.64,10.66,33
INTU,2021-07-28,511.8256,2258.8668,2021-08-03,518.753,15647.97,1.35,4
NVDA,2021-08-04,19.8616,58903.4125,2021-08-17,19.0622,-47087.65,-4.02,9
AMD,2021-08-18,105.6059,10615.2521,2021-08-24,109.9041,45625.98,4.07,4
NVDA,2021-08-25,21.7612,53526.1042,2021-09-21,20.8175,-50510.39,-4.34,18
PANW,2021-09-29,73.8337,15067.6277,2021-09-30,74.7592,13945.35,1.25,1
AMD,2021-10-20,118.8271,9464.5176,2021-10-26,125.504,63194.04,5.62,4
TSLA,2021-10-27,338.6368,3502.0834,2021-11-09,333.9513,-16408.83,-1.38,9
NVDA,2021-11-10,28.8649,40452.3433,2021-12-07,31.777,117798.44,10.09,18
MRVL,2021-12-08,90.7308,14145.0817,2021-12-20,83.6544,-100096.21,-7.8,8
MRVL,2021-12-29,87.9977,13425.4072,2022-01-04,87.8287,-2268.83,-0.19,4
TSLA,2022-01-05,355.0358,3315.8604,2022-01-06,347.3942,-25338.37,-2.15,1
TSLA,2022-04-06,341.2144,3370.5117,2022-04-07,344.9667,12647.08,1.1,1
CDNS,2022-08-10,188.8299,6147.6143,2022-08-23,183.4747,-32921.7,-2.84,9
AXON,2023-02-08,185.6711,6065.1681,2023-02-22,189.5053,23255.07,2.07,9
ABNB,2023-02-23,128.0277,8963.2319,2023-02-28,124.8624,-28371.32,-2.47,3
AXON,2023-03-01,206.7394,5404.7724,2023-03-13,207.3685,3400.14,0.3,8
AXON,2023-03-15,211.6321,5287.4103,2023-05-02,215.686,21434.63,1.92,33
AMD,2023-05-03,83.185,13687.5056,2023-05-16,97.3438,193798.65,17.02,9
APP,2023-05-17,24.5032,54289.3045,2023-05-23,24.7728,14636.4,1.1,4
META,2023-05-24,244.9021,5482.7867,2023-05-31,259.59,80530.62,6.0,4
PLTR,2023-06-01,14.3584,98966.4007,2023-06-21,15.6864,131427.38,9.25,13
NVDA,2023-06-22,42.1846,36741.9071,2023-07-11,42.4043,8072.2,0.52,11
PLTR,2023-07-12,16.6949,93173.4853,2023-07-18,17.7334,96760.66,6.22,4
NVDA,2023-07-19,47.4098,34795.3197,2023-07-25,44.8646,-88561.05,-5.37,3
PLTR,2023-07-26,16.3954,95062.0523,2023-08-14,15.0873,-124350.67,-7.98,13
NVDA,2023-08-16,44.3853,32261.4643,2023-08-17,43.8951,-15814.57,-1.1,1
NVDA,2023-09-07,45.3079,31205.4679,2023-09-18,42.597,-84594.9,-5.98,7
PLTR,2023-10-18,17.7733,74669.994,2023-10-19,17.4039,-27583.1,-2.08,1
PLTR,2023-11-08,18.7418,69228.649,2023-11-28,19.1912,31111.35,2.4,13
PDD,2023-11-29,139.121,9534.5406,2024-01-17,136.3352,-26561.32,-2.0,27
CRWD,2024-01-18,281.8067,4605.3317,2024-03-05,305.1217,107373.31,8.27,32
NVDA,2024-03-06,87.7282,15991.872,2024-03-26,95.5564,125187.57,8.92,14
MSTR,2024-03-27,195.2098,7815.5946,2024-04-05,156.7655,-300465.07,-19.69,6
MSTR,2024-04-10,138.2873,8845.7496,2024-04-16,130.1565,-71923.02,-5.88,4
NVDA,2024-05-08,89.3058,12871.3829,2024-07-09,130.2543,527063.82,45.85,38
ARM,2024-07-10,182.7355,9160.0736,2024-07-16,179.5403,-29268.27,-1.75,4
NVDA,2024-07-17,120.9783,13572.4432,2024-07-23,122.7556,24122.3,1.47,4
ARM,2024-07-24,165.8409,10030.2627,2024-07-25,150.7735,-151129.98,-9.09,1
NVDA,2024-08-21,127.0292,11886.0709,2024-08-29,120.7087,-75125.91,-4.98,6
PLTR,2024-09-18,35.966,39828.0708,2024-09-24,37.4537,59252.22,4.14,4
APP,2024-09-25,127.9578,11639.1638,2025-01-13,306.7591,2081097.62,139.73,68
APP,2025-01-23,353.6088,10080.9406,2025-01-28,348.0271,-56268.79,-1.58,3
PLTR,2025-02-12,110.2643,31767.5757,2025-02-19,124.443,450422.93,12.86,4
APP,2025-02-20,488.2764,8083.3935,2025-02-25,402.685,-691868.97,-17.53,3
PLTR,2025-05-14,128.7166,25248.145,2025-08-19,173.5093,1130932.58,34.8,64
AMD,2025-08-20,165.4314,26438.6465,2025-09-03,161.9067,-93188.3,-2.13,9
PLTR,2025-09-04,154.5678,27649.6692,2025-09-09,155.736,32300.34,0.76,3
AVGO,2025-09-10,338.6213,12696.0788,2025-09-16,363.9931,322122.37,7.49,4
APP,2025-09-17,601.5563,7669.9304,2025-09-23,638.6406,284434.0,6.16,4
WDC,2025-09-24,110.5738,44228.3423,2025-10-07,126.5898,708361.13,14.48,9
SNDK,2025-10-08,121.128,46148.7352,2025-11-18,255.6359,6207369.47,111.05,28
SNDK,2025-12-03,196.1054,60061.6348,2025-12-16,202.1762,364622.17,3.1,8
SNDK,2025-12-24,246.1602,49250.9259,2026-01-02,244.942,-59997.48,-0.49,5
SNDK,2026-01-07,340.7381,35347.7698,2026-01-21,460.1887,4222312.32,35.06,9
SNDK,2026-01-28,499.4696,32515.7656,2026-02-04,648.7554,4854142.08,29.89,5
