date,action,symbol,price,shares
2017-03-22,BUY,AMD,14.3952,23137.2201
2017-03-22,BUY,MU,26.1432,12740.0604
2017-03-22,BUY,CSX,14.0632,23683.4484
2017-04-04,SELL,CSX,14.3175,23683.4484
2017-04-05,BUY,TSLA,19.2507,17586.0711
2017-04-11,SELL,MU,27.2668,12740.0604
2017-04-12,BUY,VRTX,113.9168,3044.5279
2017-05-02,SELL,VRTX,117.4972,3044.5279
2017-05-03,BUY,LRCX,13.7045,26060.7867
2017-05-09,SELL,AMD,10.3932,23137.2201
2017-05-09,SELL,TSLA,20.9644,17586.0711
2017-05-10,BUY,WDC,82.3667,3691.8551
2017-05-10,BUY,CSX,15.6588,19419.517
2017-05-16,SELL,WDC,81.8332,3691.8551
2017-05-16,SELL,CSX,15.4771,19419.517
2017-05-17,BUY,NVDA,3.0922,97294.8718
2017-05-17,BUY,AMAT,40.4342,7440.5724
2017-05-31,SELL,LRCX,14.1693,26060.7867
2017-05-31,SELL,AMAT,43.4817,7440.5724
2017-06-01,BUY,TSLA,22.2114,15570.3484
2017-06-01,BUY,ADSK,110.2484,3136.9131
2017-06-13,SELL,ADSK,104.9033,3136.9131
2017-06-14,BUY,MU,31.1592,10544.0737
2017-06-27,SELL,MU,31.7611,10544.0737
2017-06-28,BUY,REGN,515.9531,648.031
2017-07-05,SELL,NVDA,3.467,97294.8718
2017-07-05,SELL,REGN,499.676,648.031
2017-07-06,BUY,CSX,16.5894,19894.165
2017-07-06,BUY,ISRG,101.7358,3244.01
2017-07-11,SELL,TSLA,21.3533,15570.3484
2017-07-11,SELL,CSX,16.4526,19894.165
2017-07-12,BUY,NVDA,3.9386,83624.7204
2017-07-12,BUY,REGN,499.6659,659.1717
2017-07-18,SELL,ISRG,103.0255,3244.01
2017-07-19,BUY,PYPL,57.9822,5754.8621
2017-07-25,SELL,REGN,516.2147,659.1717
2017-07-25,SELL,PYPL,57.8927,5754.8621
2017-07-26,BUY,VRTX,162.0781,2074.1796
2017-07-26,BUY,NFLX,17.954,18724.4294
2017-08-01,SELL,NFLX,17.2846,18724.4294
2017-08-02,BUY,PYPL,58.7473,5500.2505
2017-08-15,SELL,PYPL,59.3137,5500.2505
2017-08-16,BUY,CHTR,405.5354,803.177
2017-08-22,SELL,NVDA,3.9431,83624.7204
2017-08-23,BUY,PYPL,59.6714,5517.0039
2017-08-29,SELL,VRTX,151.6346,2074.1796
2017-08-29,SELL,CHTR,393.4335,803.177
2017-08-30,BUY,NVDA,4.019,78316.1331
2017-08-30,BUY,ISRG,108.4007,2903.5892
2017-09-06,SELL,ISRG,111.2662,2903.5892
2017-09-07,BUY,GILD,72.7056,4436.4264
2017-09-19,SELL,GILD,70.4382,4436.4264
2017-09-20,BUY,LRCX,15.8862,19639.1826
2017-09-26,SELL,LRCX,15.5575,19639.1826
2017-09-27,BUY,GILD,71.782,4249.6185
2017-10-03,SELL,PYPL,63.8152,5517.0039
2017-10-03,SELL,GILD,71.2085,4249.6185
2017-10-04,BUY,MU,39.6863,8234.92
2017-10-04,BUY,LRCX,16.988,19237.8753
2017-10-10,SELL,LRCX,16.977,19237.8753
2017-10-11,BUY,PYPL,67.3527,4841.3395
2017-10-17,SELL,PYPL,66.2497,4841.3395
2017-10-18,BUY,LRCX,18.4084,17395.4275
2017-11-07,SELL,LRCX,19.2072,17395.4275
2017-11-08,BUY,PYPL,74.2986,4489.7453
2017-11-14,SELL,PYPL,74.0204,4489.7453
2017-11-15,BUY,LRCX,19.0851,17385.2442
2017-11-21,SELL,LRCX,20.0997,17385.2442
2017-11-22,BUY,TTWO,131.6709,2649.6193
2017-11-28,SELL,NVDA,5.1148,78316.1331
2017-11-28,SELL,TTWO,129.7172,2649.6193
2017-11-29,BUY,MRVL,21.294,17448.1743
2017-11-29,BUY,PYPL,72.7882,5104.4102
2017-12-05,SELL,MU,41.3416,8234.92
2017-12-05,SELL,PYPL,70.7512,5104.4102
2017-12-06,BUY,QCOM,55.9312,6261.8216
2017-12-06,BUY,MAR,116.8138,2998.198
2017-12-12,SELL,QCOM,55.8279,6261.8216
2017-12-12,SELL,MAR,118.1536,2998.198
2017-12-13,BUY,MU,42.1842,8328.9694
2017-12-13,BUY,PYPL,73.6229,4772.3078
2017-12-19,SELL,MU,44.1204,8328.9694
2017-12-20,BUY,INTC,41.6523,8808.3484
2017-12-27,SELL,MRVL,21.1984,17448.1743
2017-12-27,SELL,PYPL,74.1198,4772.3078
2017-12-28,BUY,MAR,125.3202,2882.3532
2017-12-28,BUY,TXN,93.9676,3844.0617
2018-01-03,SELL,MAR,125.2101,2882.3532
2018-01-04,BUY,TTWO,127.2945,2830.607
2018-01-09,SELL,INTC,38.2017,8808.3484
2018-01-09,SELL,TTWO,128.2881,2830.607
2018-01-10,BUY,NVDA,5.4297,64322.7823
2018-01-10,BUY,WMT,25.2167,13850.0565
2018-01-17,SELL,NVDA,5.4549,64322.7823
2018-01-17,SELL,WMT,25.9833,13850.0565
2018-01-18,BUY,AMZN,62.5027,5676.6004
2018-01-18,BUY,MAR,129.5046,2739.6938
2018-01-23,SELL,AMZN,65.8479,5676.6004
2018-01-23,SELL,MAR,133.7899,2739.6938
2018-01-24,BUY,PYPL,83.1823,4442.9408
2018-01-24,BUY,ISRG,142.835,2587.4189
2018-01-30,SELL,TXN,99.0579,3844.0617
2018-01-30,SELL,PYPL,83.2519,4442.9408
2018-01-30,SELL,ISRG,139.6876,2587.4189
2018-01-31,BUY,NFLX,25.6663,14419.8924
2018-01-31,BUY,AMZN,70.1176,5278.3391
2018-01-31,BUY,NVDA,5.9666,62029.0775
2018-02-06,SELL,NVDA,5.4758,62029.0775
2018-02-07,BUY,MAR,128.1373,2646.4911
2018-02-13,SELL,MAR,129.0274,2646.4911
2018-02-14,BUY,NVDA,5.8603,58174.7404
2018-02-27,SELL,NVDA,5.9767,58174.7404
2018-02-28,BUY,CSCO,38.9856,8904.1175
2018-03-06,SELL,CSCO,38.559,8904.1175
2018-03-07,BUY,MU,54.1423,6331.1547
2018-04-03,SELL,AMZN,67.2741,5278.3391
2018-04-04,BUY,ADBE,222.0624,1596.5133
2018-04-10,SELL,MU,50.6412,6331.1547
2018-04-11,BUY,AMZN,68.9655,4641.4861
2018-04-17,SELL,AMZN,72.6761,4641.4861
2018-04-18,BUY,INTC,47.2693,7124.7831
2018-04-24,SELL,ADBE,214.9974,1596.5133
2018-04-24,SELL,INTC,45.3648,7124.7831
2018-04-25,BUY,AMZN,70.5661,4714.6646
2018-04-25,BUY,PANW,29.7398,11186.8751
2018-05-08,SELL,PANW,31.4956,11186.8751
2018-05-09,BUY,CSCO,40.4048,8706.2019
2018-05-15,SELL,CSCO,39.9134,8706.2019
2018-05-16,BUY,ADBE,234.2386,1481.1231
2018-05-22,SELL,AMZN,76.4248,4714.6646
2018-05-23,BUY,AMD,13.3743,26897.8055
2018-05-30,SELL,AMD,14.1094,26897.8055
2018-05-31,BUY,MU,57.7739,6558.3746
2018-06-05,SELL,ADBE,249.3453,1481.1231
2018-06-06,BUY,AMD,15.9981,23047.6322
2018-06-19,SELL,MU,59.4392,6558.3746
2018-06-20,BUY,ADBE,247.9047,1569.9541
2018-06-26,SELL,ADBE,239.0341,1569.9541
2018-06-27,BUY,AMZN,80.248,4668.9079
2018-07-31,SELL,NFLX,32.0425,14419.8924
2018-08-01,BUY,CSX,21.7921,21168.5573
2018-08-07,SELL,AMZN,90.0087,4668.9079
2018-08-08,BUY,AAPL,48.187,8707.0881
2018-08-14,SELL,AAPL,48.9393,8707.0881
2018-08-15,BUY,AMZN,90.982,4676.0411
2018-08-21,SELL,AMZN,91.0206,4676.0411
2018-08-22,BUY,AAPL,50.1759,8468.8826
2018-08-28,SELL,AAPL,51.2608,8468.8826
2018-08-29,BUY,ADSK,151.8391,2854.5081
2018-09-05,SELL,CSX,22.9953,21168.5573
2018-09-05,SELL,ADSK,145.6551,2854.5081
2018-09-06,BUY,AMZN,94.6399,4760.705
2018-09-06,BUY,AAPL,52.0541,8655.4604
2018-09-11,SELL,AMZN,96.0336,4760.705
2018-09-11,SELL,AAPL,52.2291,8655.4604
2018-09-12,BUY,COST,198.4472,2287.252
2018-09-12,BUY,PANW,36.8692,12311.0377
2018-09-18,SELL,COST,191.8252,2287.252
2018-09-19,BUY,QCOM,65.5572,6681.9404
2018-09-25,SELL,PANW,35.847,12311.0377
2018-09-26,BUY,ISRG,185.9519,2369.4608
2018-10-09,SELL,ISRG,173.4374,2369.4608
2018-10-10,BUY,CSX,21.5283,19058.3192
2018-10-16,SELL,QCOM,58.5288,6681.9404
2018-10-16,SELL,CSX,22.3454,19058.3192
2018-10-17,BUY,FTNT,16.01,25472.8632
2018-10-17,BUY,ROST,95.084,4289.0575
2018-10-23,SELL,ROST,94.2897,4289.0575
2018-10-24,BUY,AAPL,50.1852,8045.4993
2018-10-30,SELL,AMD,17.5602,23047.6322
2018-10-30,SELL,FTNT,15.4787,25472.8632
2018-10-30,SELL,AAPL,49.7676,8045.4993
2018-12-06,BUY,SBUX,61.1982,6522.4603
2018-12-06,BUY,AMD,21.746,18355.6808
2018-12-06,BUY,WDAY,155.48,2567.2935
2018-12-11,SELL,SBUX,60.6189,6522.4603
2018-12-11,SELL,AMD,20.3984,18355.6808
2018-12-11,SELL,WDAY,150.6804,2567.2935
2019-02-21,BUY,AVGO,24.4208,15762.4619
2019-02-21,BUY,LRCX,16.8253,22878.1931
2019-02-21,BUY,AMD,24.4209,15762.4192
2019-02-26,SELL,LRCX,16.8008,22878.1931
2019-02-27,BUY,INTU,240.2602,1597.2502
2019-03-05,SELL,AMD,23.9921,15762.4192
2019-03-06,BUY,PANW,36.5899,10318.8777
2019-03-19,SELL,PANW,37.8478,10318.8777
2019-03-20,BUY,LRCX,16.637,23436.9126
2019-03-26,SELL,INTU,246.1645,1597.2502
2019-03-27,BUY,WDAY,175.4085,2237.9515
2019-04-02,SELL,WDAY,179.2001,2237.9515
2019-04-03,BUY,INTU,258.7521,1547.4188
2019-04-09,SELL,INTU,249.4124,1547.4188
2019-04-10,BUY,AMD,28.4127,13561.7512
2019-04-16,SELL,AMD,28.5148,13561.7512
2019-04-17,BUY,MRVL,24.2888,15895.8138
2019-04-23,SELL,AVGO,27.6822,15762.4619
2019-04-23,SELL,LRCX,18.4395,23436.9126
2019-04-24,BUY,QCOM,78.5989,5516.0602
2019-04-24,BUY,MCHP,47.547,9118.4762
2019-04-30,SELL,MCHP,48.0521,9118.4762
2019-05-01,BUY,LRCX,19.3086,22656.2283
2019-05-14,SELL,LRCX,18.218,22656.2283
2019-05-15,BUY,PYPL,110.7971,3719.314
2019-05-21,SELL,MRVL,21.8765,15895.8138
2019-05-22,BUY,META,177.9522,1951.0159
2019-05-29,SELL,QCOM,59.5262,5516.0602
2019-05-29,SELL,META,174.9467,1951.0159
2019-05-30,BUY,AMD,28.6169,11681.887
