symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
AMD,2023-04-12,94.5679,3521.9761,2023-04-18,91.5924,-10479.64,-3.15,4
FTNT,2023-04-12,67.3488,4945.387,2023-04-25,65.0123,-11554.9,-3.47,9
BKNG,2023-04-19,107.159,3005.52,2023-05-02,107.2429,252.16,0.08,9
CPRT,2023-04-26,38.3624,8367.4374,2023-05-02,38.9864,5221.28,1.63,4
AXON,2023-04-12,223.9735,1487.0772,2023-05-09,221.4074,-3815.99,-1.15,19
CCEP,2023-05-03,65.4018,4950.1399,2023-05-16,65.8211,2075.59,0.64,9
FTNT,2023-05-10,67.1391,4896.1263,2023-05-16,68.2375,5377.91,1.64,4
AMD,2023-05-03,83.185,3891.9043,2023-05-23,107.3288,93965.36,29.02,14
APP,2023-05-17,24.5032,13444.4489,2023-05-23,24.7728,3624.62,1.1,4
CPRT,2023-05-17,40.609,8112.2909,2023-05-23,44.1936,29079.32,8.83,4
SHOP,2023-05-24,57.264,6446.761,2023-05-31,58.1526,5728.59,1.55,4
META,2023-05-24,244.9021,1507.4077,2023-07-05,286.9689,63411.82,17.18,26
TSLA,2023-07-06,277.8326,1554.4813,2023-07-25,272.3109,-8583.38,-1.99,12
PLTR,2023-06-01,14.3584,26067.9855,2023-08-22,14.7778,10932.91,2.92,54
META,2023-07-26,300.3188,1407.2494,2023-08-29,288.6963,-16355.76,-3.87,24
PLTR,2023-08-30,15.5167,26140.622,2023-09-06,15.1273,-10179.16,-2.51,4
SHOP,2023-09-07,64.3334,6136.8253,2023-09-12,63.4647,-5331.06,-1.35,3
ADBE,2023-08-23,520.2884,739.2239,2023-09-19,529.6144,6894.0,1.79,18
NVDA,2023-05-24,30.1317,12251.7921,2023-09-26,41.9979,145382.22,39.38,83
CHTR,2023-09-20,449.315,869.9369,2023-10-03,434.6171,-12786.25,-3.27,9
NVDA,2023-10-04,43.6604,8645.8897,2023-10-17,43.8142,1329.74,0.35,7
CRWD,2023-10-18,185.721,2036.4155,2023-11-21,206.8493,43026.0,11.38,23
PLTR,2023-09-13,15.5466,25011.7147,2023-12-06,17.6335,52196.95,13.42,54
INTC,2023-11-22,43.9939,9559.4092,2023-12-06,42.4063,-15176.52,-3.61,7
ZS,2023-12-07,197.1638,2143.0558,2024-01-03,206.35,19686.54,4.66,16
INTC,2024-01-04,45.3619,9733.0708,2024-01-09,47.958,25268.02,5.72,2
PDD,2023-09-27,94.1286,5457.6921,2024-01-30,125.3217,170242.34,33.14,77
AMD,2024-01-10,149.785,3111.3286,2024-02-13,166.3102,51415.33,11.03,22
NVDA,2024-01-31,61.3119,11137.6712,2024-02-21,67.8002,72264.55,10.58,14
PANW,2024-02-22,136.4101,5526.9154,2024-02-27,157.723,117794.6,15.62,3
META,2024-02-14,468.1867,1103.4411,2024-03-05,493.4287,27853.06,5.39,13
CRWD,2023-12-07,237.8926,1776.1504,2024-03-19,316.5245,139662.08,33.05,66
AMD,2024-03-06,209.8048,2590.9657,2024-03-26,179.3106,-79009.43,-14.53,14
META,2024-03-20,498.7208,1125.468,2024-03-26,504.7418,6776.44,1.21,4
MU,2024-03-27,118.8814,4336.2689,2024-04-02,122.0866,13898.61,2.7,3
MSTR,2024-03-27,195.2098,2640.7574,2024-04-16,130.1565,-171789.98,-33.32,13
ARM,2024-04-03,122.8255,4303.2755,2024-04-23,96.8745,-111674.3,-21.13,14
META,2024-04-24,507.7073,819.7818,2024-04-30,430.9826,-62897.51,-15.11,3
ARM,2024-05-01,99.6203,3540.8932,2024-05-21,109.3358,34401.55,9.75,12
QCOM,2024-05-22,202.5557,1908.2428,2024-05-29,208.337,11032.12,2.85,3
MU,2024-04-17,122.1465,2809.4153,2024-07-02,129.5454,20786.58,6.06,48
CRWD,2024-07-03,382.9647,948.8158,2024-07-09,391.3121,7920.15,2.18,3
AVGO,2024-07-10,174.3481,2126.1347,2024-07-16,171.9117,-5180.11,-1.4,4
