date,action,symbol,price,shares
2021-06-28,BUY,NVDA,19.5785,17011.7978
2021-06-28,BUY,AMAT,141.2047,2358.7443
2021-06-28,BUY,GOOG,124.1021,2683.8051
2021-06-29,SELL,GOOG,123.3183,2683.8051
2021-06-30,BUY,CRWD,237.5854,1390.7889
2021-07-07,SELL,AMAT,135.0754,2358.7443
2021-07-08,BUY,GOOG,126.4091,2516.4092
2021-07-13,SELL,CRWD,246.8974,1390.7889
2021-07-14,BUY,INTU,494.6636,693.0595
2021-07-27,SELL,NVDA,18.8173,17011.7978
2021-07-28,BUY,GOOGL,132.8694,2405.3896
2021-08-03,SELL,GOOG,133.3599,2516.4092
2021-08-03,SELL,GOOGL,132.4165,2405.3896
2021-08-04,BUY,NVDA,19.8616,16440.0191
2021-08-04,BUY,AMD,121.2569,2692.842
2021-08-24,SELL,INTU,542.0791,693.0595
2021-08-25,BUY,REGN,672.7831,557.5206
2021-08-31,SELL,AMD,113.0384,2692.842
2021-09-01,BUY,ADBE,657.0501,462.5307
2021-09-08,SELL,REGN,672.7932,557.5206
2021-09-08,SELL,ADBE,654.4155,462.5307
2021-09-09,BUY,ISRG,349.3529,968.499
2021-09-09,BUY,PANW,72.8083,4647.1061
2021-09-14,SELL,ISRG,339.2315,968.499
2021-09-15,BUY,COST,397.4335,825.3409
2021-09-21,SELL,COST,389.9978,825.3409
2021-09-22,BUY,INTU,550.6699,583.5884
2021-10-05,SELL,NVDA,20.0386,16440.0191
2021-10-06,BUY,TSLA,255.3985,1287.8142
2021-10-12,SELL,INTU,516.347,583.5884
2021-10-12,SELL,TSLA,262.8933,1287.8142
2021-10-13,BUY,AMD,111.4457,2866.2602
2021-10-13,BUY,NFLX,59.7987,5341.798
2021-10-19,SELL,NFLX,60.6761,5341.798
2021-10-20,BUY,NVDA,21.6573,14941.8277
2021-10-26,SELL,PANW,75.9376,4647.1061
2021-10-27,BUY,TSLA,338.6368,1040.418
2021-11-16,SELL,TSLA,344.1412,1040.418
2021-11-17,BUY,DDOG,172.2318,2075.5532
2021-11-23,SELL,DDOG,162.4189,2075.5532
2021-11-24,BUY,TSLA,364.1326,924.3013
2021-11-30,SELL,TSLA,373.5165,924.3013
2021-12-01,BUY,DDOG,148.9399,2314.2754
2021-12-07,SELL,DDOG,160.2373,2314.2754
