symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
CSX,2017-03-22,14.0632,23683.4484,2017-04-04,14.3175,6023.07,1.81,9
MU,2017-03-22,26.1432,12740.0604,2017-04-11,27.2668,14314.47,4.3,14
VRTX,2017-04-12,113.9168,3044.5279,2017-05-02,117.4972,10900.5,3.14,13
AMD,2017-03-22,14.3952,23137.2201,2017-05-09,10.3932,-92597.04,-27.8,33
TSLA,2017-04-05,19.2507,17586.0711,2017-05-09,20.9644,30136.21,8.9,23
WDC,2017-05-10,82.3667,3691.8551,2017-05-16,81.8332,-1969.64,-0.65,4
CSX,2017-05-10,15.6588,19419.517,2017-05-16,15.4771,-3527.66,-1.16,4
LRCX,2017-05-03,13.7045,26060.7867,2017-05-31,14.1693,12112.79,3.39,19
AMAT,2017-05-17,40.4342,7440.5724,2017-05-31,43.4817,22675.15,7.54,9
ADSK,2017-06-01,110.2484,3136.9131,2017-06-13,104.9033,-16767.23,-4.85,8
MU,2017-06-14,31.1592,10544.0737,2017-06-27,31.7611,6346.6,1.93,9
NVDA,2017-05-17,3.0922,97294.8718,2017-07-05,3.467,36465.86,12.12,33
TSLA,2017-06-01,22.2114,15570.3484,2017-07-05,21.3448,-13493.42,-3.9,23
REGN,2017-06-28,515.9531,648.031,2017-07-05,499.676,-10548.11,-3.15,4
PYPL,2017-07-19,57.9822,5702.1965,2017-07-25,57.8927,-509.98,-0.15,4
REGN,2017-07-19,509.5187,648.8981,2017-07-25,516.2147,4345.01,1.31,4
NFLX,2017-07-26,17.954,18492.1979,2017-08-01,17.2846,-12379.28,-3.73,4
PYPL,2017-08-02,58.7473,5432.0327,2017-08-15,59.3137,3076.74,0.96,9
NVDA,2017-07-19,4.0014,82627.7474,2017-08-22,3.9431,-4820.06,-1.46,24
VRTX,2017-07-26,162.0781,2048.4544,2017-08-22,154.2033,-16131.18,-4.86,19
CHTR,2017-08-16,405.5354,793.2154,2017-08-22,401.7611,-2993.81,-0.93,4
ISRG,2017-08-30,108.4007,2948.4006,2017-09-06,111.2662,8448.74,2.64,4
GILD,2017-09-07,72.7056,4504.8947,2017-09-19,70.4382,-10214.25,-3.12,8
NVDA,2017-08-30,4.019,79524.7937,2017-09-26,4.1713,12114.51,3.79,18
