symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PANW,2021-01-06,53.8891,6180.5839,2021-01-12,57.8221,24308.57,7.3,4
AMAT,2021-01-13,97.8422,3646.6981,2021-02-02,103.3705,20160.02,5.65,13
WBD,2021-02-03,41.3656,9098.2964,2021-02-09,44.0922,24807.61,6.59,4
TSLA,2021-01-06,246.6639,1350.2821,2021-02-23,228.0201,-25174.45,-7.56,32
CRWD,2021-01-06,197.4442,1686.8859,2021-03-09,188.2267,-15548.92,-4.67,42
AMAT,2021-02-10,105.6557,3790.8118,2021-03-09,114.1943,32368.41,8.08,18
MU,2021-02-24,92.8153,3311.9221,2021-03-09,89.5851,-10698.39,-3.48,9
PLTR,2021-04-07,22.794,15287.9829,2021-04-13,25.3024,38347.47,11.0,4
MU,2021-04-14,90.9595,4245.8692,2021-04-20,87.7593,-13587.57,-3.52,4
PLTR,2021-04-21,22.5253,16515.5114,2021-05-04,21.5399,-16274.7,-4.37,9
LRCX,2021-04-07,64.5144,5401.5065,2021-05-11,58.0167,-35097.12,-10.07,24
GOOG,2021-05-05,115.3121,3080.088,2021-05-11,112.9645,-7230.79,-2.04,4
AMAT,2021-04-07,139.1087,2505.0547,2021-05-18,121.7826,-43402.9,-12.46,29
CSCO,2021-05-12,49.617,6653.543,2021-05-18,50.8958,8509.12,2.58,4
CMCSA,2021-05-12,55.8208,5914.0775,2021-05-18,54.1744,-9737.12,-2.95,4
LRCX,2021-05-26,62.4833,5134.9891,2021-06-08,62.4353,-246.44,-0.08,8
WDC,2021-05-26,76.2797,4206.2451,2021-06-15,76.443,686.67,0.21,13
GOOG,2021-06-16,123.0032,2609.8672,2021-06-29,123.3183,822.42,0.26,9
AMAT,2021-05-26,137.1085,2340.1264,2021-07-07,135.0754,-4757.75,-1.48,28
CRWD,2021-06-30,237.5854,1352.4729,2021-07-13,246.8974,12594.33,3.92,8
NVDA,2021-06-09,17.0052,18823.0884,2021-07-27,18.8173,34109.88,10.66,33
GOOG,2021-07-08,126.4091,2496.5467,2021-08-03,133.3599,17353.04,5.5,18
GOOGL,2021-07-28,132.8694,2661.4994,2021-08-03,132.4165,-1205.58,-0.34,4
INTU,2021-07-14,494.6636,673.9657,2021-08-24,542.0791,31956.47,9.59,29
AMD,2021-08-04,121.2569,2821.5534,2021-08-31,113.0384,-23189.09,-6.78,19
REGN,2021-08-25,672.7831,542.1609,2021-09-08,672.7932,5.47,0.0,9
ADBE,2021-09-01,657.0501,484.6387,2021-09-08,654.4155,-1276.83,-0.4,4
ISRG,2021-09-09,349.3529,974.406,2021-09-14,339.2315,-9862.31,-2.9,3
COST,2021-09-15,397.4335,830.3748,2021-09-21,389.9978,-6174.37,-1.87,4
NVDA,2021-08-04,19.8616,17225.8127,2021-10-05,20.0386,3047.8,0.89,43
INTU,2021-09-22,550.6699,587.1479,2021-10-12,516.347,-20152.59,-6.23,14
TSLA,2021-10-06,255.3985,1349.3691,2021-10-12,262.8933,10113.18,2.93,4
NFLX,2021-10-13,59.7987,5492.2314,2021-10-19,60.6761,4818.78,1.47,4
PANW,2021-09-09,72.8083,4675.4495,2021-10-26,75.9376,14630.77,4.3,33
TSLA,2021-10-27,338.6368,1046.7637,2021-11-16,344.1412,5761.8,1.63,14
DDOG,2021-11-17,172.2318,2088.2125,2021-11-23,162.4189,-20491.31,-5.7,4
TSLA,2021-11-24,364.1326,929.9388,2021-11-30,373.5165,8726.47,2.58,3
DDOG,2021-12-01,148.9399,2328.3908,2021-12-07,160.2373,26304.87,7.59,4
NVDA,2021-10-20,21.6573,15362.6158,2021-12-14,27.7689,93891.46,28.22,38
DDOG,2021-12-15,154.8149,2751.154,2021-12-21,160.6718,16113.32,3.78,4
AVGO,2021-12-22,63.6777,6930.592,2021-12-28,65.0189,9295.33,2.11,3
DDOG,2021-12-29,162.6815,2765.5096,2022-01-04,142.8113,-54951.02,-12.21,4
MRVL,2021-12-08,90.7308,4105.5127,2022-01-11,85.763,-20395.42,-5.48,23
AMD,2021-10-13,111.4457,2946.9786,2022-01-19,130.9559,57495.99,17.51,67
QCOM,2022-01-12,180.6722,1945.7135,2022-01-19,167.1523,-26305.78,-7.48,4
MU,2022-01-20,85.552,4149.6044,2022-01-25,81.1774,-18152.93,-5.11,3
TSLA,2022-01-05,355.0358,1110.6281,2022-02-01,303.8517,-56846.53,-14.42,18
KLAC,2022-01-20,38.4468,9233.7168,2022-02-01,38.9233,4399.66,1.24,8
QCOM,2022-01-26,161.8509,2077.9208,2022-02-15,167.6659,12083.18,3.59,14
AAPL,2022-02-02,169.6393,2050.6882,2022-02-15,166.9092,-5598.57,-1.61,9
PANW,2022-02-02,79.5039,4375.603,2022-02-23,74.5423,-21709.89,-6.24,14
DDOG,2022-02-16,157.4401,2189.9348,2022-02-23,135.2797,-48529.78,-14.08,4
BKNG,2022-02-24,91.9093,3380.6284,2022-03-01,82.9786,-30191.11,-9.72,3
MU,2022-02-16,96.6043,3569.0308,2022-03-08,77.5972,-67836.8,-19.68,13
AVGO,2022-02-24,56.3692,5512.0734,2022-03-15,57.6093,6835.59,2.2,13
AMGN,2022-03-09,229.3991,1205.3314,2022-03-22,234.3645,5984.92,2.16,9
COST,2022-03-16,470.2073,674.2494,2022-03-29,493.2162,15513.77,4.89,9
CSX,2022-03-23,35.3078,7987.8399,2022-03-29,36.5595,9997.88,3.54,4
TSLA,2022-03-30,356.9511,873.4802,2022-04-12,322.0257,-30506.64,-9.78,9
NVDA,2022-03-30,27.1395,11488.3933,2022-04-12,21.0765,-69654.42,-22.34,9
COST,2022-04-13,511.4832,510.8453,2022-05-03,457.7026,-27473.55,-10.51,13
AMGN,2022-04-13,251.2528,1039.9436,2022-05-03,230.1226,-21974.23,-8.41,13
PANW,2022-03-02,90.8442,3082.9662,2022-05-10,75.5458,-47164.23,-16.84,48
TMUS,2022-05-04,130.8086,1805.5738,2022-05-10,121.5492,-16718.67,-7.08,4
WMT,2022-05-04,42.3646,5575.0512,2022-05-18,42.6107,1372.16,0.58,9
