date,action,symbol,price,shares
2021-01-06,BUY,TSLA,246.6639,1350.2821
2021-01-06,BUY,CRWD,197.4442,1686.8859
2021-01-06,BUY,PANW,53.8891,6180.5839
2021-01-12,SELL,PANW,57.8221,6180.5839
2021-01-13,BUY,AMAT,97.8422,3646.6981
2021-02-02,SELL,AMAT,103.3705,3646.6981
2021-02-03,BUY,WBD,41.3656,9098.2964
2021-02-09,SELL,WBD,44.0922,9098.2964
2021-02-10,BUY,AMAT,105.6557,3790.8118
2021-02-23,SELL,TSLA,228.0201,1350.2821
2021-02-24,BUY,MU,92.8153,3311.9221
2021-03-09,SELL,CRWD,188.2267,1686.8859
2021-03-09,SELL,AMAT,114.1943,3790.8118
2021-03-09,SELL,MU,89.5851,3311.9221
2021-04-07,BUY,AMAT,139.1087,2505.0547
2021-04-07,BUY,LRCX,64.5144,5401.5065
2021-04-07,BUY,PLTR,22.794,15287.9829
2021-04-13,SELL,PLTR,25.3024,15287.9829
2021-04-14,BUY,MU,90.9595,4245.8692
2021-04-20,SELL,MU,87.7593,4245.8692
2021-04-21,BUY,PLTR,22.5253,16515.5114
2021-05-04,SELL,PLTR,21.5399,16515.5114
2021-05-05,BUY,GOOG,115.3121,3080.088
2021-05-11,SELL,LRCX,58.0167,5401.5065
2021-05-11,SELL,GOOG,112.9645,3080.088
2021-05-12,BUY,CSCO,49.617,6653.543
2021-05-12,BUY,CMCSA,55.8208,5914.0775
2021-05-18,SELL,AMAT,121.7826,2505.0547
2021-05-18,SELL,CSCO,50.8958,6653.543
2021-05-18,SELL,CMCSA,54.1744,5914.0775
2021-05-26,BUY,WDC,76.2797,4206.2451
2021-05-26,BUY,AMAT,137.1085,2340.1264
2021-05-26,BUY,LRCX,62.4833,5134.9891
2021-06-08,SELL,LRCX,62.4353,5134.9891
2021-06-09,BUY,NVDA,17.0052,18823.0884
2021-06-15,SELL,WDC,76.443,4206.2451
2021-06-16,BUY,GOOG,123.0032,2609.8672
2021-06-29,SELL,GOOG,123.3183,2609.8672
2021-06-30,BUY,CRWD,237.5854,1352.4729
2021-07-07,SELL,AMAT,135.0754,2340.1264
2021-07-08,BUY,GOOG,126.4091,2496.5467
2021-07-13,SELL,CRWD,246.8974,1352.4729
2021-07-14,BUY,INTU,494.6636,673.9657
2021-07-27,SELL,NVDA,18.8173,18823.0884
2021-07-28,BUY,GOOGL,132.8694,2661.4994
2021-08-03,SELL,GOOG,133.3599,2496.5467
2021-08-03,SELL,GOOGL,132.4165,2661.4994
2021-08-04,BUY,NVDA,19.8616,17225.8127
2021-08-04,BUY,AMD,121.2569,2821.5534
2021-08-24,SELL,INTU,542.0791,673.9657
2021-08-25,BUY,REGN,672.7831,542.1609
2021-08-31,SELL,AMD,113.0384,2821.5534
2021-09-01,BUY,ADBE,657.0501,484.6387
2021-09-08,SELL,REGN,672.7932,542.1609
2021-09-08,SELL,ADBE,654.4155,484.6387
2021-09-09,BUY,ISRG,349.3529,974.406
2021-09-09,BUY,PANW,72.8083,4675.4495
2021-09-14,SELL,ISRG,339.2315,974.406
2021-09-15,BUY,COST,397.4335,830.3748
2021-09-21,SELL,COST,389.9978,830.3748
2021-09-22,BUY,INTU,550.6699,587.1479
2021-10-05,SELL,NVDA,20.0386,17225.8127
2021-10-06,BUY,TSLA,255.3985,1349.3691
2021-10-12,SELL,INTU,516.347,587.1479
2021-10-12,SELL,TSLA,262.8933,1349.3691
2021-10-13,BUY,AMD,111.4457,2946.9786
2021-10-13,BUY,NFLX,59.7987,5492.2314
2021-10-19,SELL,NFLX,60.6761,5492.2314
2021-10-20,BUY,NVDA,21.6573,15362.6158
2021-10-26,SELL,PANW,75.9376,4675.4495
2021-10-27,BUY,TSLA,338.6368,1046.7637
2021-11-16,SELL,TSLA,344.1412,1046.7637
2021-11-17,BUY,DDOG,172.2318,2088.2125
2021-11-23,SELL,DDOG,162.4189,2088.2125
2021-11-24,BUY,TSLA,364.1326,929.9388
2021-11-30,SELL,TSLA,373.5165,929.9388
2021-12-01,BUY,DDOG,148.9399,2328.3908
2021-12-07,SELL,DDOG,160.2373,2328.3908
2021-12-08,BUY,MRVL,90.7308,4105.5127
2021-12-14,SELL,NVDA,27.7689,15362.6158
2021-12-15,BUY,DDOG,154.8149,2751.154
2021-12-21,SELL,DDOG,160.6718,2751.154
2021-12-22,BUY,AVGO,63.6777,6930.592
2021-12-28,SELL,AVGO,65.0189,6930.592
2021-12-29,BUY,DDOG,162.6815,2765.5096
2022-01-04,SELL,DDOG,142.8113,2765.5096
2022-01-05,BUY,TSLA,355.0358,1110.6281
2022-01-11,SELL,MRVL,85.763,4105.5127
2022-01-12,BUY,QCOM,180.6722,1945.7135
2022-01-19,SELL,AMD,130.9559,2946.9786
2022-01-19,SELL,QCOM,167.1523,1945.7135
