date,action,symbol,price,shares
2023-02-23,BUY,ABNB,128.0277,2601.5142
2023-02-23,BUY,FTNT,60.3893,5515.3128
2023-02-23,BUY,AXON,195.5862,1702.9109
2023-02-28,SELL,FTNT,59.4207,5515.3128
2023-03-01,BUY,BKNG,100.8809,3243.4069
2023-03-07,SELL,ABNB,125.5514,2601.5142
2023-03-08,BUY,FTNT,60.569,5383.9352
2023-03-14,SELL,FTNT,59.8701,5383.9352
2023-03-15,BUY,CDNS,201.697,1595.5588
2023-03-21,SELL,BKNG,100.4491,3243.4069
2023-03-21,SELL,CDNS,207.5482,1595.5588
2023-03-22,BUY,AMD,95.6263,3429.4874
2023-03-22,BUY,AMAT,120.0996,2730.6435
2023-03-28,SELL,AMAT,118.5719,2730.6435
2023-03-29,BUY,BKNG,102.804,3144.4103
2023-04-11,SELL,BKNG,103.0835,3144.4103
2023-04-12,BUY,FTNT,67.3488,4805.0836
2023-04-18,SELL,AMD,91.5924,3429.4874
2023-04-19,BUY,BKNG,107.159,2926.5932
2023-04-25,SELL,FTNT,65.0123,4805.0836
2023-04-26,BUY,CPRT,38.3624,8130.047
2023-05-02,SELL,BKNG,107.2429,2926.5932
2023-05-02,SELL,CPRT,38.9864,8130.047
2023-05-03,BUY,AMD,83.185,3785.5689
2023-05-03,BUY,CCEP,65.4018,4814.8912
2023-05-09,SELL,AXON,221.4074,1702.9109
2023-05-10,BUY,FTNT,67.1391,5606.7524
2023-05-16,SELL,CCEP,65.8211,4814.8912
2023-05-16,SELL,FTNT,68.2375,5606.7524
2023-05-17,BUY,APP,24.5032,14250.9934
2023-05-17,BUY,CPRT,40.609,8598.9544
2023-05-23,SELL,AMD,107.3288,3785.5689
2023-05-23,SELL,APP,24.7728,14250.9934
2023-05-23,SELL,CPRT,44.1936,8598.9544
2023-05-24,BUY,META,244.9021,1548.2769
2023-05-24,BUY,NVDA,30.1317,12583.9656
2023-05-24,BUY,SHOP,57.264,6621.5471
2023-05-31,SELL,SHOP,58.1526,6621.5471
2023-06-01,BUY,PLTR,14.3584,26774.7507
2023-07-05,SELL,META,286.9689,1548.2769
2023-07-06,BUY,TSLA,277.8326,1596.6269
2023-07-25,SELL,TSLA,272.3109,1596.6269
2023-07-26,BUY,META,300.3188,1445.4034
2023-08-22,SELL,NVDA,47.935,12583.9656
2023-08-22,SELL,PLTR,14.7778,26774.7507
2023-08-22,SELL,META,291.8616,1445.4034
2023-09-07,BUY,NVDA,45.3079,10435.7422
2023-09-07,BUY,ADBE,553.2589,854.6118
2023-09-07,BUY,SHOP,64.3334,7349.5504
2023-09-12,SELL,SHOP,63.4647,7349.5504
2023-09-13,BUY,PLTR,15.5466,29954.4151
2023-09-19,SELL,NVDA,43.7293,10435.7422
2023-09-19,SELL,ADBE,529.6144,854.6118
2023-09-19,SELL,PLTR,15.287,29954.4151
2023-10-18,BUY,PLTR,17.7733,25594.2771
2023-10-18,BUY,PDD,104.4331,4355.8485
2023-10-18,BUY,CRWD,185.721,2449.3448
2023-10-24,SELL,PLTR,16.4852,25594.2771
2023-10-24,SELL,PDD,106.9493,4355.8485
2023-10-24,SELL,CRWD,180.6386,2449.3448
2023-11-08,BUY,PLTR,18.7418,23620.913
2023-11-08,BUY,CRWD,191.732,2308.9439
2023-11-08,BUY,PDD,107.0592,4135.0807
2023-11-21,SELL,CRWD,206.8493,2308.9439
2023-11-22,BUY,INTC,43.9939,10838.727
2023-12-06,SELL,PLTR,17.6335,23620.913
2023-12-06,SELL,INTC,42.4063,10838.727
2023-12-07,BUY,CRWD,237.8926,1838.5292
2023-12-07,BUY,ZS,197.1638,2218.3204
2024-01-03,SELL,ZS,206.35,2218.3204
2024-01-04,BUY,INTC,45.3619,10074.8999
2024-01-09,SELL,INTC,47.958,10074.8999
2024-01-10,BUY,AMD,149.785,3220.6002
2024-01-30,SELL,PDD,125.3217,4135.0807
2024-01-31,BUY,NVDA,61.3119,8438.5716
2024-02-13,SELL,AMD,166.3102,3220.6002
2024-02-14,BUY,META,468.1867,1142.1947
2024-02-21,SELL,NVDA,67.8002,8438.5716
2024-02-22,BUY,PANW,136.4101,4187.521
2024-02-27,SELL,PANW,157.723,4187.521
2024-02-28,BUY,NVDA,77.5725,8500.57
2024-03-05,SELL,META,493.4287,1142.1947
2024-03-06,BUY,AMD,209.8048,2681.9625
2024-03-19,SELL,CRWD,316.5245,1838.5292
2024-03-20,BUY,META,498.7208,1164.9949
2024-03-26,SELL,AMD,179.3106,2681.9625
2024-03-26,SELL,META,504.7418,1164.9949
2024-03-27,BUY,MSTR,195.2098,2733.5026
2024-03-27,BUY,MU,118.8814,4488.5617
2024-04-02,SELL,MU,122.0866,4488.5617
2024-04-03,BUY,ARM,122.8255,4454.4101
2024-04-16,SELL,NVDA,86.3962,8500.57
2024-04-16,SELL,MSTR,130.1565,2733.5026
2024-04-16,SELL,ARM,121.6473,4454.4101
2024-05-08,BUY,NVDA,89.3058,6081.9186
2024-05-08,BUY,ARM,107.6882,5043.7338
2024-05-08,BUY,MU,118.5519,4581.5428
2024-05-21,SELL,ARM,109.3358,5043.7338
2024-05-22,BUY,QCOM,202.5557,2718.1513
2024-05-29,SELL,QCOM,208.337,2718.1513
2024-05-30,BUY,ARM,120.8784,4677.2967
2024-07-02,SELL,MU,129.5454,4581.5428
2024-07-03,BUY,CRWD,382.9647,1547.3148
2024-07-09,SELL,CRWD,391.3121,1547.3148
2024-07-10,BUY,AVGO,174.3481,3467.2761
2024-07-16,SELL,AVGO,171.9117,3467.2761
2024-07-17,BUY,PLTR,27.8681,21354.5373
2024-07-23,SELL,PLTR,28.4273,21354.5373
2024-07-24,BUY,ALNY,230.6535,2627.6615
2024-07-30,SELL,NVDA,111.2629,6081.9186
2024-07-30,SELL,ARM,140.0896,4677.2967
2024-07-30,SELL,ALNY,236.2451,2627.6615
2024-08-21,BUY,NVDA,127.0292,5115.8234
2024-08-21,BUY,PLTR,32.2715,20137.2405
2024-08-21,BUY,MELI,2006.6555,323.8518
2024-08-27,SELL,MELI,1997.0,323.8518
2024-08-28,BUY,MSTR,136.8944,4716.7456
2024-09-04,SELL,NVDA,104.9024,5115.8234
2024-09-04,SELL,PLTR,29.9151,20137.2405
2024-09-04,SELL,MSTR,120.1295,4716.7456
2024-09-18,BUY,PLTR,35.966,15783.0274
2024-09-18,BUY,MELI,2073.8845,273.7146
2024-09-18,BUY,WMT,78.4422,7236.5686
2024-09-24,SELL,MELI,2109.491,273.7146
2024-09-24,SELL,WMT,80.1796,7236.5686
2024-09-25,BUY,APP,127.9578,4516.211
2024-09-25,BUY,TSLA,252.0314,2292.9065
2024-10-08,SELL,TSLA,243.1647,2292.9065
2024-10-09,BUY,MSTR,188.9661,2945.8222
2024-12-31,SELL,MSTR,315.0666,2945.8222
2025-01-02,BUY,TSLA,389.5946,2378.4836
2025-01-07,SELL,TSLA,405.5209,2378.4836
2025-01-08,BUY,MSTR,331.0027,2909.2839
2025-01-14,SELL,PLTR,67.4087,15783.0274
2025-01-14,SELL,APP,323.7536,4516.211
2025-01-14,SELL,MSTR,341.6867,2909.2839
2025-01-23,BUY,APP,353.6088,3312.967
2025-01-23,BUY,MSTR,370.9427,3158.1543
2025-01-23,BUY,PLTR,76.0757,15399.0602
2025-01-28,SELL,APP,348.0271,3312.967
2025-01-28,SELL,MSTR,342.7151,3158.1543
2025-01-28,SELL,PLTR,75.4366,15399.0602
2025-02-12,BUY,PLTR,110.2643,10252.836
2025-02-12,BUY,APP,372.9497,3031.2983
2025-02-12,BUY,MSTR,315.0467,3588.4261
2025-02-25,SELL,PLTR,89.865,10252.836
2025-02-25,SELL,APP,402.685,3031.2983
2025-02-25,SELL,MSTR,266.3299,3588.4261
2025-05-14,BUY,PLTR,128.7166,8009.2653
2025-05-14,BUY,MSTR,419.3799,2458.2137
2025-05-14,BUY,APP,371.9412,2771.743
2025-05-28,SELL,MSTR,368.9058,2458.2137
2025-05-29,BUY,AVGO,245.0918,3694.1158
2025-06-10,SELL,APP,387.9272,2771.743
2025-06-11,BUY,ZS,296.5545,3619.9534
2025-06-17,SELL,AVGO,250.4437,3694.1158
2025-06-18,BUY,CRWD,488.616,1890.4148
2025-06-24,SELL,CRWD,491.262,1890.4148
2025-06-25,BUY,AVGO,265.2714,3495.2967
2025-07-01,SELL,AVGO,273.6888,3495.2967
2025-07-02,BUY,CRWD,488.4662,1955.2882
2025-07-08,SELL,ZS,316.2249,3619.9534
2025-07-08,SELL,CRWD,506.2395,1955.2882
2025-07-09,BUY,MU,124.8923,8531.939
2025-07-09,BUY,AVGO,273.2095,3900.2066
2025-07-15,SELL,AVGO,279.2205,3900.2066
2025-07-16,BUY,MSTR,446.5292,2434.9462
2025-07-22,SELL,MU,112.7506,8531.939
2025-07-22,SELL,MSTR,428.5661,2434.9462
2025-07-23,BUY,AMD,156.4449,6399.3981
2025-07-23,BUY,WBD,12.8806,77725.6647
2025-08-05,SELL,WBD,12.8806,77725.6647
2025-08-06,BUY,NVDA,176.7844,5654.0658
2025-08-26,SELL,PLTR,156.0455,8009.2653
2025-08-27,BUY,SHOP,141.9667,8789.4536
2025-09-03,SELL,NVDA,169.9047,5654.0658
2025-09-03,SELL,SHOP,139.4804,8789.4536
2025-09-04,BUY,PLTR,154.5678,7061.9789
2025-09-04,BUY,GOOGL,231.0928,4723.4468
2025-09-09,SELL,AMD,150.8334,6399.3981
2025-09-09,SELL,PLTR,155.736,7061.9789
2025-09-10,BUY,AVGO,338.6213,3044.3181
2025-09-10,BUY,APP,564.3121,1826.7745
2025-09-16,SELL,GOOGL,251.0229,4723.4468
2025-09-17,BUY,WBD,18.1527,65213.2033
2025-09-23,SELL,AVGO,338.6912,3044.3181
2025-09-24,BUY,WDC,110.5738,9309.9209
2025-10-07,SELL,APP,593.8578,1826.7745
2025-10-07,SELL,WBD,18.9914,65213.2033
2025-10-08,BUY,SNDK,121.128,9575.0609
2025-10-08,BUY,MU,186.1803,6229.4881
2025-11-11,SELL,MU,252.6205,6229.4881
2025-11-12,BUY,LITE,261.597,6006.1029
2025-11-18,SELL,WDC,159.8698,9309.9209
2025-11-18,SELL,SNDK,255.6359,9575.0609
