date,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,999197.641886491
2021-01-07,1062983.7413802575
2021-01-08,1098094.1862986274
2021-01-11,1079652.7466954887
2021-01-12,1103849.8266443117
2021-01-13,1094318.6227651073
2021-01-14,1117099.0692840165
2021-01-15,1089374.9968892587
2021-01-19,1123445.4042420208
2021-01-20,1128055.92001103
2021-01-21,1117623.3833549165
2021-01-22,1116401.233161655
2021-01-25,1128348.5920714913
2021-01-26,1102884.6312368242
2021-01-27,1059892.4277590394
2021-01-28,1075022.3292827634
2021-01-29,1045574.7436240432
2021-02-01,1081189.1228320627
2021-02-02,1111461.3405821994
2021-02-03,1100760.8150061036
2021-02-04,1110849.877844239
2021-02-05,1125457.84780569
2021-02-08,1133870.9001213904
2021-02-09,1131872.9356994634
2021-02-10,1124052.3208833216
2021-02-11,1159501.1584067
2021-02-12,1187104.126427552
2021-02-16,1185088.5855910347
2021-02-17,1169796.52734917
2021-02-18,1157527.2296388778
2021-02-19,1177578.944960373
2021-02-22,1110825.5375895128
2021-02-23,1095256.009305607
2021-02-24,1118267.371216723
2021-02-25,1057331.1870450345
2021-02-26,1096511.743257222
2021-03-01,1134431.9361260268
2021-03-02,1102162.836415728
2021-03-03,1069468.9909236121
2021-03-04,997382.6433626183
2021-03-05,997382.6433626183
2021-03-08,997382.6433626183
2021-03-09,997382.6433626183
2021-03-10,997382.6433626183
2021-03-11,997382.6433626183
2021-03-12,997382.6433626183
2021-03-15,997382.6433626183
2021-03-16,997382.6433626183
2021-03-17,996582.3774606498
2021-03-18,972125.2238027944
2021-03-19,982071.0951501752
2021-03-22,985404.6351332803
2021-03-23,943298.1770250223
2021-03-24,904279.2883226881
2021-03-25,885485.4164367903
2021-03-26,852785.8833726567
2021-03-29,836755.3466776602
2021-03-30,849157.0141844865
2021-03-31,867954.1843947436
2021-04-01,911644.7361138742
2021-04-05,919334.4508956672
2021-04-06,913023.1793265352
2021-04-07,914964.2168116117
2021-04-08,924563.5544718057
2021-04-09,925634.9149566991
2021-04-12,902895.5343942845
2021-04-13,917955.3613007531
2021-04-14,912801.9231777242
2021-04-15,917215.5428454245
2021-04-16,913311.3350652503
2021-04-19,888916.2439144845
2021-04-20,875741.680838873
2021-04-21,907832.8757409172
2021-04-22,887205.7238603459
2021-04-23,907451.6643163718
