symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PANW,2021-01-06,53.8891,6180.5839,2021-01-12,57.8221,24308.57,7.3,4
AMAT,2021-01-13,97.8422,3646.6981,2021-02-02,103.3705,20160.02,5.65,13
WBD,2021-02-03,41.3656,9098.2964,2021-02-09,44.0922,24807.61,6.59,4
TSLA,2021-01-06,246.6639,1350.2821,2021-02-23,228.0201,-25174.45,-7.56,32
CRWD,2021-01-06,197.4442,1686.8859,2021-03-04,182.4504,-25292.91,-7.59,39
AMAT,2021-02-10,105.6557,3790.8118,2021-03-04,108.2157,9704.5,2.42,15
MU,2021-02-24,92.8153,3311.9221,2021-03-04,84.5992,-27211.21,-8.85,6
MU,2021-03-17,95.0625,3494.4798,2021-03-30,86.8163,-28816.41,-8.67,9
WBD,2021-03-17,75.0784,4424.6295,2021-04-06,43.9706,-137640.57,-41.43,13
PLTR,2021-04-07,22.794,8521.5468,2021-04-13,25.3024,21374.94,11.0,4
MU,2021-04-14,90.9595,2366.6447,2021-04-20,87.7593,-7573.7,-3.52,4
PLTR,2021-04-21,22.5253,9205.6961,2021-05-04,21.5399,-9071.47,-4.37,9
LRCX,2021-03-31,58.2919,5196.1009,2021-05-11,58.0167,-1429.83,-0.47,28
GOOG,2021-05-05,115.3121,1716.8241,2021-05-11,112.9645,-4030.4,-2.04,4
CMCSA,2021-05-12,55.8208,4430.2928,2021-05-18,54.1744,-7294.17,-2.95,4
CSCO,2021-05-12,49.617,4984.2335,2021-05-25,51.2612,8195.54,3.31,9
LRCX,2021-05-26,62.4833,4082.4892,2021-06-08,62.4353,-195.93,-0.08,8
WDC,2021-05-19,72.7086,3295.6574,2021-06-15,76.443,12307.28,5.14,18
GOOG,2021-06-16,123.0032,2044.8674,2021-06-29,123.3183,644.38,0.26,9
AMAT,2021-03-17,119.873,2771.2163,2021-07-07,135.0754,42129.03,12.68,77
CRWD,2021-06-30,237.5854,1059.6796,2021-07-13,246.8974,9867.82,3.92,8
NVDA,2021-06-09,17.0052,14964.965,2021-07-27,18.8173,27118.46,10.66,33
GOOG,2021-07-08,126.4091,2956.4546,2021-08-03,133.3599,20549.78,5.5,18
GOOGL,2021-07-28,132.8694,2115.9751,2021-08-03,132.4165,-958.47,-0.34,4
INTU,2021-07-14,494.6636,528.0597,2021-08-24,542.0791,25038.26,9.59,29
AMD,2021-08-04,121.2569,2776.6666,2021-08-31,113.0384,-22820.19,-6.78,19
REGN,2021-08-25,672.7831,424.7885,2021-09-08,672.7932,4.28,0.0,9
ADBE,2021-09-01,657.0501,476.9288,2021-09-08,654.4155,-1256.52,-0.4,4
ISRG,2021-09-09,349.3529,854.3576,2021-09-14,339.2315,-8647.25,-2.9,3
COST,2021-09-15,397.4335,728.0707,2021-09-21,389.9978,-5413.67,-1.87,4
NVDA,2021-08-04,19.8616,16951.7749,2021-10-05,20.0386,2999.32,0.89,43
INTU,2021-09-22,550.6699,514.8094,2021-10-12,516.347,-17669.73,-6.23,14
TSLA,2021-10-06,255.3985,1327.9024,2021-10-12,262.8933,9952.29,2.93,4
NFLX,2021-10-13,59.7987,5133.3067,2021-10-19,60.6761,4503.87,1.47,4
PANW,2021-09-09,72.8083,4099.4265,2021-10-26,75.9376,12828.23,4.3,33
TSLA,2021-10-27,338.6368,917.7999,2021-11-16,344.1412,5051.93,1.63,14
DDOG,2021-11-17,172.2318,1830.9384,2021-11-23,162.4189,-17966.72,-5.7,4
TSLA,2021-11-24,364.1326,815.3669,2021-11-30,373.5165,7651.34,2.58,3
DDOG,2021-12-01,148.9399,2041.5227,2021-12-07,160.2373,23063.99,7.59,4
NVDA,2021-10-20,21.6573,14358.642,2021-12-14,27.7689,87755.49,28.22,38
DDOG,2021-12-15,154.8149,2571.3604,2021-12-21,160.6718,15060.28,3.78,4
AVGO,2021-12-22,63.6777,6477.6616,2021-12-28,65.0189,8687.86,2.11,3
DDOG,2021-12-29,162.6815,2584.7762,2022-01-04,142.8113,-51359.82,-12.21,4
MRVL,2021-12-08,90.7308,3599.6926,2022-01-11,85.763,-17882.6,-5.48,23
AMD,2021-10-13,111.4457,2754.3896,2022-01-19,130.9559,53738.55,17.51,67
QCOM,2022-01-12,180.6722,1705.9903,2022-01-19,167.1523,-23064.75,-7.48,4
MU,2022-01-20,85.552,3768.628,2022-01-25,81.1774,-16486.3,-5.11,3
TSLA,2022-01-05,355.0358,1038.0453,2022-02-01,303.8517,-53131.44,-14.42,18
KLAC,2022-01-20,38.4468,8385.9665,2022-02-01,38.9233,3995.72,1.24,8
QCOM,2022-01-26,161.8509,1887.1452,2022-02-15,167.6659,10973.81,3.59,14
AAPL,2022-02-02,169.6393,1888.6867,2022-02-15,166.9092,-5156.29,-1.61,9
PANW,2022-02-02,79.5039,4029.9366,2022-02-23,74.5423,-19994.84,-6.24,14
DDOG,2022-02-16,157.4401,2002.7787,2022-02-23,135.2797,-44382.33,-14.08,4
BKNG,2022-02-24,91.9093,3103.1618,2022-03-01,82.9786,-27713.16,-9.72,3
MU,2022-02-16,96.6043,3264.0144,2022-03-08,77.5972,-62039.33,-19.68,13
AVGO,2022-02-24,56.3692,5059.6673,2022-03-15,57.6093,6274.56,2.2,13
AMGN,2022-03-09,229.3991,1102.3207,2022-03-22,234.3645,5473.43,2.16,9
COST,2022-03-16,470.2073,618.9097,2022-03-29,493.2162,14240.47,4.89,9
CSX,2022-03-23,35.3078,7305.1737,2022-03-29,36.5595,9143.43,3.54,4
TSLA,2022-03-30,356.9511,800.4046,2022-04-12,322.0257,-27954.45,-9.78,9
NVDA,2022-03-30,27.1395,10527.2715,2022-04-12,21.0765,-63827.12,-22.34,9
COST,2022-04-13,511.4832,468.1075,2022-05-03,457.7026,-25175.08,-10.51,13
AMGN,2022-04-13,251.2528,952.941,2022-05-03,230.1226,-20135.85,-8.41,13
PANW,2022-03-02,90.8442,2829.9285,2022-05-10,75.5458,-43293.18,-16.84,48
TMUS,2022-05-04,130.8086,1654.5166,2022-05-10,121.5492,-15319.96,-7.08,4
