date,action,symbol,price,shares
2021-01-06,BUY,TSLA,246.6639,1350.2821
2021-01-06,BUY,CRWD,197.4442,1686.8859
2021-01-06,BUY,PANW,53.8891,6180.5839
2021-01-12,SELL,PANW,57.8221,6180.5839
2021-01-13,BUY,AMAT,97.8422,3646.6981
2021-02-02,SELL,AMAT,103.3705,3646.6981
2021-02-03,BUY,WBD,41.3656,9098.2964
2021-02-09,SELL,WBD,44.0922,9098.2964
2021-02-10,BUY,AMAT,105.6557,3790.8118
2021-02-23,SELL,TSLA,228.0201,1350.2821
2021-02-24,BUY,MU,92.8153,3311.9221
2021-03-04,SELL,CRWD,182.4504,1686.8859
2021-03-04,SELL,AMAT,108.2157,3790.8118
2021-03-04,SELL,MU,84.5992,3311.9221
2021-03-17,BUY,WBD,75.0784,4424.6295
2021-03-17,BUY,AMAT,119.873,2771.2163
2021-03-17,BUY,MU,95.0625,3494.4798
2021-03-30,SELL,MU,86.8163,3494.4798
2021-03-31,BUY,LRCX,58.2919,5196.1009
2021-04-06,SELL,WBD,43.9706,4424.6295
2021-04-07,BUY,PLTR,22.794,8521.5468
2021-04-13,SELL,PLTR,25.3024,8521.5468
2021-04-14,BUY,MU,90.9595,2366.6447
2021-04-20,SELL,MU,87.7593,2366.6447
2021-04-21,BUY,PLTR,22.5253,9205.6961
2021-05-04,SELL,PLTR,21.5399,9205.6961
2021-05-05,BUY,GOOG,115.3121,1716.8241
2021-05-11,SELL,LRCX,58.0167,5196.1009
2021-05-11,SELL,GOOG,112.9645,1716.8241
2021-05-12,BUY,CSCO,49.617,4984.2335
2021-05-12,BUY,CMCSA,55.8208,4430.2928
2021-05-18,SELL,CMCSA,54.1744,4430.2928
2021-05-19,BUY,WDC,72.7086,3295.6574
2021-05-25,SELL,CSCO,51.2612,4984.2335
2021-05-26,BUY,LRCX,62.4833,4082.4892
2021-06-08,SELL,LRCX,62.4353,4082.4892
2021-06-09,BUY,NVDA,17.0052,14964.965
2021-06-15,SELL,WDC,76.443,3295.6574
2021-06-16,BUY,GOOG,123.0032,2044.8674
2021-06-29,SELL,GOOG,123.3183,2044.8674
2021-06-30,BUY,CRWD,237.5854,1059.6796
2021-07-07,SELL,AMAT,135.0754,2771.2163
2021-07-08,BUY,GOOG,126.4091,2956.4546
2021-07-13,SELL,CRWD,246.8974,1059.6796
2021-07-14,BUY,INTU,494.6636,528.0597
2021-07-27,SELL,NVDA,18.8173,14964.965
2021-07-28,BUY,GOOGL,132.8694,2115.9751
2021-08-03,SELL,GOOG,133.3599,2956.4546
2021-08-03,SELL,GOOGL,132.4165,2115.9751
2021-08-04,BUY,NVDA,19.8616,16951.7749
2021-08-04,BUY,AMD,121.2569,2776.6666
2021-08-24,SELL,INTU,542.0791,528.0597
2021-08-25,BUY,REGN,672.7831,424.7885
2021-08-31,SELL,AMD,113.0384,2776.6666
2021-09-01,BUY,ADBE,657.0501,476.9288
2021-09-08,SELL,REGN,672.7932,424.7885
2021-09-08,SELL,ADBE,654.4155,476.9288
2021-09-09,BUY,ISRG,349.3529,854.3576
2021-09-09,BUY,PANW,72.8083,4099.4265
2021-09-14,SELL,ISRG,339.2315,854.3576
2021-09-15,BUY,COST,397.4335,728.0707
2021-09-21,SELL,COST,389.9978,728.0707
2021-09-22,BUY,INTU,550.6699,514.8094
2021-10-05,SELL,NVDA,20.0386,16951.7749
2021-10-06,BUY,TSLA,255.3985,1327.9024
2021-10-12,SELL,INTU,516.347,514.8094
2021-10-12,SELL,TSLA,262.8933,1327.9024
2021-10-13,BUY,AMD,111.4457,2754.3896
2021-10-13,BUY,NFLX,59.7987,5133.3067
2021-10-19,SELL,NFLX,60.6761,5133.3067
2021-10-20,BUY,NVDA,21.6573,14358.642
2021-10-26,SELL,PANW,75.9376,4099.4265
2021-10-27,BUY,TSLA,338.6368,917.7999
2021-11-16,SELL,TSLA,344.1412,917.7999
2021-11-17,BUY,DDOG,172.2318,1830.9384
2021-11-23,SELL,DDOG,162.4189,1830.9384
2021-11-24,BUY,TSLA,364.1326,815.3669
2021-11-30,SELL,TSLA,373.5165,815.3669
2021-12-01,BUY,DDOG,148.9399,2041.5227
2021-12-07,SELL,DDOG,160.2373,2041.5227
2021-12-08,BUY,MRVL,90.7308,3599.6926
2021-12-14,SELL,NVDA,27.7689,14358.642
2021-12-15,BUY,DDOG,154.8149,2571.3604
2021-12-21,SELL,DDOG,160.6718,2571.3604
2021-12-22,BUY,AVGO,63.6777,6477.6616
2021-12-28,SELL,AVGO,65.0189,6477.6616
2021-12-29,BUY,DDOG,162.6815,2584.7762
2022-01-04,SELL,DDOG,142.8113,2584.7762
2022-01-05,BUY,TSLA,355.0358,1038.0453
2022-01-11,SELL,MRVL,85.763,3599.6926
2022-01-12,BUY,QCOM,180.6722,1705.9903
