symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
COST,2022-08-10,543.2806,613.0642,2022-08-16,550.8138,4618.34,1.39,4
CDNS,2022-08-10,188.8299,1763.8408,2022-08-23,183.4747,-9445.72,-2.84,9
ADP,2022-08-10,254.0711,1310.916,2022-08-23,255.7896,2252.81,0.68,9
CRWD,2022-08-17,196.1133,1719.1203,2022-08-23,191.1678,-8501.91,-2.52,4
ASML,2023-02-08,669.9935,490.5493,2023-02-14,660.7075,-4555.24,-1.39,4
BKNG,2023-02-08,98.3323,3342.3891,2023-02-22,96.6556,-5604.18,-1.71,9
GILD,2023-02-15,84.8925,3811.755,2023-02-22,84.4731,-1598.65,-0.49,4
FTNT,2023-02-23,60.3893,5332.204,2023-02-28,59.4207,-5164.77,-1.6,3
ABNB,2023-02-23,128.0277,2515.1437,2023-03-07,125.5514,-6228.25,-1.93,8
AXON,2023-02-08,185.6711,1770.1452,2023-03-13,207.3685,38407.55,11.69,22
BKNG,2023-03-01,100.8809,3135.7249,2023-03-13,97.8929,-9369.55,-2.96,8
FTNT,2023-03-08,60.569,5205.1871,2023-03-13,57.8331,-14240.87,-4.52,3
BKNG,2023-03-15,96.3537,3367.8167,2023-03-21,100.4491,13792.56,4.25,4
CDNS,2023-03-15,201.697,1608.8569,2023-03-21,207.5482,9413.74,2.9,4
AMAT,2023-03-22,120.0996,2794.0594,2023-03-28,118.5719,-4268.48,-1.27,4
BKNG,2023-03-29,102.804,3217.4359,2023-04-11,103.0835,899.27,0.27,8
AMD,2023-03-22,95.6263,3509.1331,2023-04-18,91.5924,-14155.49,-4.22,18
FTNT,2023-04-12,67.3488,4916.6774,2023-04-25,65.0123,-11487.82,-3.47,9
BKNG,2023-04-19,107.159,2994.5603,2023-05-02,107.2429,251.24,0.08,9
CPRT,2023-04-26,38.3624,8318.8612,2023-05-02,38.9864,5190.97,1.63,4
AXON,2023-03-15,211.6321,1533.3288,2023-05-09,221.4074,14988.75,4.62,38
CCEP,2023-05-03,65.4018,4926.7135,2023-05-16,65.8211,2065.77,0.64,9
FTNT,2023-05-10,67.1391,5048.4085,2023-05-16,68.2375,5545.17,1.64,4
AMD,2023-05-03,83.185,3873.486,2023-05-23,107.3288,93520.67,29.02,14
APP,2023-05-17,24.5032,13624.7368,2023-05-23,24.7728,3673.23,1.1,4
CPRT,2023-05-17,40.609,8221.0754,2023-05-23,44.1936,29469.27,8.83,4
SHOP,2023-05-24,57.264,6489.1689,2023-05-31,58.1526,5766.28,1.55,4
META,2023-05-24,244.9021,1517.3237,2023-07-05,286.9689,63828.95,17.18,26
TSLA,2023-07-06,277.8326,1564.707,2023-07-25,272.3109,-8639.84,-1.99,12
PLTR,2023-06-01,14.3584,26239.466,2023-08-22,14.7778,11004.83,2.92,54
META,2023-07-26,300.3188,1416.5066,2023-08-29,288.6963,-16463.35,-3.87,24
PLTR,2023-08-30,15.5167,26312.5818,2023-09-06,15.1273,-10246.12,-2.51,4
SHOP,2023-09-07,64.3334,6177.1952,2023-09-12,63.4647,-5366.13,-1.35,3
ADBE,2023-08-23,520.2884,744.0867,2023-09-19,529.6144,6939.35,1.79,18
NVDA,2023-05-24,30.1317,12332.3864,2023-09-26,41.9979,146338.56,39.38,83
PLTR,2023-09-13,15.5466,25176.2499,2023-09-27,14.1887,-34186.83,-8.73,10
CHTR,2023-09-20,449.315,875.6596,2023-09-27,428.0869,-18588.59,-4.72,5
PDD,2023-09-27,94.1286,5493.5939,2023-09-27,94.1286,0.0,0.0,0
NVDA,2023-10-04,43.6604,9521.8083,2023-10-17,43.8142,1464.45,0.35,7
PLTR,2023-10-04,15.3569,27070.9555,2023-10-26,15.5367,4867.36,1.17,14
PDD,2023-10-04,97.4037,4268.0715,2023-10-26,107.838,44534.34,10.71,14
CRWD,2023-10-18,185.721,2242.7267,2023-10-26,175.8458,-22147.37,-5.32,6
CRWD,2023-11-01,178.0425,2383.6686,2023-11-21,206.8493,68665.86,16.18,14
PLTR,2023-11-01,14.8177,28641.0385,2023-12-06,17.6335,80647.44,19.0,22
INTC,2023-11-22,43.9939,11189.5039,2023-12-06,42.4063,-17764.46,-3.61,7
ZS,2023-12-07,197.1638,2480.1135,2024-01-03,206.35,22782.82,4.66,16
INTC,2024-01-04,45.3619,11263.8853,2024-01-09,47.958,29242.17,5.72,2
PDD,2023-11-01,101.6273,4175.9873,2024-01-30,125.3217,98947.51,23.31,55
AMD,2024-01-10,149.785,3600.6796,2024-02-13,166.3102,59501.95,11.03,22
NVDA,2024-01-31,61.3119,8522.0513,2024-02-21,67.8002,55293.63,10.58,14
PANW,2024-02-22,136.4101,4228.9467,2024-02-27,157.723,90131.12,15.62,3
META,2024-02-14,468.1867,1276.9914,2024-03-05,493.4287,32233.82,5.39,13
CRWD,2023-12-07,237.8926,2055.5015,2024-03-19,316.5245,161627.99,33.05,66
AMD,2024-03-06,209.8048,2998.4769,2024-03-26,179.3106,-91436.15,-14.53,14
META,2024-03-20,498.7208,1302.4811,2024-03-26,504.7418,7842.24,1.21,4
MU,2024-03-27,118.8814,5018.282,2024-04-02,122.0866,16084.6,2.7,3
MSTR,2024-03-27,195.2098,3056.0985,2024-04-16,130.1565,-198809.3,-33.32,13
ARM,2024-04-03,122.8255,4980.1019,2024-04-23,96.8745,-129238.62,-21.13,14
META,2024-04-24,507.7073,948.719,2024-04-30,430.9826,-72790.18,-15.11,3
ARM,2024-05-01,99.6203,4097.8166,2024-05-21,109.3358,39812.34,9.75,12
QCOM,2024-05-22,202.5557,2208.3791,2024-05-29,208.337,12767.3,2.85,3
MU,2024-04-17,122.1465,3251.2857,2024-07-02,129.5454,24055.94,6.06,48
CRWD,2024-07-03,382.9647,1098.0483,2024-07-09,391.3121,9165.85,2.18,3
AVGO,2024-07-10,174.3481,2460.541,2024-07-16,171.9117,-5994.86,-1.4,4
PLTR,2024-07-17,27.8681,15154.1562,2024-07-23,28.4273,8474.2,2.01,4
NVDA,2024-02-28,77.5725,8584.6636,2024-07-26,115.7262,327536.68,49.18,99
ARM,2024-05-30,120.8784,3800.096,2024-07-26,154.8873,129237.08,28.13,39
ALNY,2024-07-24,230.6535,1864.7063,2024-07-26,235.8956,9774.98,2.27,2
ARM,2024-07-31,142.2863,4729.1848,2024-08-02,113.5993,-135666.12,-20.16,2
NVDA,2024-07-31,113.7092,5917.7112,2024-08-02,103.5744,-59974.82,-8.91,2
TSLA,2024-07-31,227.2586,2960.9361,2024-08-02,213.8987,-39557.81,-5.88,2
MELI,2024-08-21,2006.6555,295.7888,2024-08-27,1997.0,-2855.99,-0.48,4
NVDA,2024-08-21,127.0292,4672.5177,2024-09-04,104.9024,-103387.86,-17.42,9
PLTR,2024-08-21,32.2715,18392.2712,2024-09-04,29.9151,-43339.55,-7.3,9
MSTR,2024-08-28,136.8944,4308.0202,2024-09-04,120.1295,-72223.53,-12.25,4
MELI,2024-09-18,2073.8845,249.996,2024-09-24,2109.491,8901.48,1.72,4
WMT,2024-09-18,78.4422,6609.4893,2024-09-24,80.1796,11483.33,2.21,4
TSLA,2024-09-25,252.0314,2094.2157,2024-10-08,243.1647,-18568.78,-3.52,9
MSTR,2024-10-09,188.9661,2690.5525,2024-12-31,315.0666,339280.01,66.73,51
TSLA,2025-01-02,389.5946,2172.376,2025-01-07,405.5209,34597.91,4.09,3
MSTR,2025-01-08,331.0027,2657.1792,2025-02-25,266.3299,-171847.22,-19.54,31
SHOP,2025-02-26,111.2528,6350.8774,2025-03-04,103.2548,-50794.32,-7.19,4
PLTR,2024-09-18,35.966,14415.3612,2025-03-05,85.9109,719973.78,138.87,108
APP,2024-09-25,127.9578,4124.8608,2025-03-05,321.1774,797003.96,151.0,103
TMUS,2025-03-05,260.7781,2510.595,2025-03-05,260.7781,0.0,0.0,0
MSTR,2025-05-14,419.3799,2553.6165,2025-05-28,368.9058,-128891.5,-12.04,9
APP,2025-05-14,371.9412,2879.3138,2025-06-10,387.9272,46028.71,4.3,18
AVGO,2025-05-29,245.0918,3837.4841,2025-06-17,250.4437,20537.83,2.18,13
CRWD,2025-06-18,488.616,1963.7818,2025-06-24,491.262,5196.17,0.54,3
AVGO,2025-06-25,265.2714,3630.9495,2025-07-01,273.6888,30563.15,3.17,3
ZS,2025-06-11,296.5545,3760.4435,2025-07-08,316.2249,73969.43,6.63,15
CRWD,2025-07-02,488.4662,2031.1733,2025-07-08,506.2395,36100.65,3.64,2
AVGO,2025-07-09,273.2095,4051.574,2025-07-15,279.2205,24354.01,2.2,4
MU,2025-07-09,124.8923,8863.0644,2025-07-22,112.7506,-107612.67,-9.72,9
MSTR,2025-07-16,446.5292,2529.4469,2025-07-22,428.5661,-45436.71,-4.02,4
WBD,2025-07-23,12.8806,80742.2143,2025-08-05,12.8806,0.0,0.0,9
PLTR,2025-05-14,128.7166,8320.1036,2025-08-26,156.0455,227379.28,21.23,69
NVDA,2025-08-06,176.7844,5873.5018,2025-09-03,169.9047,-40407.93,-3.89,19
SHOP,2025-08-27,141.9667,9130.5713,2025-09-03,139.4804,-22701.34,-1.75,4
AMD,2025-07-23,156.4449,6647.7601,2025-09-09,150.8334,-37303.91,-3.59,33
PLTR,2025-09-04,154.5678,7336.0553,2025-09-09,155.736,8569.98,0.76,3
GOOGL,2025-09-04,231.0928,4906.7644,2025-09-16,251.0229,97792.31,8.62,8
AVGO,2025-09-10,338.6213,3162.4688,2025-09-23,338.6912,221.06,0.02,9
APP,2025-09-10,564.3121,1897.6721,2025-10-07,593.8578,56068.05,5.24,19
WBD,2025-09-17,18.1527,67744.1411,2025-10-07,18.9914,56817.01,4.62,14
MU,2025-10-08,186.1803,6471.2564,2025-11-11,252.6205,429951.57,35.69,23
WDC,2025-09-24,110.5738,9671.2419,2025-12-09,169.6551,571389.54,53.43,52
WBD,2025-12-10,28.2076,58074.7874,2025-12-23,28.7767,33050.36,2.02,8
WDC,2025-12-24,177.733,9387.8287,2026-01-06,187.658,93174.2,5.58,7
MU,2026-01-07,344.2828,5108.8311,2026-01-13,345.3113,5254.43,0.3,4
WDC,2026-01-14,213.6989,8242.0394,2026-01-21,222.6854,74067.09,4.21,4
LITE,2025-11-12,261.597,6239.2018,2026-01-27,339.49,485990.15,29.78,49
