date,action,symbol,price,shares
2023-02-23,BUY,ABNB,128.0277,2601.5142
2023-02-23,BUY,FTNT,60.3893,5515.3128
2023-02-23,BUY,AXON,195.5862,1702.9109
2023-02-28,SELL,FTNT,59.4207,5515.3128
2023-03-01,BUY,BKNG,100.8809,3243.4069
2023-03-07,SELL,ABNB,125.5514,2601.5142
2023-03-08,BUY,FTNT,60.569,5383.9352
2023-03-14,SELL,FTNT,59.8701,5383.9352
2023-03-15,BUY,CDNS,201.697,1595.5588
2023-03-21,SELL,BKNG,100.4491,3243.4069
2023-03-21,SELL,CDNS,207.5482,1595.5588
2023-03-22,BUY,AMD,95.6263,3429.4874
2023-03-22,BUY,AMAT,120.0996,2730.6435
2023-03-28,SELL,AMAT,118.5719,2730.6435
2023-03-29,BUY,BKNG,102.804,3144.4103
2023-04-11,SELL,BKNG,103.0835,3144.4103
2023-04-12,BUY,FTNT,67.3488,4805.0836
2023-04-18,SELL,AMD,91.5924,3429.4874
2023-04-19,BUY,BKNG,107.159,2926.5932
2023-04-25,SELL,FTNT,65.0123,4805.0836
2023-04-26,BUY,CPRT,38.3624,8130.047
2023-05-02,SELL,BKNG,107.2429,2926.5932
2023-05-02,SELL,CPRT,38.9864,8130.047
2023-05-03,BUY,AMD,83.185,3785.5689
2023-05-03,BUY,CCEP,65.4018,4814.8912
2023-05-09,SELL,AXON,221.4074,1702.9109
2023-05-10,BUY,FTNT,67.1391,5606.7524
2023-05-16,SELL,CCEP,65.8211,4814.8912
2023-05-16,SELL,FTNT,68.2375,5606.7524
2023-05-17,BUY,APP,24.5032,14250.9934
2023-05-17,BUY,CPRT,40.609,8598.9544
2023-05-23,SELL,AMD,107.3288,3785.5689
2023-05-23,SELL,APP,24.7728,14250.9934
2023-05-23,SELL,CPRT,44.1936,8598.9544
2023-05-24,BUY,META,244.9021,1548.2769
2023-05-24,BUY,NVDA,30.1317,12583.9656
2023-05-24,BUY,SHOP,57.264,6621.5471
2023-05-31,SELL,SHOP,58.1526,6621.5471
2023-06-01,BUY,PLTR,14.3584,26774.7507
2023-07-05,SELL,META,286.9689,1548.2769
2023-07-06,BUY,TSLA,277.8326,1596.6269
2023-07-25,SELL,TSLA,272.3109,1596.6269
2023-07-26,BUY,META,300.3188,1445.4034
2023-08-22,SELL,PLTR,14.7778,26774.7507
2023-08-23,BUY,ADBE,520.2884,759.2661
2023-08-29,SELL,META,288.6963,1445.4034
2023-08-30,BUY,PLTR,15.5167,26849.3628
2023-09-06,SELL,PLTR,15.1273,26849.3628
2023-09-07,BUY,SHOP,64.3334,6303.2116
2023-09-12,SELL,SHOP,63.4647,6303.2116
2023-09-13,BUY,PLTR,15.5466,25689.8548
2023-09-19,SELL,ADBE,529.6144,759.2661
2023-09-20,BUY,CHTR,449.315,893.5232
2023-09-26,SELL,NVDA,41.9979,12583.9656
2023-09-27,BUY,PDD,94.1286,5605.6629
2023-09-27,SELL,PLTR,14.1887,25689.8548
2023-09-27,SELL,CHTR,428.0869,893.5232
2023-09-27,SELL,PDD,94.1286,5605.6629
2023-10-04,BUY,PLTR,15.3569,27623.2096
2023-10-04,BUY,PDD,97.4037,4355.1412
2023-10-04,BUY,NVDA,43.6604,9716.0555
2023-10-17,SELL,NVDA,43.8142,9716.0555
2023-10-18,BUY,CRWD,185.721,2288.4791
2023-10-26,SELL,PLTR,15.5367,27623.2096
2023-10-26,SELL,PDD,107.838,4355.1412
2023-10-26,SELL,CRWD,175.8458,2288.4791
2023-11-01,BUY,PDD,101.6273,4261.179
2023-11-01,BUY,PLTR,14.8177,29225.3263
2023-11-01,BUY,CRWD,178.0425,2432.2963
2023-11-21,SELL,CRWD,206.8493,2432.2963
2023-11-22,BUY,INTC,43.9939,11417.7749
2023-12-06,SELL,PLTR,17.6335,29225.3263
2023-12-06,SELL,INTC,42.4063,11417.7749
2023-12-07,BUY,CRWD,237.8926,2097.4347
2023-12-07,BUY,ZS,197.1638,2530.709
2024-01-03,SELL,ZS,206.35,2530.709
2024-01-04,BUY,INTC,45.3619,11493.675
2024-01-09,SELL,INTC,47.958,11493.675
2024-01-10,BUY,AMD,149.785,3674.1358
2024-01-30,SELL,PDD,125.3217,4261.179
2024-01-31,BUY,NVDA,61.3119,8695.9049
2024-02-13,SELL,AMD,166.3102,3674.1358
2024-02-14,BUY,META,468.1867,1303.0429
2024-02-21,SELL,NVDA,67.8002,8695.9049
2024-02-22,BUY,PANW,136.4101,4315.2194
2024-02-27,SELL,PANW,157.723,4315.2194
2024-02-28,BUY,NVDA,77.5725,8759.7957
2024-03-05,SELL,META,493.4287,1303.0429
2024-03-06,BUY,AMD,209.8048,3059.6481
2024-03-19,SELL,CRWD,316.5245,2097.4347
2024-03-20,BUY,META,498.7208,1329.0525
2024-03-26,SELL,AMD,179.3106,3059.6481
2024-03-26,SELL,META,504.7418,1329.0525
2024-03-27,BUY,MSTR,195.2098,3118.4452
2024-03-27,BUY,MU,118.8814,5120.6586
2024-04-02,SELL,MU,122.0866,5120.6586
2024-04-03,BUY,ARM,122.8255,5081.6999
2024-04-16,SELL,MSTR,130.1565,3118.4452
2024-04-17,BUY,MU,122.1465,3317.6146
2024-04-23,SELL,ARM,96.8745,5081.6999
2024-04-24,BUY,META,507.7073,968.0737
2024-04-30,SELL,META,430.9826,968.0737
2024-05-01,BUY,ARM,99.6203,4181.416
2024-05-21,SELL,ARM,109.3358,4181.416
2024-05-22,BUY,QCOM,202.5557,2253.4324
2024-05-29,SELL,QCOM,208.337,2253.4324
2024-05-30,BUY,ARM,120.8784,3877.6223
2024-07-02,SELL,MU,129.5454,3317.6146
2024-07-03,BUY,CRWD,382.9647,1120.4495
2024-07-09,SELL,CRWD,391.3121,1120.4495
2024-07-10,BUY,AVGO,174.3481,2510.7386
2024-07-16,SELL,AVGO,171.9117,2510.7386
2024-07-17,BUY,PLTR,27.8681,15463.3179
2024-07-23,SELL,PLTR,28.4273,15463.3179
2024-07-24,BUY,ALNY,230.6535,1902.7486
2024-07-26,SELL,NVDA,115.7262,8759.7957
2024-07-26,SELL,ARM,154.8873,3877.6223
2024-07-26,SELL,ALNY,235.8956,1902.7486
2024-07-31,BUY,ARM,142.2863,4825.6646
2024-07-31,BUY,NVDA,113.7092,6038.4381
2024-07-31,BUY,TSLA,227.2586,3021.342
2024-08-02,SELL,ARM,113.5993,4825.6646
2024-08-02,SELL,NVDA,103.5744,6038.4381
2024-08-02,SELL,TSLA,213.8987,3021.342
2024-08-21,BUY,NVDA,127.0292,4767.8418
2024-08-21,BUY,PLTR,32.2715,18767.4922
2024-08-21,BUY,MELI,2006.6555,301.8232
2024-08-27,SELL,MELI,1997.0,301.8232
2024-08-28,BUY,MSTR,136.8944,4395.9085
2024-09-04,SELL,NVDA,104.9024,4767.8418
2024-09-04,SELL,PLTR,29.9151,18767.4922
2024-09-04,SELL,MSTR,120.1295,4395.9085
2024-09-18,BUY,PLTR,35.966,14709.4507
2024-09-18,BUY,MELI,2073.8845,255.0962
2024-09-18,BUY,WMT,78.4422,6744.3303
2024-09-24,SELL,MELI,2109.491,255.0962
2024-09-24,SELL,WMT,80.1796,6744.3303
2024-09-25,BUY,APP,127.9578,4209.0129
2024-09-25,BUY,TSLA,252.0314,2136.9402
2024-10-08,SELL,TSLA,243.1647,2136.9402
2024-10-09,BUY,MSTR,188.9661,2745.4432
2024-12-31,SELL,MSTR,315.0666,2745.4432
2025-01-02,BUY,TSLA,389.5946,2216.6954
2025-01-07,SELL,TSLA,405.5209,2216.6954
2025-01-08,BUY,MSTR,331.0027,2711.3893
2025-02-25,SELL,MSTR,266.3299,2711.3893
2025-02-26,BUY,SHOP,111.2528,6480.4443
2025-03-04,SELL,SHOP,103.2548,6480.4443
2025-03-05,BUY,TMUS,260.7781,2561.8149
2025-03-05,SELL,PLTR,85.9109,14709.4507
2025-03-05,SELL,APP,321.1774,4209.0129
2025-03-05,SELL,TMUS,260.7781,2561.8149
2025-05-14,BUY,PLTR,128.7166,8489.8442
2025-05-14,BUY,MSTR,419.3799,2605.7135
2025-05-14,BUY,APP,371.9412,2938.0555
2025-05-28,SELL,MSTR,368.9058,2605.7135
2025-05-29,BUY,AVGO,245.0918,3915.7738
2025-06-10,SELL,APP,387.9272,2938.0555
2025-06-11,BUY,ZS,296.5545,3837.1614
2025-06-17,SELL,AVGO,250.4437,3915.7738
2025-06-18,BUY,CRWD,488.616,2003.8456
2025-06-24,SELL,CRWD,491.262,2003.8456
2025-06-25,BUY,AVGO,265.2714,3705.0259
2025-07-01,SELL,AVGO,273.6888,3705.0259
2025-07-02,BUY,CRWD,488.4662,2072.6121
2025-07-08,SELL,ZS,316.2249,3837.1614
2025-07-08,SELL,CRWD,506.2395,2072.6121
2025-07-09,BUY,MU,124.8923,9043.8833
2025-07-09,BUY,AVGO,273.2095,4134.2317
2025-07-15,SELL,AVGO,279.2205,4134.2317
2025-07-16,BUY,MSTR,446.5292,2581.0513
2025-07-22,SELL,MU,112.7506,9043.8833
2025-07-22,SELL,MSTR,428.5661,2581.0513
2025-07-23,BUY,AMD,156.4449,6783.3841
2025-07-23,BUY,WBD,12.8806,82389.473
2025-08-05,SELL,WBD,12.8806,82389.473
2025-08-06,BUY,NVDA,176.7844,5993.33
2025-08-26,SELL,PLTR,156.0455,8489.8442
2025-08-27,BUY,SHOP,141.9667,9316.8468
2025-09-03,SELL,NVDA,169.9047,5993.33
2025-09-03,SELL,SHOP,139.4804,9316.8468
2025-09-04,BUY,PLTR,154.5678,7485.7212
2025-09-04,BUY,GOOGL,231.0928,5006.8693
2025-09-09,SELL,AMD,150.8334,6783.3841
2025-09-09,SELL,PLTR,155.736,7485.7212
2025-09-10,BUY,AVGO,338.6213,3226.9878
2025-09-10,BUY,APP,564.3121,1936.3874
2025-09-16,SELL,GOOGL,251.0229,5006.8693
2025-09-17,BUY,WBD,18.1527,69126.2198
2025-09-23,SELL,AVGO,338.6912,3226.9878
2025-09-24,BUY,WDC,110.5738,9868.5499
2025-10-07,SELL,APP,593.8578,1936.3874
2025-10-07,SELL,WBD,18.9914,69126.2198
2025-10-08,BUY,SNDK,121.128,10149.5987
2025-10-08,BUY,MU,186.1803,6603.2797
