symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
MU,2017-04-05,23.8353,20960.4843,2017-05-02,23.422,-8662.64,-1.73,18,mega,-1.73
AMD,2017-04-05,18.1209,27570.3973,2017-06-02,13.9391,-115292.17,-23.08,40,mega,-23.08
NVDA,2017-06-05,3.815,100574.6039,2017-07-05,3.6871,-12857.92,-3.35,21,mega,-3.35
VRTX,2017-05-03,149.2786,3283.4556,2017-10-03,191.2346,137760.67,28.11,106,large,28.11
MU,2017-10-04,33.366,18788.7032,2017-12-04,33.6528,5387.87,0.86,42,mega,0.86
ALGN,2017-07-06,69.5031,5326.9289,2018-01-03,107.3134,201412.99,54.4,125,large,54.4
NTAP,2017-12-05,48.3747,13049.7803,2018-01-03,49.1761,10457.7,1.66,19,large,1.66
AKAM,2018-01-04,56.4395,10732.2411,2018-02-02,56.5427,1108.05,0.18,20,large,0.18
DLTR,2018-01-04,174.2423,3476.3209,2018-03-02,167.1196,-24760.81,-4.09,39,large,-4.09
STX,2018-02-05,0.9755,621045.1541,2018-05-02,1.0861,68658.63,11.33,60,large,11.33
NTAP,2018-05-03,58.2876,11553.6776,2018-06-04,61.827,40893.32,6.07,21,large,6.07
NFLX,2018-03-05,11.0949,52278.8107,2018-08-02,12.134,54320.34,9.37,105,mega,9.37
ALGN,2018-06-05,160.6359,4439.7643,2018-09-05,173.0893,55290.06,7.75,64,large,7.75
ILMN,2018-09-06,249.8476,3070.8529,2018-11-02,235.3642,-44476.38,-5.8,41,large,-5.8
TSCO,2018-11-05,20.6778,34897.9121,2018-12-04,20.5599,-4113.4,-0.57,20,large,-0.57
AMD,2018-08-03,23.6454,26784.7438,2019-01-03,21.8039,-49324.09,-7.79,104,mega,-7.79
SBUX,2018-12-06,39.7141,18037.631,2019-01-03,36.7184,-54035.78,-7.54,18,large,-7.54
INCY,2019-03-05,75.5726,8232.6584,2019-04-02,77.0478,12144.75,1.95,20,large,1.95
ULTA,2019-04-03,398.6662,1588.5278,2019-05-02,390.8755,-12375.71,-1.95,20,large,-1.95
CDNS,2019-03-05,66.1628,9403.5321,2019-06-04,71.0516,45972.71,7.39,63,large,7.39
QCOM,2019-05-03,87.6755,7070.6386,2019-06-04,67.2123,-144687.77,-23.34,21,large,-23.34
AMD,2019-07-03,39.8864,14309.8884,2019-08-02,37.6484,-32024.57,-5.61,21,mega,-5.61
CDNS,2019-07-03,84.0774,6788.618,2019-08-02,80.0989,-27008.74,-4.73,21,large,-4.73
SBUX,2019-08-05,56.4686,9569.6535,2019-09-04,58.1406,15999.69,2.96,21,large,2.96
CPRT,2019-08-05,16.1223,33517.9121,2019-09-04,16.6187,16638.58,3.08,21,large,3.08
TTWO,2019-09-05,87.0376,6385.8909,2019-10-02,79.2913,-49466.68,-8.9,19,large,-8.9
KLAC,2019-09-05,16.2579,34187.1457,2019-12-03,16.9186,22587.15,4.06,62,large,4.06
LRCX,2019-10-03,17.6153,28698.5494,2019-12-03,19.8295,63542.33,12.57,42,large,12.57
FTNT,2019-12-04,26.774,21394.565,2020-01-03,28.7491,42254.86,7.38,20,large,7.38
QRVO,2019-12-04,61.7691,9273.5469,2020-03-03,58.3669,-31550.99,-5.51,60,large,-5.51
AMD,2020-01-06,61.882,9923.5324,2020-04-02,56.8946,-49492.52,-8.06,61,mega,-8.06
REGN,2020-03-04,654.627,825.5091,2020-04-02,661.6179,5771.08,1.07,21,large,1.07
INCY,2020-05-05,87.8185,6314.0874,2020-06-02,89.667,11671.2,2.1,19,large,2.1
REGN,2020-05-05,761.9317,727.7474,2020-07-02,825.7124,46416.26,8.37,41,large,8.37
APA,2020-07-06,27.8183,21566.6258,2020-08-04,32.7102,105500.54,17.58,21,large,17.58
DXCM,2020-06-03,82.1304,6882.4475,2020-09-02,100.5045,126459.2,22.37,64,large,22.37
AMD,2020-08-05,109.096,6455.9473,2020-11-03,97.9319,-72074.72,-10.23,63,mega,-10.23
NVDA,2020-09-03,13.5487,50972.3927,2020-12-02,14.0994,28068.95,4.06,62,mega,4.06
LRCX,2020-12-03,37.9082,18928.0383,2021-01-05,38.8281,17412.86,2.43,21,large,2.43
ALGN,2020-11-04,224.402,2812.9453,2021-02-02,258.8936,97023.06,15.37,60,large,15.37
TSLA,2021-01-06,285.7809,2567.572,2021-03-02,259.4929,-67496.32,-9.2,37,mega,-9.2
ENPH,2021-02-03,248.4233,2926.8087,2021-04-05,189.0568,-173754.41,-23.9,41,large,-23.9
WDC,2021-03-03,54.7014,12160.5656,2021-04-05,56.5622,22628.48,3.4,22,large,3.4
AMAT,2021-04-06,117.6904,5264.5459,2022-05-19,111.2897,-33696.68,-5.44,40,large,-5.44
FANG,2021-04-06,123.1218,5032.3051,2022-07-05,116.8048,-31789.01,-5.13,70,large,-5.13
FTNT,2022-05-20,56.7489,10307.7074,2022-08-02,59.4465,27806.07,4.75,49,large,4.75
STX,2022-07-06,2.232,262928.1683,2022-08-02,2.232,0.0,0.0,19,large,0.0
SNPS,2022-08-03,359.1765,1667.2736,2022-09-02,334.199,-41644.33,-6.95,22,large,-6.95
NDAQ,2022-08-03,59.607,10046.563,2022-10-04,58.9115,-6987.38,-1.17,43,large,-1.17
ENPH,2022-09-06,282.3857,1970.0302,2022-10-04,295.8956,26614.91,4.78,20,large,4.78
BIIB,2022-12-05,298.5615,1964.2506,2023-01-04,273.4692,-49287.57,-8.4,20,large,-8.4
NFLX,2022-12-05,31.7014,18499.1705,2023-01-04,29.7962,-35244.62,-6.01,20,mega,-6.01
FSLR,2023-02-03,164.7525,3297.7437,2023-04-04,207.009,139351.11,25.65,41,large,25.65
