date,action,symbol,price,shares
2017-04-05,BUY,AMD,18.1209,27570.3973
2017-04-05,BUY,MU,23.8353,20960.4843
2017-05-02,SELL,MU,23.422,20960.4843
2017-05-03,BUY,VRTX,149.2786,3283.4556
2017-06-02,SELL,AMD,13.9391,27570.3973
2017-06-05,BUY,NVDA,3.815,100574.6039
2017-07-05,SELL,NVDA,3.6871,100574.6039
2017-07-06,BUY,ALGN,69.5031,5326.9289
2017-10-03,SELL,VRTX,191.2346,3283.4556
2017-10-04,BUY,MU,33.366,18788.7032
2017-12-04,SELL,MU,33.6528,18788.7032
2017-12-05,BUY,NTAP,48.3747,13049.7803
2018-01-03,SELL,ALGN,107.3134,5326.9289
2018-01-03,SELL,NTAP,49.1761,13049.7803
2018-01-04,BUY,DLTR,174.2423,3476.3209
2018-01-04,BUY,AKAM,56.4395,10732.2411
2018-02-02,SELL,AKAM,56.5427,10732.2411
2018-02-05,BUY,STX,0.9755,621045.1541
2018-03-02,SELL,DLTR,167.1196,3476.3209
2018-03-05,BUY,NFLX,11.0949,52278.8107
2018-05-02,SELL,STX,1.0861,621045.1541
2018-05-03,BUY,NTAP,58.2876,11553.6776
2018-06-04,SELL,NTAP,61.827,11553.6776
2018-06-05,BUY,ALGN,160.6359,4439.7643
2018-08-02,SELL,NFLX,12.134,52278.8107
2018-08-03,BUY,AMD,23.6454,26784.7438
2018-09-05,SELL,ALGN,173.0893,4439.7643
2018-09-06,BUY,ILMN,249.8476,3070.8529
2018-11-02,SELL,ILMN,235.3642,3070.8529
2018-11-05,BUY,TSCO,20.6778,34897.9121
2018-12-04,SELL,TSCO,20.5599,34897.9121
2018-12-06,BUY,SBUX,39.7141,18037.631
2019-01-03,SELL,AMD,21.8039,26784.7438
2019-01-03,SELL,SBUX,36.7184,18037.631
2019-03-05,BUY,CDNS,66.1628,9403.5321
2019-03-05,BUY,INCY,75.5726,8232.6584
2019-04-02,SELL,INCY,77.0478,8232.6584
2019-04-03,BUY,ULTA,398.6662,1588.5278
2019-05-02,SELL,ULTA,390.8755,1588.5278
2019-05-03,BUY,QCOM,87.6755,7070.6386
2019-06-04,SELL,CDNS,71.0516,9403.5321
2019-06-04,SELL,QCOM,67.2123,7070.6386
2019-07-03,BUY,AMD,39.8864,14309.8884
2019-07-03,BUY,CDNS,84.0774,6788.618
2019-08-02,SELL,AMD,37.6484,14309.8884
2019-08-02,SELL,CDNS,80.0989,6788.618
2019-08-05,BUY,SBUX,56.4686,9569.6535
