date,action,symbol,price,shares,value
2016-05-24,BUY,AMD,4.2,47619.0498,200000.0
2016-05-24,BUY,APA,58.25,3433.4764,200000.0
2016-05-24,BUY,NRG,16.02,12484.3942,200000.0
2016-05-24,BUY,NVDA,1.134,176366.8518,200000.0
2016-05-25,BUY,OKE,43.07,4617.0428,198856.03
2016-06-14,SELL,NRG,14.23,12484.3942,177652.92
2016-07-25,SELL,APA,51.97,3433.4764,178437.77
2016-07-25,BUY,AXON,28.5,7933.0052,226090.65
2016-09-09,SELL,AMD,5.9,47619.0498,280952.4
2016-09-09,BUY,APA,59.4,3697.4802,219630.33
2016-10-03,SELL,AXON,24.29,7933.0052,192692.7
2016-10-03,BUY,TPL,26.6033,8702.5039,231515.61
2016-11-02,SELL,OKE,46.59,4617.0428,215108.03
2016-11-02,BUY,DAL,41.93,5459.4559,228914.99
2016-11-03,SELL,APA,55.52,3697.4802,205284.1
2016-11-03,BUY,GEN,25.45,8779.8035,223446.01
2016-12-02,SELL,GEN,23.51,8779.8035,206413.18
2016-12-02,BUY,STLD,36.68,6930.0147,254192.94
2017-03-03,SELL,TPL,32.7811,8702.5039,285277.76
2017-03-03,BUY,MU,25.57,10278.7593,262827.87
2017-03-07,SELL,DAL,47.64,5459.4559,260088.48
2017-03-07,BUY,AVGO,21.925,11748.5746,257587.49
2017-03-09,SELL,STLD,34.05,6930.0147,235967.0
2017-03-09,BUY,NRG,17.86,14384.3256,256904.06
2017-04-04,SELL,NVDA,2.5195,176366.8518,444356.29
2017-04-04,BUY,VRTX,112.29,2387.1822,268056.69
2017-05-02,SELL,NRG,15.77,14384.3256,226840.82
2017-05-02,BUY,ANET,8.8244,29670.12,261820.27
2017-07-31,SELL,MU,28.12,10278.7593,289038.72
2017-07-31,BUY,FSLR,49.31,5807.3816,286362.0
2017-08-02,SELL,ANET,8.9663,29670.12,266029.73
2017-08-02,BUY,TPL,40.6967,7067.6949,287631.62
2017-09-20,SELL,AVGO,24.291,11748.5746,285384.63
2017-09-20,BUY,TTWO,102.96,2802.4373,288538.94
2017-10-26,SELL,VRTX,143.76,2387.1822,343181.3
2017-10-26,BUY,GNRC,52.0,5436.3664,282691.06
2018-01-31,SELL,GNRC,48.93,5436.3664,266001.41
2018-01-31,BUY,STX,55.2,6098.1784,336619.45
2018-02-08,SELL,FSLR,60.69,5807.3816,352449.98
2018-02-08,SELL,TTWO,103.51,2802.4373,290080.29
2018-02-09,BUY,FTNT,9.308,32240.2977,300092.68
2018-02-09,BUY,LITE,57.2,5246.3754,300092.68
2018-04-16,SELL,LITE,58.475,5246.3754,306781.8
2018-04-16,BUY,CVNA,5.406,62590.1501,338362.36
2018-06-07,SELL,STX,55.23,6098.1784,336802.39
2018-06-07,BUY,OXY,86.48,4427.9299,382927.39
2018-08-09,SELL,OXY,77.79,4427.9299,344448.67
2018-08-09,BUY,FIX,55.8,8032.6638,448222.63
2018-10-02,SELL,CVNA,10.892,62590.1501,681731.93
2018-10-02,BUY,CF,55.81,8705.6819,485864.12
2018-10-12,SELL,FIX,51.74,8032.6638,415610.04
2018-10-15,SELL,TPL,86.4089,7067.6949,610711.67
2018-10-16,BUY,AES,15.36,29252.6391,449320.53
2018-10-16,BUY,PCG,48.79,9209.2748,449320.53
2018-10-23,SELL,CF,47.19,8705.6819,410821.12
2018-11-02,SELL,FTNT,14.512,32240.2977,467871.2
2018-11-07,BUY,CIEN,34.73,12337.2283,428471.93
2018-11-07,BUY,SBUX,68.16,6286.2663,428471.93
2018-11-09,SELL,PCG,39.92,9209.2748,367634.23
2018-11-09,BUY,ULTA,308.12,1334.7567,411265.24
2018-12-07,SELL,ULTA,254.47,1334.7567,339655.55
2018-12-21,SELL,AES,14.45,29252.6391,422700.63
2019-02-12,BUY,NOW,46.93,8583.4802,402822.73
2019-02-12,BUY,KEYS,78.32,5143.2933,402822.73
2019-05-06,SELL,CIEN,37.04,12337.2283,456970.95
2019-05-06,BUY,MSCI,229.63,1875.9731,430779.72
2019-05-20,SELL,KEYS,74.56,5143.2933,383483.94
2019-05-20,BUY,AIG,52.43,7833.4035,410705.35
2019-08-02,SELL,NOW,53.172,8583.4802,456400.82
2019-08-02,SELL,MSCI,220.18,1875.9731,413051.75
2019-08-02,BUY,CF,52.68,8286.067,436510.01
2019-08-02,BUY,SBAC,248.62,1755.7317,436510.01
2019-08-30,SELL,AIG,52.04,7833.4035,407650.32
2019-08-30,BUY,KLAC,147.9,2917.1465,431445.95
2019-10-01,SELL,SBUX,86.51,6286.2663,543824.91
2019-10-01,SELL,SBAC,237.08,1755.7317,416248.88
2019-10-01,BUY,AAPL,56.1475,7432.3164,417305.98
2019-10-01,BUY,D,81.22,5137.9706,417305.98
2019-10-21,SELL,CF,46.46,8286.067,384970.66
2019-10-21,BUY,BLDR,23.33,18138.3069,423166.7
2020-01-31,SELL,KLAC,165.74,2917.1465,483487.88
2020-01-31,BUY,PCG,15.21,30140.2269,458432.85
2020-02-25,SELL,BLDR,24.72,18138.3069,448378.93
2020-02-25,BUY,REGN,442.35,1054.2699,466356.29
2020-02-27,SELL,AAPL,68.38,7432.3164,508221.77
2020-02-27,SELL,D,81.28,5137.9706,417614.24
2020-03-02,BUY,MRNA,29.88,14844.9011,443565.63
2020-03-02,BUY,CLX,172.01,2578.7201,443565.63
2020-03-06,SELL,PCG,14.27,30140.2269,430101.05
2020-03-10,SELL,MRNA,22.34,14844.9011,331635.09
2020-05-27,BUY,CIEN,55.57,8050.4193,447361.8
2020-05-27,BUY,TSCO,23.952,18677.43,447361.8
2020-09-01,SELL,REGN,592.68,1054.2699,624844.67
2020-09-01,BUY,CVNA,45.438,10882.5399,494480.84
2020-09-03,SELL,CIEN,45.46,8050.4193,365972.05
2020-09-03,BUY,ADM,45.81,9962.7621,456394.14
2020-09-04,SELL,CLX,212.52,2578.7201,548029.61
2020-09-04,BUY,ON,22.68,19744.1398,447797.1
2020-09-08,SELL,CVNA,36.2,10882.5399,393947.95
2020-09-08,BUY,HLT,91.9,4696.7905,431635.05
2020-10-22,SELL,TSCO,27.404,18677.43,511836.28
2020-10-22,BUY,TPR,21.85,21354.4106,466593.88
2021-01-27,SELL,HLT,98.67,4696.7905,463432.31
2021-01-27,BUY,WBD,43.87,12215.1142,535877.05
2021-03-25,SELL,WBD,57.75,12215.1142,705422.84
2021-03-25,BUY,HIG,69.17,9372.2567,648278.98
2021-05-03,SELL,ON,37.57,19744.1398,741787.33
2021-05-03,BUY,NUE,85.7,7980.1943,683902.63
2021-06-17,SELL,TPR,42.24,21354.4106,902010.34
2021-06-17,BUY,NVDA,18.6572,35408.4944,660625.11
2021-06-17,BUY,EPAM,514.6,1283.7644,660625.11
