date,action,symbol,price,shares,value
2016-05-24,BUY,AMD,4.2,79365.083,333333.33
2016-05-24,BUY,NVDA,1.134,293944.753,333333.33
2016-05-24,BUY,OKE,41.7,7993.605,333333.33
2016-06-01,SELL,AMD,4.43,760.3951,3368.55
2016-06-01,BUY,NVDA,1.1703,3614.5177,4229.89
2016-06-01,SELL,OKE,43.77,37.9561,1661.34
2016-07-01,SELL,AMD,5.07,4701.2408,23835.29
2016-07-01,BUY,NEM,40.34,9288.3115,374690.49
2016-07-01,SELL,NVDA,1.1665,297559.2707,347102.88
2016-07-01,SELL,OKE,47.57,79.0356,3759.72
2016-08-01,SELL,AMD,6.64,11709.3283,77749.94
2016-08-01,BUY,FCX,12.48,33090.4612,412968.94
2016-08-01,SELL,NEM,44.16,9288.3115,410171.84
2016-08-01,BUY,NVDA,1.4182,291182.0556,412968.94
2016-08-01,SELL,OKE,42.99,7876.6132,338615.62
2016-09-01,SELL,AMD,7.35,5142.202,37795.18
2016-09-01,SELL,FCX,10.35,33090.4612,342486.29
2016-09-01,BUY,DVN,43.7,9595.6882,419331.58
2016-09-01,SELL,NVDA,1.5788,25572.1881,40372.09
2016-10-03,BUY,LITE,41.45,10249.2408,424831.04
2016-10-03,BUY,AMD,6.95,4074.8533,28320.23
2016-10-03,SELL,DVN,44.2,9595.6882,424129.43
2016-10-03,SELL,NVDA,1.7112,17352.1302,29693.83
2016-11-01,BUY,TPL,29.58,13839.7676,409380.33
2016-11-01,SELL,LITE,35.8,10249.2408,366922.81
2016-11-01,SELL,AMD,7.09,3386.2459,24008.48
2016-11-01,SELL,NVDA,1.7263,11107.6649,19174.61
2016-12-01,BUY,TPL,32.61,1029.8842,33584.52
2016-12-01,BUY,AMD,8.39,54.3906,456.34
2016-12-01,SELL,NVDA,2.191,15835.8972,34696.45
2017-01-03,SELL,TPL,33.2878,14869.6518,494977.65
2017-01-03,SELL,AMD,11.43,7636.7054,87287.55
2017-01-03,BUY,CFG,35.86,15987.4049,573308.35
2017-01-03,BUY,NVDA,2.5503,3490.5834,8901.86
2017-02-01,BUY,AMD,12.06,360.5688,4348.46
2017-02-01,BUY,URI,129.89,4690.5573,609256.49
2017-02-01,SELL,CFG,36.49,15987.4049,583380.43
