date,equity,held
2016-05-24,100000.0,0
2016-05-25,101922.47362369545,1
2016-05-26,102030.19608997792,1
2016-05-27,103276.89359325945,1
2016-05-31,102784.3553287511,1
2016-06-01,103353.86602334063,1
2016-06-02,104354.30366480396,1
2016-06-03,103446.21810674045,1
2016-06-06,104969.97186022138,1
2016-06-07,105354.75057670327,1
2016-06-08,106401.3735303025,1
2016-06-09,106001.21516050196,1
2016-06-10,102953.67984223204,1
2016-06-13,100660.32230360729,1
2016-06-14,100106.27469626037,1
2016-06-15,99567.55111961611,1
2016-06-16,100475.63667767965,1
2016-06-17,99336.67091111658,1
2016-06-20,101245.22192195145,1
2016-06-21,102091.76105543243,1
2016-06-22,101526.16248483355,1
2016-06-23,105548.38217336778,1
2016-06-24,94082.77182561561,1
2016-06-27,88997.22385781596,1
2016-06-28,88926.0260787297,0
2016-06-29,93514.41058018131,1
2016-06-30,97148.74986347702,1
2016-07-01,97834.74809637002,1
2016-07-05,95849.74239450452,1
2016-07-06,97455.22814120754,1
2016-07-07,97250.8975825831,1
2016-07-08,101556.651347574,1
2016-07-11,102651.32825792205,1
2016-07-12,104899.04342371854,1
2016-07-13,104913.64473512248,1
2016-07-14,106533.75813353865,1
2016-07-15,106212.66098419804,1
2016-07-18,107073.81349321683,1
2016-07-19,106694.29353805433,1
2016-07-20,108066.33390435574,1
2016-07-21,106811.07768897664,1
2016-07-22,108256.06315157624,1
2016-07-25,107438.67945635697,1
2016-07-26,107482.47461046571,1
2016-07-27,107219.7475863286,1
2016-07-28,107570.05613858016,1
2016-07-29,107964.13350463123,1
2016-08-01,107701.42404070025,1
2016-08-02,105628.84559082337,1
2016-08-03,106577.54450754431,1
2016-08-04,106957.03812239759,1
2016-08-05,109569.69827226186,1
2016-08-08,109350.7312818212,1
2016-08-09,109467.47153222816,1
2016-08-10,108679.34314043519,1
2016-08-11,110241.06007333867,1
2016-08-12,109919.96292399806,1
2016-08-15,110941.64205742949,1
2016-08-16,109117.1893202858,1
2016-08-17,109701.03105396967,1
2016-08-18,110474.59325477098,1
2016-08-19,109963.73173779759,1
2016-08-22,109934.5554552989,1
2016-08-23,110562.15722267926,1
2016-08-24,109000.44906987884,1
2016-08-25,108547.98401841814,1
2016-08-26,108037.11372134168,1
2016-08-29,109584.26446325351,1
2016-08-30,109000.44906987884,1
2016-08-31,108080.93521575963,1
2016-09-01,108168.49040356484,1
2016-09-02,109555.06184044562,1
