date,equity
2023-05-24,999200.0000000001
2023-05-25,1076703.4918222008
2023-05-26,1113709.51698081
2023-05-30,1146477.8195434925
2023-05-31,1139878.5962391328
2023-06-01,1160795.3345124193
2023-06-02,1142096.484251539
2023-06-05,1147490.565259022
2023-06-06,1163869.61921574
2023-06-07,1172859.798387666
2023-06-08,1423893.9178289508
2023-06-09,1305121.5480651765
2023-06-12,1370546.883774726
2023-06-13,1410869.960307889
2023-06-14,1411694.2829976308
2023-06-15,1496676.9394090225
2023-06-16,1440650.2154842203
2023-06-20,1368902.1478831414
2023-06-21,1350026.3652002634
2023-06-22,1378877.2223212817
2023-06-23,1259657.972408798
2023-06-26,1245740.3398316004
2023-06-27,1362910.1681682973
2023-06-28,1488582.8914609211
2023-06-29,1430294.3848270364
2023-06-30,1460503.6824118805
2023-07-03,1461647.0778346378
2023-07-05,1480366.686939441
2023-07-06,1433711.8552717466
2023-07-07,1553821.7678149457
2023-07-10,1670991.7393379114
2023-07-11,1687266.6810478258
2023-07-12,1743647.7088567722
2023-07-13,1742758.1765950348
2023-07-14,1732367.36889001
2023-07-17,1735649.9363094317
2023-07-18,1843309.9984407013
2023-07-19,2114255.9905785797
2023-07-20,1928605.6036697486
2023-07-21,1913936.372531291
2023-07-24,1937048.7695512334
2023-07-25,1909952.0417362447
2023-07-26,1900486.4346722425
2023-07-27,1872499.3221540658
2023-07-28,1960718.2168360546
2023-07-31,1997911.4502894578
2023-08-01,2048897.2534351111
2023-08-02,2015817.9218358302
2023-08-03,2009334.0701358898
2023-08-04,1937714.0981874266
2023-08-07,1952539.4611604402
2023-08-08,1897009.4563618386
2023-08-09,1635539.6275673849
2023-08-10,1635706.0169185048
2023-08-11,1612593.1648239065
2023-08-14,1653477.2391169937
2023-08-15,1606276.376722692
2023-08-16,1570243.2487626837
2023-08-17,1494818.2937279462
2023-08-18,1529743.5491648212
2023-08-21,1567286.8284324943
2023-08-22,1556719.2746818212
2023-08-23,1644347.5817071965
2023-08-24,1539041.2199735907
2023-08-25,1582950.993274689
2023-08-28,1647164.170972968
2023-08-29,1714488.1948779116
2023-08-30,1791155.3800108405
2023-08-31,1768406.3170217788
2023-09-01,1795529.6507670793
2023-09-05,1770632.7514744878
2023-09-06,1760960.1090288975
2023-09-07,1716608.1325992104
2023-09-08,1731698.9177309498
2023-09-11,1773832.7842808776
2023-09-12,1743549.7336586807
2023-09-13,1719681.5374788549
2023-09-14,1822176.6174741238
2023-09-15,1736472.4467447407
2023-09-18,1739501.1666883077
2023-09-19,1635052.146791549
2023-09-20,1574960.9617700116
2023-09-21,1528610.8865249932
2023-09-22,1517400.8102442564
2023-09-25,1530834.274829079
2023-09-26,1528505.358846466
2023-09-27,1574943.7030741135
2023-09-28,1607396.6068883918
2023-09-29,1629433.9122199495
2023-10-02,1640143.0174964801
2023-10-03,1567263.768525841
2023-10-04,1594999.6728175918
2023-10-05,1573861.401414501
2023-10-06,1613494.3964070682
2023-10-09,1637409.201755619
2023-10-10,1673934.2774378709
2023-10-11,1651542.7507375958
2023-10-12,1558296.708196394
2023-10-13,1527463.8213670477
2023-10-16,1555012.4551745832
2023-10-17,1576352.4266421127
2023-10-18,1513260.074524753
2023-10-19,1457830.547786758
2023-10-20,1406553.5443425002
2023-10-23,1428773.3759920371
2023-10-24,1453547.1179345252
2023-10-25,1375351.390817286
2023-10-26,1345641.28678421
2023-10-27,1340060.5281829224
2023-10-30,1323078.0156200589
2023-10-31,1317344.4548979844
2023-11-01,1329920.6970047618
2023-11-02,1329920.6970047618
2023-11-03,1329920.6970047618
2023-11-06,1329920.6970047618
2023-11-07,1329920.6970047618
2023-11-08,1329920.6970047618
2023-11-09,1329920.6970047618
2023-11-10,1329920.6970047618
2023-11-13,1329920.6970047618
2023-11-14,1329920.6970047618
2023-11-15,1329920.6970047618
2023-11-16,1329920.6970047618
2023-11-17,1329920.6970047618
2023-11-20,1329920.6970047618
2023-11-21,1329920.6970047618
2023-11-22,1329920.6970047618
2023-11-24,1329920.6970047618
2023-11-27,1329920.6970047618
2023-11-28,1329920.6970047618
2023-11-29,1329920.6970047618
2023-11-30,1329920.6970047618
2023-12-01,1328856.760447158
2023-12-04,1418933.7084091525
2023-12-05,1402466.155479976
2023-12-06,1367475.2319852659
2023-12-07,1380608.8567428002
2023-12-08,1449386.7193593108
2023-12-11,1423806.1404163125
2023-12-12,1427932.977670285
2023-12-13,1540589.8956646794
2023-12-14,1622199.4200184909
2023-12-15,1626989.9825409749
2023-12-18,1698691.4449172849
2023-12-19,1773424.6257546423
2023-12-20,1712699.483136111
2023-12-21,1774263.780903712
2023-12-22,1752065.8915963154
2023-12-26,1730062.3677185993
2023-12-27,1783192.2539505814
2023-12-28,1791208.4467509785
2023-12-29,1723641.9633531212
2024-01-02,1599879.71235789
2024-01-03,1554848.8391102648
2024-01-04,1567966.964443875
2024-01-05,1569425.2583148943
2024-01-08,1633707.1488330027
2024-01-09,1622660.2570969518
2024-01-10,1633561.8746483673
2024-01-11,1596841.4512314913
2024-01-12,1523448.0370805094
2024-01-16,1534990.4868876205
2024-01-17,1512403.972186804
2024-01-18,1501690.6067976982
2024-01-19,1541834.8054744494
2024-01-22,1608571.4636851132
2024-01-23,1561235.5224144442
2024-01-24,1519742.853490658
2024-01-25,1492647.475589399
2024-01-26,1508817.9951765505
2024-01-29,1591153.0285953335
