date,action,symbol,price,shares,value
2023-05-25,BUY_UPRO,UPRO,39.04,2619.8705,102279.75
2023-10-23,SELL_UPRO,UPRO,38.75,2642.1579,102383.62
2023-10-25,BUY_UPRO,UPRO,37.89,2582.6312,97855.9
2023-10-26,SELL_UPRO,UPRO,36.49,2679.5727,97777.61
2023-11-03,BUY_UPRO,UPRO,42.44,2363.9348,100325.39
2025-03-11,SELL_UPRO,UPRO,73.08,2452.6244,179237.79
2025-03-25,BUY_UPRO,UPRO,81.0,2225.6158,180274.88
2025-03-27,SELL_UPRO,UPRO,77.28,2250.0648,173885.0
2025-05-13,BUY_UPRO,UPRO,79.37,2233.5604,177277.7
2026-03-20,SELL_UPRO,UPRO,97.09,2353.5769,228508.77
2026-04-09,BUY_UPRO,UPRO,110.36,2105.1919,232328.98
