symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
FDX,2023-04-10,231.2526,1441.4252,2023-04-17,228.9261,-3353.48,-1.01,5,mega,-1.01
GE,2023-04-10,94.1885,3539.0025,2023-04-17,96.5749,8445.48,2.53,5,mega,2.53
CRM,2023-04-17,196.7744,1668.2514,2023-04-24,194.5977,-3631.28,-1.11,5,mega,-1.11
BKNG,2023-04-17,106.8379,3072.591,2023-04-24,107.0276,582.87,0.18,5,mega,0.18
AMD,2023-04-10,95.3168,3657.7908,2023-04-24,87.4287,-28853.02,-8.28,10,mega,-8.28
ISRG,2023-04-24,299.9494,6.9139,2023-05-01,302.6953,18.98,0.92,5,mega,0.92
GE,2023-04-24,99.9698,25.3105,2023-05-01,101.0282,26.79,1.06,5,mega,1.06
FDX,2023-04-24,231.8018,1411.4875,2023-05-08,230.314,-2100.01,-0.64,10,mega,-0.64
ISRG,2023-04-24,299.9494,0.5352,2023-05-08,302.5954,1.42,0.88,10,mega,0.88
GE,2023-04-24,99.9698,3216.374,2023-05-08,100.7686,2569.24,0.8,10,mega,0.8
ISRG,2023-04-24,299.9494,2.4988,2023-05-15,307.4382,18.71,2.5,15,mega,2.5
AMD,2023-05-08,94.8974,35.9816,2023-05-15,97.214,83.35,2.44,5,mega,2.44
ISRG,2023-04-24,299.9494,1070.4696,2023-05-22,313.1396,14119.71,4.4,20,mega,4.4
LLY,2023-05-08,431.9212,759.1444,2023-05-22,433.0194,833.69,0.25,10,mega,0.25
AMD,2023-05-08,94.8974,204.2895,2023-05-22,107.818,2639.54,13.62,10,mega,13.62
NVDA,2023-05-22,31.1192,1027.1654,2023-05-30,40.0528,9176.28,28.71,5,mega,28.71
META,2023-05-22,247.9875,73.846,2023-06-05,271.0229,1701.07,9.29,9,mega,9.29
AMD,2023-05-08,94.8974,189.0821,2023-06-12,129.0761,6462.58,36.02,24,mega,36.02
NVDA,2023-05-22,31.1192,775.1704,2023-06-20,43.7543,9794.36,40.6,19,mega,40.6
META,2023-05-22,247.9875,33.111,2023-06-20,284.0333,1193.51,14.54,19,mega,14.54
AMD,2023-05-08,94.8974,3155.789,2023-06-20,118.7516,75278.82,25.14,29,mega,25.14
META,2023-05-22,247.9875,77.6731,2023-06-26,278.1022,2339.1,12.14,23,mega,12.14
TSLA,2023-06-20,274.1382,117.2791,2023-07-03,279.5301,632.36,1.97,8,mega,1.97
META,2023-05-22,247.9875,46.4974,2023-07-10,293.6089,2121.27,18.4,31,mega,18.4
NVDA,2023-05-22,31.1192,210.5625,2023-07-17,46.3913,3215.73,49.08,36,mega,49.08
NVDA,2023-05-22,31.1192,184.735,2023-07-24,44.5511,2481.34,43.16,40,mega,43.16
NVDA,2023-05-22,31.1192,24.4756,2023-07-31,46.6559,380.27,49.93,45,mega,49.93
META,2023-05-22,247.9875,63.7847,2023-07-31,317.9424,4462.05,28.21,45,mega,28.21
NVDA,2023-05-22,31.1192,27.1734,2023-08-07,45.3289,386.13,45.66,50,mega,45.66
META,2023-05-22,247.9875,35.7278,2023-08-07,316.1551,2435.48,27.49,50,mega,27.49
TSLA,2023-06-20,274.1382,1651.4122,2023-08-07,251.1327,-37991.56,-8.39,31,mega,-8.39
ADBE,2023-08-07,528.8955,807.7524,2023-08-14,521.187,-6226.56,-1.46,5,mega,-1.46
NVDA,2023-05-22,31.1192,527.945,2023-08-21,46.9055,8334.3,50.73,60,mega,50.73
LLY,2023-08-14,536.9134,6.5641,2023-08-21,549.1251,80.16,2.27,5,mega,2.27
META,2023-05-22,247.9875,1358.2242,2023-08-21,289.4152,56268.1,16.71,60,mega,16.71
ADBE,2023-08-21,519.6294,9.2916,2023-08-28,529.1551,88.51,1.83,5,mega,1.83
ADBE,2023-08-21,519.6294,21.5798,2023-09-05,563.823,953.69,8.5,10,mega,8.5
ADBE,2023-08-21,519.6294,0.5381,2023-09-11,563.5135,23.61,8.45,14,mega,8.45
LLY,2023-08-14,536.9134,49.9797,2023-09-11,594.2374,2865.04,10.68,19,mega,10.68
NVDA,2023-05-22,31.1192,147.8125,2023-09-18,43.8861,1887.11,41.03,79,mega,41.03
ADBE,2023-08-21,519.6294,778.371,2023-09-18,531.3618,9132.16,2.26,19,mega,2.26
LLY,2023-08-14,536.9134,0.5943,2023-09-18,569.9739,19.65,6.16,24,mega,6.16
NVDA,2023-05-22,31.1192,81.8761,2023-09-25,42.1587,903.87,35.47,84,mega,35.47
LLY,2023-08-14,536.9134,11.2554,2023-09-25,551.2719,161.61,2.67,29,mega,2.67
TSLA,2023-09-18,264.8921,1586.9642,2023-09-25,246.6295,-28982.09,-6.89,5,mega,-6.89
NVDA,2023-05-22,31.1192,381.0285,2023-10-02,44.7048,5176.5,43.66,89,mega,43.66
META,2023-09-25,300.3588,2.6977,2023-10-02,306.3398,16.14,1.99,5,mega,1.99
LLY,2023-08-14,536.9134,17.9872,2023-10-09,570.6527,606.87,6.28,38,mega,6.28
META,2023-09-25,300.3588,1.0253,2023-10-09,317.8226,17.9,5.81,9,mega,5.81
LLY,2023-08-14,536.9134,29.6628,2023-10-16,615.4953,2330.96,14.64,42,mega,14.64
META,2023-09-25,300.3588,40.7892,2023-10-23,313.5989,540.05,4.41,18,mega,4.41
NVDA,2023-05-22,31.1192,9667.3244,2023-10-30,41.0933,96422.86,32.05,106,mega,32.05
LLY,2023-08-14,536.9134,10.0439,2023-10-30,564.6817,278.9,5.17,51,mega,5.17
ADBE,2023-10-30,525.91,12.3751,2023-11-06,564.4221,476.59,7.32,5,mega,7.32
META,2023-09-25,300.3588,1328.0243,2023-11-06,315.2764,19810.94,4.97,27,mega,4.97
NVDA,2023-11-06,45.6784,154.0444,2023-11-13,48.5141,436.82,6.21,5,mega,6.21
LLY,2023-08-14,536.9134,712.9055,2023-11-13,611.7311,53337.95,13.93,61,mega,13.93
UBER,2023-11-13,52.1517,8486.867,2023-11-20,54.6579,21269.79,4.81,5,mega,4.81
NVDA,2023-11-06,45.6784,9150.8288,2023-11-27,48.1936,23016.16,5.51,14,mega,5.51
ADBE,2023-10-30,525.91,19.7808,2023-11-27,618.2412,1826.39,17.56,19,mega,17.56
INTC,2023-11-20,44.6529,19.3577,2023-11-27,44.0239,-12.18,-1.41,4,mega,-1.41
UBER,2023-11-27,55.9659,384.8669,2023-12-05,57.903,745.53,3.46,4,mega,3.46
INTC,2023-11-20,44.6529,37.2009,2023-12-11,44.4932,-5.94,-0.36,12,mega,-0.36
UBER,2023-11-27,55.9659,126.3547,2023-12-11,62.3563,807.46,11.42,8,mega,11.42
ADBE,2023-10-30,525.91,758.2224,2023-12-18,598.2712,54865.88,13.76,31,mega,13.76
INTC,2023-11-20,44.6529,358.6681,2023-12-18,45.6215,347.41,2.17,16,mega,2.17
INTC,2023-11-20,44.6529,615.254,2023-12-26,50.4243,3550.88,12.93,21,mega,12.93
INTU,2023-12-18,617.4624,759.3606,2023-12-26,623.6931,4731.35,1.01,5,mega,1.01
AMD,2023-12-26,143.2348,52.5988,2024-01-02,138.3721,-255.77,-3.39,4,mega,-3.39
AMD,2023-12-26,143.2348,90.1475,2024-01-08,145.9208,242.14,1.88,7,mega,1.88
UBER,2023-11-27,55.9659,248.738,2024-01-16,63.5545,1887.57,13.56,28,mega,13.56
AMD,2023-12-26,143.2348,121.9538,2024-01-16,158.5019,1861.88,10.66,11,mega,10.66
INTC,2023-11-20,44.6529,10578.6338,2024-01-22,48.1477,36970.21,7.83,36,mega,7.83
AMD,2023-12-26,143.2348,79.3032,2024-01-22,167.9177,1957.43,17.23,15,mega,17.23
NVDA,2024-01-22,59.5655,4.9674,2024-01-29,62.3823,13.99,4.73,5,mega,4.73
AMD,2023-12-26,143.2348,29.5695,2024-01-29,177.4734,1012.42,23.9,20,mega,23.9
