date,equity
2021-06-24,1000000.0
2021-06-25,1000000.0
2021-06-28,999197.641886491
2021-06-29,999720.9827997726
2021-06-30,1000185.291506985
2021-07-01,992967.3273673239
2021-07-02,999926.67503776
2021-07-06,1016482.3708263836
2021-07-07,1009608.3851329993
2021-07-08,996106.4016874013
2021-07-09,1000924.012727356
2021-07-12,1007580.0695376478
2021-07-13,1003161.361960797
2021-07-14,998757.3663792866
2021-07-15,980540.4637616965
2021-07-16,967420.428341576
2021-07-19,969499.5426713338
2021-07-20,977885.3797380942
2021-07-21,998870.0428330404
2021-07-22,1008381.3135653865
2021-07-23,1023659.9433038956
2021-07-26,1024359.5729693135
2021-07-27,1011316.0470983151
2021-07-28,1010166.2851483882
2021-07-29,1011448.9877178146
2021-07-30,1008756.0062906968
2021-08-02,1009280.7169413285
2021-08-03,1013102.6291203853
2021-08-04,1016565.4842517388
2021-08-05,1006084.1131240574
2021-08-06,993038.6542806039
2021-08-09,985577.1793047937
2021-08-10,973312.6140428847
2021-08-11,974218.5390624469
2021-08-12,977472.8213294421
2021-08-13,995755.3630962546
2021-08-16,984973.911513329
2021-08-17,972468.7654402764
2021-08-18,952456.797972542
2021-08-19,972472.9966404017
2021-08-20,992741.5465203221
2021-08-23,1027336.7790310506
2021-08-24,1022336.1843881647
2021-08-25,1030586.4551611261
2021-08-26,1023508.0509445962
2021-08-27,1042620.2935604427
2021-08-30,1050967.468106452
2021-08-31,1042194.2396896852
2021-09-01,1047089.6934792438
2021-09-02,1042874.0117108473
2021-09-03,1053105.6876498228
2021-09-07,1041785.6325879544
2021-09-08,1037086.4857661545
2021-09-09,1033933.6109699445
2021-09-10,1026531.8160260159
2021-09-13,1027167.1843910922
2021-09-14,1038208.8387779153
2021-09-15,1035993.4620824317
2021-09-16,1039818.5420017868
2021-09-17,1025431.7130542183
2021-09-20,1005359.3914484293
2021-09-21,1006947.5590080105
2021-09-22,1020017.2006696183
2021-09-23,1042259.0494025149
2021-09-24,1041422.6314977321
2021-09-27,1025198.3143484385
2021-09-28,990127.8694728452
2021-09-29,985913.3080098693
2021-09-30,989183.1118062735
2021-10-01,997595.452066158
2021-10-04,958385.6303529807
2021-10-05,978659.0639983095
2021-10-06,986759.0538216338
2021-10-07,998970.8516991127
2021-10-08,991134.1889001885
2021-10-11,995671.3521594731
2021-10-12,1005823.5685013521
2021-10-13,1004766.5089575413
2021-10-14,1014001.8842976256
2021-10-15,1015119.6419895324
2021-10-18,1037950.9727116032
2021-10-19,1035976.7416297016
2021-10-20,1035479.0111471753
2021-10-21,1049862.4820534617
2021-10-22,1048987.2288075516
2021-10-25,1058248.8476612214
2021-10-26,1074203.2613202
2021-10-27,1068124.010799766
2021-10-28,1085320.8515646942
2021-10-29,1104311.220139244
2021-11-01,1154859.7638282394
2021-11-02,1157865.130732818
2021-11-03,1183445.8559009198
2021-11-04,1256184.0653328488
2021-11-05,1249417.5040193598
2021-11-08,1285180.75324676
2021-11-09,1232064.0476240534
2021-11-10,1203131.5184894064
2021-11-11,1233221.780556662
2021-11-12,1228508.5030689423
2021-11-15,1212268.3687087893
2021-11-16,1246061.3275605552
2021-11-17,1228734.8138939966
2021-11-18,1275484.5263805855
2021-11-19,1299562.6115349187
2021-11-22,1253775.780137033
2021-11-23,1240323.3676900936
2021-11-24,1276698.5324020598
2021-11-26,1240527.0709891398
2021-11-29,1305333.7050616855
2021-11-30,1286792.113384117
2021-12-01,1241305.5836389444
2021-12-02,1266304.1343016732
2021-12-03,1214867.5443811098
2021-12-06,1184890.311540748
2021-12-07,1269212.5560258648
2021-12-08,1261256.6694019707
2021-12-09,1215690.858462375
2021-12-10,1208635.9499221274
2021-12-13,1155054.4802653037
2021-12-14,1157293.6490946684
2021-12-15,1201348.971697662
2021-12-16,1142079.4732886814
2021-12-17,1156059.5563830673
2021-12-20,1136920.411895597
2021-12-21,1201696.7215289532
2021-12-22,1208340.42658629
2021-12-23,1218769.2156055004
2021-12-27,1261727.6584657896
2021-12-28,1242939.4292321673
2021-12-29,1230509.4907923865
2021-12-30,1215048.3208296918
2021-12-31,1209596.6124928258
2022-01-03,1201246.9629400629
2022-01-04,1164828.820720488
2022-01-05,1123084.3653215712
2022-01-06,1121029.9343810393
2022-01-07,1085528.6052559707
2022-01-10,1092858.4156485884
2022-01-11,1126644.6709044408
2022-01-12,1141571.9868984548
2022-01-13,1096674.5263740406
2022-01-14,1124147.7255122561
2022-01-18,1084506.4217053659
2022-01-19,1048972.2352297578
2022-01-20,1048630.761723132
2022-01-21,1007973.9445715488
2022-01-24,1023698.1376513462
2022-01-25,990572.9485685183
2022-01-26,990572.9485685183
2022-01-27,990572.9485685183
2022-01-28,990572.9485685183
2022-01-31,990572.9485685183
2022-02-01,990572.9485685183
2022-02-02,990572.9485685183
2022-02-03,990572.9485685183
2022-02-04,990572.9485685183
2022-02-07,990572.9485685183
2022-02-08,990572.9485685183
2022-02-09,990572.9485685183
2022-02-10,990572.9485685183
2022-02-11,990572.9485685183
2022-02-14,990572.9485685183
2022-02-15,990572.9485685183
2022-02-16,990572.9485685183
2022-02-17,990572.9485685183
2022-02-18,990572.9485685183
2022-02-22,990572.9485685183
2022-02-23,990572.9485685183
2022-02-24,990572.9485685183
2022-02-25,990572.9485685183
2022-02-28,990572.9485685183
2022-03-01,990572.9485685183
2022-03-02,990572.9485685183
2022-03-03,990572.9485685183
2022-03-04,990572.9485685183
2022-03-07,990572.9485685183
2022-03-08,990572.9485685183
2022-03-09,990572.9485685183
2022-03-10,990572.9485685183
2022-03-11,990572.9485685183
2022-03-14,990572.9485685183
2022-03-15,990572.9485685183
2022-03-16,990572.9485685183
2022-03-17,990572.9485685183
2022-03-18,990572.9485685183
2022-03-21,990572.9485685183
2022-03-22,990572.9485685183
2022-03-23,990572.9485685183
2022-03-24,990572.9485685183
2022-03-25,990572.9485685183
2022-03-28,990572.9485685183
2022-03-29,990572.9485685183
2022-03-30,990572.9485685183
2022-03-31,990572.9485685183
2022-04-01,990572.9485685183
2022-04-04,990572.9485685183
2022-04-05,990572.9485685183
2022-04-06,989778.1260676642
2022-04-07,995973.9656677868
2022-04-08,966749.910947586
2022-04-11,936317.726377039
2022-04-12,933999.1487728339
2022-04-13,933999.1487728339
2022-04-14,933999.1487728339
2022-04-18,933999.1487728339
2022-04-19,933999.1487728339
2022-04-20,933999.1487728339
2022-04-21,933999.1487728339
2022-04-22,933999.1487728339
2022-04-25,933999.1487728339
2022-04-26,933999.1487728339
2022-04-27,933999.1487728339
2022-04-28,933999.1487728339
2022-04-29,933999.1487728339
2022-05-02,933999.1487728339
2022-05-03,933999.1487728339
2022-05-04,933999.1487728339
2022-05-05,933999.1487728339
2022-05-06,933999.1487728339
2022-05-09,933999.1487728339
2022-05-10,933999.1487728339
2022-05-11,933999.1487728339
2022-05-12,933999.1487728339
2022-05-13,933999.1487728339
2022-05-16,933999.1487728339
2022-05-17,933999.1487728339
2022-05-18,933999.1487728339
2022-05-19,933999.1487728339
2022-05-20,933999.1487728339
2022-05-23,933999.1487728339
2022-05-24,933999.1487728339
2022-05-25,933999.1487728339
2022-05-26,933999.1487728339
2022-05-27,933999.1487728339
2022-05-31,933999.1487728339
2022-06-01,933999.1487728339
2022-06-02,933999.1487728339
