symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,status,entry_amt5k,exit_amt5k,pnl5k
SNDK,2026-04-15,934.4199,4167.0532,2026-06-24 (OPEN),1923.83,4122924.5233173203,105.88495600318444,open,OPEN,19468.8871721934,40083.50978878,20614.622616586603
MRVL,2026-06-10,270.75,15780.1966,2026-06-24 (OPEN),287.8,269052.3520300002,6.297322253000925,open,OPEN,21362.44114725,22707.702907400002,1345.261760150001
MU,2026-06-24,1060.11,4608.9791,2026-06-24 (OPEN),1200.9,648898.1674890008,13.280697286130705,open,OPEN,24430.124168504994,27674.615005950003,3244.490837445004
GOOG,2021-06-28,124.1021,2683.8051,2021-06-29,123.3183,-2103.66,-0.63,1,closed,1665.32924450355,1654.81141231665,-10.5183
AMAT,2021-06-28,141.2047,2358.7443,2021-07-07,135.0754,-14457.53,-4.34,6,closed,1665.3289062910499,1593.0416491011001,-72.28765
NVDA,2021-06-28,19.5785,17011.7978,2021-07-27,18.8173,-12949.37,-3.89,20,closed,1665.3274161365,1600.5805137097,-64.74685000000001
CRWD,2021-06-30,237.5854,1390.7889,2021-07-13,246.8974,12951.13,3.92,8,closed,1652.1556856103,1716.9108167943,64.75565
GOOG,2021-07-08,126.4091,2516.4092,2021-08-03,133.3599,17491.1,5.5,18,closed,1590.4851110186,1677.9403963554003,87.4555
INTU,2021-07-14,494.6636,693.0595,2021-08-24,542.0791,32861.82,9.59,29,closed,1714.156536421,1878.46535003225,164.3091
GOOGL,2021-07-28,132.8694,2405.3896,2021-08-03,132.4165,-1089.57,-0.34,4,closed,1598.0133645912001,1592.5663598420003,-5.44785
AMD,2021-08-04,121.2569,2692.842,2021-08-31,113.0384,-22131.27,-6.78,19,closed,1632.6283655490001,1521.972755664,-110.65635
NVDA,2021-08-04,19.8616,16440.0191,2021-10-05,20.0386,2908.77,0.89,43,closed,1632.6254167828001,1647.1748336863,14.54385
REGN,2021-08-25,672.7831,557.5206,2021-09-08,672.7932,5.62,0.0,9,closed,1875.4521879092997,1875.4803426995995,0.0281
ADBE,2021-09-01,657.0501,462.5307,2021-09-08,654.4155,-1218.58,-0.4,4,closed,1519.52921344035,1513.43629652925,-6.0929
ISRG,2021-09-09,349.3529,968.499,2021-09-14,339.2315,-9802.52,-2.9,3,closed,1691.7396714855001,1642.7268425925001,-49.012600000000006
PANW,2021-09-09,72.8083,4647.1061,2021-10-26,75.9376,14542.07,4.3,33,closed,1691.73947530315,1764.4504208968,72.71035
COST,2021-09-15,397.4335,825.3409,2021-09-21,389.9978,-6136.94,-1.87,4,closed,1640.09061290075,1609.4056762501002,-30.6847
INTU,2021-09-22,550.6699,583.5884,2021-10-12,516.347,-20030.42,-6.23,14,closed,1606.8228293458,1506.670597874,-100.15209999999999
TSLA,2021-10-06,255.3985,1287.8142,2021-10-12,262.8933,9651.84,2.93,4,closed,1644.5290747935003,1692.7886241243,48.2592
NFLX,2021-10-13,59.7987,5341.798,2021-10-19,60.6761,4686.79,1.47,4,closed,1597.1628803129997,1620.597348139,23.43395
AMD,2021-10-13,111.4457,2866.2602,2022-01-19,130.9559,55921.16,17.51,67,closed,1597.1618718557002,1876.7684206259003,279.60580000000004
NVDA,2021-10-20,21.6573,14941.8277,2021-12-14,27.7689,91319.73,28.22,38,closed,1617.9982252360498,2074.59059609265,456.59864999999996
TSLA,2021-10-27,338.6368,1040.418,2021-11-16,344.1412,5726.87,1.63,14,closed,1761.619110912,1790.2534951080002,28.63435
DDOG,2021-11-17,172.2318,2075.5532,2021-11-23,162.4189,-20367.08,-5.7,4,closed,1787.3813181587998,1685.5453381773998,-101.8354
TSLA,2021-11-24,364.1326,924.3013,2021-11-30,373.5165,8673.57,2.58,3,closed,1682.8411777619003,1726.2089326072498,43.36785
DDOG,2021-12-01,148.9399,2314.2754,2021-12-07,160.2373,26145.4,7.59,4,closed,1723.4397332423,1854.1662077621002,130.727
MRVL,2021-12-08,90.7308,4080.6236,2022-01-11,85.763,-20271.77,-5.48,23,closed,1851.1912186344,1749.8326090340001,-101.35885
DDOG,2021-12-15,154.8149,2675.7984,2021-12-21,160.6718,15671.97,3.78,4,closed,2071.2673085808,2149.6267268256,78.35985
AVGO,2021-12-22,63.6777,6740.7587,2021-12-28,65.0189,9040.72,2.11,3,closed,2146.18005135495,2191.38357919715,45.203599999999994
DDOG,2021-12-29,162.6815,2689.7601,2022-01-04,142.8113,-53445.87,-12.21,4,closed,2187.87103854075,1920.6406828456497,-267.22935
TSLA,2022-01-05,355.0358,1080.207,2022-01-25,299.6589,-59818.48,-15.6,13,closed,1917.5607820530004,1618.4682069615,-299.0924
QCOM,2022-01-12,180.6722,1933.9178,2022-01-19,167.1523,-26146.3,-7.48,4,closed,1747.0259177258,1616.2940414047,-130.7315
MU,2022-01-20,85.552,4076.4198,2022-01-25,81.1774,-17832.77,-5.11,3,closed,1743.7293336480004,1654.5658033626003,-89.16385000000001
KLAC,2022-01-20,38.4468,9070.8661,2022-01-25,37.1257,-11983.36,-3.44,3,closed,1743.7288738674001,1683.8112678438501,-59.9168
TSLA,2022-04-06,341.2144,966.9171,2022-04-12,322.0257,-18553.92,-5.62,4,closed,1649.6301906312,1556.86077984735,-92.7696
PANW,2022-04-06,94.7054,3483.7085,2022-04-12,95.4998,2767.51,0.84,4,closed,1649.6300348795003,1663.4673250414999,13.837550000000002
NVDA,2022-04-06,23.9218,13791.8582,2022-04-12,21.0765,-39241.77,-11.89,4,closed,1649.6303674438002,1453.4204967615,-196.20884999999998
COST,2022-08-10,543.2806,572.6013,2022-08-16,550.8138,4313.52,1.39,4,closed,1555.4158891239003,1576.9834896897,21.567600000000002
CDNS,2022-08-10,188.8299,1647.4255,2022-08-23,183.4747,-8822.29,-2.84,9,closed,1555.4159621122503,1511.3044969242503,-44.111450000000005
ADP,2022-08-10,254.0711,1224.3942,2022-08-23,255.7896,2104.12,0.68,9,closed,1555.4159061381,1565.9365133016001,10.5206
CRWD,2022-08-17,196.1133,1605.6559,2022-08-23,191.1678,-7940.77,-2.52,4,closed,1574.4523860673503,1534.7485298001002,-39.70385
ASML,2023-02-08,669.9935,458.1722,2023-02-14,660.7075,-4254.59,-1.39,4,closed,1534.8619794035003,1513.5890441574998,-21.27295
BKNG,2023-02-08,98.3323,3121.7862,2023-02-22,96.6556,-5234.3,-1.71,9,closed,1534.8620857713001,1508.6905911636002,-26.1715
AXON,2023-02-08,185.6711,1653.3128,2023-05-09,221.4074,59083.28,19.25,62,closed,1534.8620311004,1830.2784421735998,295.4164
GILD,2023-02-15,84.8925,3560.1716,2023-02-22,84.4731,-1493.14,-0.49,4,closed,1511.159337765,1503.6936579198,-7.465700000000001
FTNT,2023-02-23,60.3893,4980.2669,2023-02-28,59.4207,-4823.89,-1.6,3,closed,1503.77415952085,1479.6547269241498,-24.11945
ABNB,2023-02-23,128.0277,2349.1387,2023-03-07,125.5514,-5817.17,-1.93,8,closed,1503.7741237099501,1474.6882628959002,-29.08585
BKNG,2023-03-01,100.8809,2928.7589,2023-03-21,100.4491,-1264.64,-0.43,14,closed,1477.2791685750499,1470.95597810995,-6.323200000000001
FTNT,2023-03-08,60.569,4861.6311,2023-03-14,59.8701,-3397.79,-1.15,4,closed,1472.3206704795,1455.3317006005498,-16.98895
CDNS,2023-03-15,201.697,1440.7701,2023-03-21,207.5482,8430.23,2.9,4,closed,1452.9950342985,1495.1462043441,42.15115
AMAT,2023-03-22,120.0996,2465.737,2023-03-28,118.5719,-3766.91,-1.27,4,closed,1480.670137026,1461.8356049515003,-18.83455
AMD,2023-03-22,95.6263,3096.7843,2023-04-18,91.5924,-12492.12,-4.22,18,closed,1480.67012253545,1418.2095315965998,-62.46060000000001
BKNG,2023-03-29,102.804,2839.3614,2023-04-11,103.0835,793.6,0.27,8,closed,1459.488546828,1463.4565543845,3.9680000000000004
FTNT,2023-04-12,67.3488,4338.9248,2023-04-25,65.0123,-10137.9,-3.47,9,closed,1461.1068928512,1410.4174038752,-50.6895
BKNG,2023-04-19,107.159,2642.6753,2023-05-02,107.2429,221.72,0.08,9,closed,1415.9322123635002,1417.04081465185,1.1086
CPRT,2023-04-26,38.3624,7341.3162,2023-05-02,38.9864,4580.98,1.63,4,closed,1408.1525429544001,1431.0574494984,22.904899999999998
CCEP,2023-05-03,65.4018,4347.7778,2023-05-16,65.8211,1823.02,0.64,9,closed,1421.7624706002,1430.8775867579,9.1151
AMD,2023-05-03,83.185,3418.3146,2023-05-23,107.3288,82531.1,29.02,14,closed,1421.762500005,1834.4180202024002,412.6555
FTNT,2023-05-10,67.1391,5443.4522,2023-05-16,68.2375,5979.09,1.64,4,closed,1827.3424080051,1857.2378474875,29.89545
APP,2023-05-17,24.5032,13397.5916,2023-05-23,24.7728,3611.99,1.1,4,closed,1641.4193324655998,1659.4792859423999,18.05995
CPRT,2023-05-17,40.609,8084.0175,2023-05-23,44.1936,28977.97,8.83,4,closed,1641.4193332875002,1786.3091789400003,144.88985
SHOP,2023-05-24,57.264,6137.3462,2023-05-31,58.1526,5453.65,1.55,4,closed,1757.2449639840002,1784.5131931505998,27.26825
META,2023-05-24,244.9021,1435.0591,2023-07-05,286.9689,60368.35,17.18,26,closed,1757.24493607055,2059.08665680995,301.84175
NVDA,2023-05-24,30.1317,11663.7626,2023-09-26,41.9979,138404.54,39.38,83,closed,1757.2449776720998,2449.2676764927,692.0227000000001
PLTR,2023-06-01,14.3584,24816.8357,2023-08-22,14.7778,10408.18,2.92,54,closed,1781.6502685744,1833.6911730373,52.0409
TSLA,2023-07-06,277.8326,1479.873,2023-07-25,272.3109,-8171.41,-1.99,12,closed,2055.7848162990003,2014.9277425785003,-40.85705
META,2023-07-26,300.3188,1339.7073,2023-08-29,288.6963,-15570.75,-3.87,24,closed,2011.6964434362003,1933.8427029649501,-77.85375
ADBE,2023-08-23,520.2884,703.7442,2023-09-19,529.6144,6563.12,1.79,18,closed,1830.7497191364,1863.5653111824001,32.8156
PLTR,2023-08-30,15.5167,24885.9748,2023-09-06,15.1273,-9690.6,-2.51,4,closed,1930.7410258958,1882.2880329601999,-48.453
SHOP,2023-09-07,64.3334,5842.2803,2023-09-12,63.4647,-5075.19,-1.35,3,closed,1879.2687772601003,1853.8928327770502,-25.37595
PLTR,2023-09-13,15.5466,23811.2384,2023-12-06,17.6335,49691.67,13.42,54,closed,1850.9189945472,2099.377361632,248.45835
CHTR,2023-09-20,449.315,828.1833,2023-10-03,434.6171,-12172.56,-3.27,9,closed,1860.5758971975001,1799.71312057215,-60.8628
PDD,2023-09-27,94.1286,5195.7471,2024-01-30,125.3217,162071.46,33.14,77,closed,2445.3420023853,3255.6992967103497,810.3573
NVDA,2023-10-04,43.6604,8230.9181,2023-10-17,43.8142,1265.92,0.35,7,closed,1796.8258830662003,1803.1554590851001,6.3296
CRWD,2023-10-18,185.721,1938.6744,2023-11-21,206.8493,40960.89,11.38,23,closed,1800.2627412120003,2005.0672128396002,204.80445
INTC,2023-11-22,43.9939,9100.5874,2023-12-06,42.4063,-14448.09,-3.61,7,closed,2001.8516600842997,1929.6111973031002,-72.24045
ZS,2023-12-07,197.1638,2040.1957,2024-01-03,206.35,18741.65,4.66,16,closed,2011.2636847782999,2104.971913475,93.70825
CRWD,2023-12-07,237.8926,1690.9006,2024-03-19,316.5245,132958.73,33.05,66,closed,2011.2637003777998,2676.0573348235,664.7936500000001
INTC,2024-01-04,45.3619,9265.911,2024-01-09,47.958,24055.23,5.72,2,closed,2101.5966409545,2221.87279869,120.27615
AMD,2024-01-10,149.785,2961.9931,2024-02-13,166.3102,48947.53,11.03,22,closed,2218.3106824175,2463.0483242981004,244.73765
NVDA,2024-01-31,61.3119,10603.1107,2024-02-21,67.8002,68796.16,10.58,14,closed,3250.4843146366497,3594.4651304107,343.98080000000004
META,2024-02-14,468.1867,1050.4786,2024-03-05,493.4287,26516.18,5.39,13,closed,2459.1005457731,2591.6814498790995,132.5809
PANW,2024-02-22,136.4101,5261.6465,2024-02-27,157.723,112140.94,15.62,3,closed,3588.7086261482496,4149.4133545975,560.7047
NVDA,2024-02-28,77.5725,10681.0263,2024-09-04,104.9024,291911.38,35.23,126,closed,4142.76956328375,5602.3264666656,1459.5569
AMD,2024-03-06,209.8048,2466.6053,2024-03-26,179.3106,-75217.15,-14.53,14,closed,2587.5281582272,2211.4423815309,-376.08574999999996
META,2024-03-20,498.7208,1071.4488,2024-03-26,504.7418,6451.19,1.21,4,closed,2671.7690134751997,2704.0249795992,32.25595
MU,2024-03-27,118.8814,4128.1386,2024-04-02,122.0866,13231.51,2.7,3,closed,2453.7944808102,2519.9520300138,66.15755
MSTR,2024-03-27,195.2098,2514.0074,2024-04-16,130.1565,-163544.48,-33.32,13,closed,2453.7944087626,1636.0720207905,-817.7224000000001
ARM,2024-04-03,122.8255,4096.728,2024-04-23,96.8745,-106314.19,-21.13,14,closed,2515.9133248200005,1984.3423831799998,-531.57095
MU,2024-04-17,122.1465,2674.5694,2024-07-02,129.5454,19788.87,6.06,48,closed,1633.4464560855,1732.3908137537999,98.94435
META,2024-04-24,507.7073,780.4339,2024-04-30,430.9826,-59878.56,-15.11,3,closed,1981.15994098735,1681.7671567507002,-299.3928
ARM,2024-05-01,99.6203,3370.9365,2024-05-21,109.3358,32750.33,9.75,12,closed,1679.0685270547501,1842.8201948834999,163.75165
QCOM,2024-05-22,202.5557,1816.65,2024-05-29,208.337,10502.6,2.85,3,closed,1839.8640620250003,1892.37705525,52.513000000000005
ARM,2024-05-30,120.8784,3126.0203,2024-08-06,115.0372,-18259.71,-4.83,46,closed,1889.3416611576001,1798.0431122758,-91.29854999999999
CRWD,2024-07-03,382.9647,903.2745,2024-07-09,391.3121,7539.99,2.18,3,closed,1729.6112395507498,1767.31120735725,37.69995
AVGO,2024-07-10,174.3481,2024.0837,2024-07-16,171.9117,-4931.48,-1.4,4,closed,1764.47573667985,1739.8183490464498,-24.6574
PLTR,2024-07-17,27.8681,12466.0588,2024-07-23,28.4273,6971.02,2.01,4,closed,1737.0268662214,1771.8819666262,34.8551
ALNY,2024-07-24,230.6535,1533.9366,2024-07-30,236.2451,8577.16,2.42,4,closed,1769.0392278405,1811.9250273033,42.8858
TSLA,2024-07-31,227.2586,1592.035,2024-08-06,199.8697,-43604.09,-12.05,4,closed,1809.0182262550002,1590.9977891975002,-218.02044999999998
WMT,2024-08-07,67.6184,5003.9676,2024-08-13,68.3373,3597.35,1.06,4,closed,1691.8014138192,1709.7881753574002,17.98675
PLTR,2024-08-07,26.8397,12606.7088,2025-03-11,75.5465,614032.44,181.47,141,closed,1691.8014108968002,4761.963631796,3070.1621999999998
TMUS,2024-08-14,194.4778,1755.5163,2024-08-20,196.7045,3909.01,1.14,4,closed,1707.0447394407,1726.58978016675,19.54505
MELI,2024-08-21,2006.6555,171.8102,2024-08-27,1997.0,-1658.91,-0.48,4,closed,1723.8194139305,1715.5248470000001,-8.294550000000001
MSTR,2024-08-28,136.8944,2502.3262,2024-09-04,120.1295,-41951.25,-12.25,4,closed,1712.7722187663999,1503.0159762145,-209.75625
WMT,2024-09-05,77.214,9187.4052,2024-09-24,80.1796,27246.17,3.84,13,closed,3546.981525564,3683.2123698695996,136.23085
MELI,2024-09-05,1987.015,357.0161,2024-09-24,2109.491,43725.9,6.16,13,closed,3546.9817297075,3765.6112490255,218.6295
TSLA,2024-09-25,252.0314,2950.781,2024-10-08,243.1647,-26163.69,-3.52,9,closed,3718.4473326169996,3587.6288831535,-130.81844999999998
APP,2024-09-25,127.9578,5811.9902,2025-03-11,237.1437,634587.38,85.33,107,closed,3718.4473980678003,6891.3843019587,3172.9369
