symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
META,2023-05-03,239.0709,2089.7538,2023-09-05,296.8041,120648.17,24.15,85,mega,24.15
NVDA,2023-05-03,27.8112,17963.9613,2023-11-02,43.3279,278741.4,55.79,137,mega,55.79
ADBE,2023-09-06,559.6593,1106.4837,2023-10-02,507.3978,-57826.5,-9.34,20,mega,-9.34
AKAM,2023-10-03,106.0906,5283.4825,2023-11-02,103.5944,-13188.63,-2.35,30,large,-2.35
ACGL,2023-11-03,86.3603,7662.9917,2023-12-02,82.3663,-30605.99,-4.62,29,large,-4.62
ADBE,2023-11-03,557.8819,1186.2336,2023-12-02,618.1714,71517.43,10.81,29,mega,10.81
EXPE,2023-12-03,135.9458,5010.3886,2024-02-02,149.8549,69690.0,10.23,61,large,10.23
INTC,2023-12-03,44.5531,15288.3029,2024-02-02,42.8856,-25493.25,-3.74,61,mega,-3.74
AMD,2024-02-03,173.8289,4039.1062,2024-04-02,179.4005,22504.28,3.21,59,mega,3.21
NVDA,2024-02-03,63.932,10982.1901,2024-08-02,103.5744,435360.37,62.01,181,mega,62.01
SMCI,2024-04-03,97.5305,7417.7535,2024-06-02,80.9784,-122779.4,-16.97,60,large,-16.97
FSLR,2024-06-03,272.5605,2200.3023,2024-07-02,221.7269,-111849.29,-18.65,29,large,-18.65
NTAP,2024-07-03,129.6053,3758.2124,2024-08-02,119.82,-36775.24,-7.55,30,large,-7.55
CHTR,2024-08-03,376.4645,2105.4314,2024-09-02,353.1595,-49067.08,-6.19,30,large,-6.19
CHRW,2024-08-03,100.519,7885.2771,2024-10-02,108.7367,64798.84,8.18,60,large,8.18
MPWR,2024-09-03,917.6215,809.0072,2024-10-02,894.4864,-18716.46,-2.52,29,large,-2.52
AXON,2024-10-03,403.0544,1958.2136,2025-01-02,602.1555,389882.49,49.4,91,large,49.4
PLTR,2024-10-03,37.3339,21140.7493,2025-04-02,82.536,955606.26,121.08,181,mega,121.08
UAL,2025-01-03,94.9573,12397.8038,2025-03-02,92.7506,-27358.23,-2.32,58,large,-2.32
WBD,2025-03-03,11.4627,100156.4526,2025-04-02,10.0249,-144004.95,-12.54,30,large,-12.54
CRWD,2025-06-03,479.4296,2862.2894,2025-07-02,488.4662,25865.36,1.88,29,large,1.88
PLTR,2025-06-03,132.8104,10332.5211,2025-07-02,131.0531,-18157.34,-1.32,29,mega,-1.32
COIN,2025-07-03,338.5014,4058.8259,2025-08-02,353.469,60750.88,4.42,30,large,4.42
WDC,2025-07-03,63.4746,21645.1659,2026-04-02,298.8501,5094741.75,370.82,273,large,370.82
AMD,2025-08-03,175.6161,8156.2766,2025-09-02,162.2862,-108722.35,-7.59,30,mega,-7.59
WYNN,2025-09-03,124.7825,10590.6918,2025-10-02,132.0715,77195.55,5.84,29,large,5.84
INTC,2025-10-03,37.1242,37616.7129,2025-11-02,41.1681,152118.23,10.89,30,mega,10.89
WBD,2025-11-03,22.3963,69035.0999,2025-12-02,23.8641,101329.72,6.55,29,large,6.55
SNDK,2025-12-03,196.1054,8387.4524,2026-04-02,643.1501,3749566.12,227.96,120,large,227.96
AMD,2026-05-03,352.5,16800.115,2026-06-02,508.74,2624849.97,44.32,30,mega,44.32
WDC,2026-05-03,410.0,14444.0014,2026-06-02,547.01,1978972.63,33.42,30,large,33.42
