Symbol,Series
AAPL,EQ
ABNB,EQ
ADBE,EQ
ADI,EQ
ADP,EQ
ADSK,EQ
AEP,EQ
ALNY,EQ
AMAT,EQ
AMD,EQ
AMGN,EQ
AMZN,EQ
APP,EQ
ARM,EQ
ASML,EQ
AVGO,EQ
AXON,EQ
BKNG,EQ
BKR,EQ
CCEP,EQ
CDNS,EQ
CEG,EQ
CHTR,EQ
CMCSA,EQ
COST,EQ
CPRT,EQ
CRWD,EQ
CSCO,EQ
CSX,EQ
CTAS,EQ
CTSH,EQ
DASH,EQ
DDOG,EQ
DXCM,EQ
EA,EQ
EXC,EQ
FANG,EQ
FAST,EQ
FER,EQ
FTNT,EQ
GEHC,EQ
GILD,EQ
GOOG,EQ
GOOGL,EQ
HON,EQ
IDXX,EQ
INSM,EQ
INTC,EQ
INTU,EQ
ISRG,EQ
KDP,EQ
KHC,EQ
KLAC,EQ
LIN,EQ
LITE,EQ
LRCX,EQ
MAR,EQ
MCHP,EQ
MDLZ,EQ
MELI,EQ
META,EQ
MNST,EQ
MPWR,EQ
MRVL,EQ
MSFT,EQ
MSTR,EQ
MU,EQ
NFLX,EQ
NVDA,EQ
NXPI,EQ
ODFL,EQ
ORLY,EQ
PANW,EQ
PAYX,EQ
PCAR,EQ
PDD,EQ
PEP,EQ
PLTR,EQ
PYPL,EQ
QCOM,EQ
REGN,EQ
ROP,EQ
ROST,EQ
SBUX,EQ
SHOP,EQ
SNDK,EQ
SNPS,EQ
STX,EQ
TMUS,EQ
TRI,EQ
TSLA,EQ
TTWO,EQ
TXN,EQ
VRSK,EQ
VRTX,EQ
WBD,EQ
WDAY,EQ
WDC,EQ
WMT,EQ
XEL,EQ
ZS,EQ
MMM,EQ
AOS,EQ
ABT,EQ
ABBV,EQ
ACN,EQ
AES,EQ
AFL,EQ
A,EQ
APD,EQ
AKAM,EQ
ALB,EQ
ARE,EQ
ALGN,EQ
ALLE,EQ
LNT,EQ
ALL,EQ
MO,EQ
AMCR,EQ
AEE,EQ
AXP,EQ
AIG,EQ
AMT,EQ
AWK,EQ
AMP,EQ
AME,EQ
APH,EQ
AON,EQ
APA,EQ
APO,EQ
APTV,EQ
ACGL,EQ
ADM,EQ
ARES,EQ
ANET,EQ
AJG,EQ
AIZ,EQ
T,EQ
ATO,EQ
AZO,EQ
AVB,EQ
AVY,EQ
BALL,EQ
BAC,EQ
BAX,EQ
BDX,EQ
BRK-B,EQ
BBY,EQ
TECH,EQ
BIIB,EQ
BLK,EQ
BX,EQ
XYZ,EQ
BNY,EQ
BA,EQ
BSX,EQ
BMY,EQ
BR,EQ
BRO,EQ
BF-B,EQ
BLDR,EQ
BG,EQ
BXP,EQ
CHRW,EQ
CPT,EQ
CPB,EQ
COF,EQ
CAH,EQ
CCL,EQ
CARR,EQ
CVNA,EQ
CASY,EQ
CAT,EQ
CBOE,EQ
CBRE,EQ
CDW,EQ
COR,EQ
CNC,EQ
CNP,EQ
CF,EQ
CRL,EQ
SCHW,EQ
CVX,EQ
CMG,EQ
CB,EQ
CHD,EQ
CIEN,EQ
CI,EQ
CINF,EQ
C,EQ
CFG,EQ
CLX,EQ
CME,EQ
CMS,EQ
KO,EQ
COHR,EQ
COIN,EQ
CL,EQ
FIX,EQ
CAG,EQ
COP,EQ
ED,EQ
STZ,EQ
COO,EQ
GLW,EQ
CPAY,EQ
CTVA,EQ
CSGP,EQ
CRH,EQ
CCI,EQ
CMI,EQ
CVS,EQ
DHR,EQ
DRI,EQ
DVA,EQ
DECK,EQ
DE,EQ
DELL,EQ
DAL,EQ
DVN,EQ
DLR,EQ
DG,EQ
DLTR,EQ
D,EQ
DPZ,EQ
DOV,EQ
DOW,EQ
DHI,EQ
DTE,EQ
DUK,EQ
DD,EQ
ETN,EQ
EBAY,EQ
SATS,EQ
ECL,EQ
EIX,EQ
EW,EQ
ELV,EQ
EME,EQ
EMR,EQ
ETR,EQ
EOG,EQ
EPAM,EQ
EQT,EQ
EFX,EQ
EQIX,EQ
EQR,EQ
ERIE,EQ
ESS,EQ
EL,EQ
EG,EQ
EVRG,EQ
ES,EQ
EXE,EQ
EXPE,EQ
EXPD,EQ
EXR,EQ
XOM,EQ
FFIV,EQ
FDS,EQ
FICO,EQ
FRT,EQ
FDX,EQ
FIS,EQ
FITB,EQ
FSLR,EQ
FE,EQ
FISV,EQ
F,EQ
FTV,EQ
FOXA,EQ
FOX,EQ
BEN,EQ
FCX,EQ
GRMN,EQ
IT,EQ
GE,EQ
GEV,EQ
GEN,EQ
GNRC,EQ
GD,EQ
GIS,EQ
GM,EQ
GPC,EQ
GPN,EQ
GL,EQ
GDDY,EQ
GS,EQ
HAL,EQ
HIG,EQ
HAS,EQ
HCA,EQ
DOC,EQ
HSIC,EQ
HSY,EQ
HPE,EQ
HLT,EQ
HD,EQ
HRL,EQ
HST,EQ
HWM,EQ
HPQ,EQ
HUBB,EQ
HUM,EQ
HBAN,EQ
HII,EQ
IBM,EQ
IEX,EQ
ITW,EQ
INCY,EQ
IR,EQ
PODD,EQ
IBKR,EQ
ICE,EQ
IFF,EQ
IP,EQ
IVZ,EQ
INVH,EQ
IQV,EQ
IRM,EQ
JBHT,EQ
JBL,EQ
JKHY,EQ
J,EQ
JNJ,EQ
JCI,EQ
JPM,EQ
KVUE,EQ
KEY,EQ
KEYS,EQ
KMB,EQ
KIM,EQ
KMI,EQ
KKR,EQ
KR,EQ
LHX,EQ
LH,EQ
LVS,EQ
LDOS,EQ
LEN,EQ
LII,EQ
LLY,EQ
LYV,EQ
LMT,EQ
L,EQ
LOW,EQ
LULU,EQ
LYB,EQ
MTB,EQ
MPC,EQ
MRSH,EQ
MLM,EQ
MAS,EQ
MA,EQ
MKC,EQ
MCD,EQ
MCK,EQ
MDT,EQ
MRK,EQ
MET,EQ
MTD,EQ
MGM,EQ
MAA,EQ
MRNA,EQ
TAP,EQ
MCO,EQ
MS,EQ
MOS,EQ
MSI,EQ
MSCI,EQ
NDAQ,EQ
NTAP,EQ
NEM,EQ
NWSA,EQ
NWS,EQ
NEE,EQ
NKE,EQ
NI,EQ
NDSN,EQ
NSC,EQ
NTRS,EQ
NOC,EQ
NCLH,EQ
NRG,EQ
NUE,EQ
NVR,EQ
OXY,EQ
OMC,EQ
ON,EQ
OKE,EQ
ORCL,EQ
OTIS,EQ
PKG,EQ
PSKY,EQ
PH,EQ
PNR,EQ
PFE,EQ
PCG,EQ
PM,EQ
PSX,EQ
PNW,EQ
PNC,EQ
POOL,EQ
PPG,EQ
PPL,EQ
PFG,EQ
PG,EQ
PGR,EQ
PLD,EQ
PRU,EQ
PEG,EQ
PTC,EQ
PSA,EQ
PHM,EQ
PWR,EQ
DGX,EQ
Q,EQ
RL,EQ
RJF,EQ
RTX,EQ
O,EQ
REG,EQ
RF,EQ
RSG,EQ
RMD,EQ
RVTY,EQ
HOOD,EQ
ROK,EQ
ROL,EQ
RCL,EQ
SPGI,EQ
CRM,EQ
SBAC,EQ
SLB,EQ
SRE,EQ
NOW,EQ
SHW,EQ
SPG,EQ
SWKS,EQ
SJM,EQ
SW,EQ
SNA,EQ
SOLV,EQ
SO,EQ
LUV,EQ
SWK,EQ
STT,EQ
STLD,EQ
STE,EQ
SYK,EQ
SMCI,EQ
SYF,EQ
SYY,EQ
TROW,EQ
TPR,EQ
TRGP,EQ
TGT,EQ
TEL,EQ
TDY,EQ
TER,EQ
TPL,EQ
TXT,EQ
TMO,EQ
TJX,EQ
TKO,EQ
TTD,EQ
TSCO,EQ
TT,EQ
TDG,EQ
TRV,EQ
TRMB,EQ
TFC,EQ
TYL,EQ
TSN,EQ
USB,EQ
UBER,EQ
UDR,EQ
ULTA,EQ
UNP,EQ
UAL,EQ
UPS,EQ
URI,EQ
UNH,EQ
UHS,EQ
VLO,EQ
VEEV,EQ
VTR,EQ
VLTO,EQ
VRSN,EQ
VZ,EQ
VRT,EQ
VTRS,EQ
VICI,EQ
V,EQ
VST,EQ
VMC,EQ
WRB,EQ
GWW,EQ
WAB,EQ
DIS,EQ
WM,EQ
WAT,EQ
WEC,EQ
WFC,EQ
WELL,EQ
WST,EQ
WY,EQ
WSM,EQ
WMB,EQ
WTW,EQ
WYNN,EQ
XYL,EQ
YUM,EQ
ZBRA,EQ
ZBH,EQ
ZTS,EQ
