symbol,start_date,end_date
AAPL,2021-01-01,2099-12-31
ABNB,2021-12-20,2099-12-31
ADBE,2021-01-01,2099-12-31
ADI,2021-01-01,2099-12-31
ADP,2021-01-01,2099-12-31
ADSK,2021-01-01,2099-12-31
AEP,2021-01-01,2099-12-31
ALGN,2021-01-01,2023-12-18
ALNY,2025-12-22,2099-12-31
ALXN,2021-01-01,2021-07-21
AMAT,2021-01-01,2099-12-31
AMD,2021-01-01,2099-12-31
AMGN,2021-01-01,2099-12-31
AMZN,2021-01-01,2099-12-31
ANSS,2021-01-01,2025-07-17
APP,2024-11-18,2099-12-31
ARM,2024-06-24,2099-12-31
ASML,2021-01-01,2099-12-31
ATVI,2021-01-01,2023-07-17
AVGO,2021-01-01,2099-12-31
AXON,2024-12-23,2099-12-31
AZN,2022-02-22,2026-01-20
BIDU,2021-01-01,2022-12-19
BIIB,2021-01-01,2025-12-22
BKNG,2021-01-01,2099-12-31
BKR,2022-12-19,2099-12-31
CCEP,2023-12-18,2099-12-31
CDNS,2021-01-01,2099-12-31
CDW,2023-12-18,2021-12-20
CEG,2022-02-02,2099-12-31
CERN,2021-01-01,2021-12-20
CHKP,2021-01-01,2021-12-20
CHTR,2021-01-01,2099-12-31
CMCSA,2021-01-01,2099-12-31
COST,2021-01-01,2099-12-31
CPRT,2021-01-01,2099-12-31
CRWD,2021-08-26,2099-12-31
CSCO,2021-01-01,2099-12-31
CSGP,2022-12-19,2026-05-18
CSX,2021-01-01,2099-12-31
CTAS,2021-01-01,2099-12-31
CTSH,2021-01-01,2099-12-31
DASH,2023-12-18,2099-12-31
DDOG,2021-12-20,2099-12-31
DLTR,2021-01-01,2024-11-18
DOCU,2021-01-01,2022-12-19
DXCM,2021-01-01,2099-12-31
EA,2021-01-01,2099-12-31
EBAY,2021-01-01,2023-12-18
ENPH,2022-11-21,2023-12-18
EXC,2021-01-01,2099-12-31
FANG,2022-12-19,2099-12-31
FAST,2021-01-01,2099-12-31
FER,2025-12-22,2099-12-31
FI,2021-01-01,2023-06-07
FOX,2021-01-01,2021-12-20
FOXA,2021-01-01,2021-12-20
FTNT,2021-12-20,2099-12-31
GEHC,2023-06-07,2099-12-31
GFS,2022-12-19,2025-12-22
GILD,2021-01-01,2099-12-31
GOOG,2021-01-01,2099-12-31
GOOGL,2021-01-01,2099-12-31
HON,2021-07-21,2099-12-31
IDXX,2021-01-01,2099-12-31
ILMN,2021-01-01,2024-12-23
INCY,2021-01-01,2021-12-20
INSM,2025-12-22,2099-12-31
INTC,2021-01-01,2099-12-31
INTU,2021-01-01,2099-12-31
ISRG,2021-01-01,2099-12-31
JD,2021-01-01,2023-12-18
KDP,2021-01-01,2099-12-31
KHC,2021-01-01,2099-12-31
KLAC,2021-01-01,2099-12-31
LCID,2021-12-20,2023-12-18
LIN,2024-03-18,2099-12-31
LITE,2026-05-18,2099-12-31
LRCX,2021-01-01,2099-12-31
LULU,2021-01-01,2025-12-22
MAR,2021-01-01,2099-12-31
MCHP,2021-01-01,2099-12-31
MDB,2023-12-18,2025-05-19
MDLZ,2021-01-01,2099-12-31
MELI,2021-01-01,2099-12-31
META,2021-01-01,2099-12-31
MNST,2021-01-01,2099-12-31
MPWR,2025-12-22,2099-12-31
MRNA,2021-01-01,2024-12-23
MRVL,2021-01-01,2099-12-31
MSFT,2021-01-01,2099-12-31
MSTR,2024-12-23,2099-12-31
MTCH,2021-01-01,2022-12-19
MU,2021-01-01,2099-12-31
MXIM,2021-01-01,2021-08-26
NAN,2026-01-09,2022-02-02
NFLX,2021-01-01,2099-12-31
NTES,2021-01-01,2022-12-19
NVDA,2021-01-01,2099-12-31
NXPI,2021-01-01,2099-12-31
ODFL,2022-01-24,2099-12-31
OKTA,2021-01-01,2022-11-21
ON,2023-06-20,2025-12-22
ORLY,2021-01-01,2099-12-31
PANW,2021-12-20,2099-12-31
PAYX,2021-01-01,2099-12-31
PCAR,2021-01-01,2099-12-31
PDD,2021-01-01,2099-12-31
PEP,2021-01-01,2099-12-31
PLTR,2024-12-23,2099-12-31
PTON,2021-01-01,2022-01-24
PYPL,2021-01-01,2099-12-31
QCOM,2021-01-01,2099-12-31
REGN,2021-01-01,2099-12-31
RIVN,2022-12-19,2023-06-20
ROP,2023-12-18,2099-12-31
ROST,2021-01-01,2099-12-31
SBUX,2021-01-01,2099-12-31
SGEN,2021-01-01,2023-12-14
SHOP,2025-05-19,2099-12-31
SIRI,2021-01-01,2024-06-24
SMCI,2024-07-22,2024-12-23
SNDK,2026-04-20,2099-12-31
SNPS,2021-01-01,2099-12-31
SOLS,2025-10-30,2025-11-06
SPLK,2023-12-18,2022-12-19
STX,2025-12-22,2099-12-31
SWKS,2021-01-01,2022-12-19
TCOM,2021-01-01,2021-12-20
TEAM,2021-01-01,2026-04-20
TMUS,2021-01-01,2099-12-31
TRI,2025-07-28,2099-12-31
TSLA,2021-01-01,2099-12-31
TTD,2023-07-17,2025-12-22
TTWO,2023-12-14,2099-12-31
TXN,2021-01-01,2099-12-31
VRSK,2021-01-01,2099-12-31
VRSN,2021-01-01,2022-12-19
VRTX,2021-01-01,2099-12-31
VSNT,2026-01-05,2026-01-09
WBA,2021-01-01,2024-07-22
WBD,2022-12-19,2099-12-31
WDAY,2021-01-01,2099-12-31
WDC,2025-12-22,2099-12-31
WMT,2026-01-20,2099-12-31
XEL,2021-01-01,2099-12-31
XLNX,2021-01-01,2022-02-22
ZM,2021-01-01,2023-12-18
ZS,2021-12-20,2099-12-31
