Symbol,Series
AAPL,EQ
ABNB,EQ
ADBE,EQ
ADI,EQ
ADP,EQ
ADSK,EQ
AEP,EQ
ALNY,EQ
AMAT,EQ
AMD,EQ
AMGN,EQ
AMZN,EQ
APP,EQ
ARM,EQ
ASML,EQ
AVGO,EQ
AXON,EQ
BKNG,EQ
BKR,EQ
CCEP,EQ
CDNS,EQ
CEG,EQ
CHTR,EQ
CMCSA,EQ
COST,EQ
CPRT,EQ
CRWD,EQ
CSCO,EQ
CSX,EQ
CTAS,EQ
CTSH,EQ
DASH,EQ
DDOG,EQ
DXCM,EQ
EA,EQ
EXC,EQ
FANG,EQ
FAST,EQ
FER,EQ
FTNT,EQ
GEHC,EQ
GILD,EQ
GOOG,EQ
GOOGL,EQ
HON,EQ
IDXX,EQ
INSM,EQ
INTC,EQ
INTU,EQ
ISRG,EQ
KDP,EQ
KHC,EQ
KLAC,EQ
LIN,EQ
LITE,EQ
LRCX,EQ
MAR,EQ
MCHP,EQ
MDLZ,EQ
MELI,EQ
META,EQ
MNST,EQ
MPWR,EQ
MRVL,EQ
MSFT,EQ
MSTR,EQ
MU,EQ
NFLX,EQ
NXPI,EQ
ODFL,EQ
ORLY,EQ
PANW,EQ
PAYX,EQ
PCAR,EQ
PDD,EQ
PEP,EQ
PLTR,EQ
PYPL,EQ
QCOM,EQ
REGN,EQ
ROP,EQ
ROST,EQ
SBUX,EQ
SHOP,EQ
SNDK,EQ
SNPS,EQ
STX,EQ
TMUS,EQ
TRI,EQ
TSLA,EQ
TTWO,EQ
TXN,EQ
VRSK,EQ
VRTX,EQ
WBD,EQ
WDAY,EQ
WDC,EQ
WMT,EQ
XEL,EQ
ZS,EQ
