Symbol,Series
NVDA,EQ
GOOGL,EQ
GOOG,EQ
AAPL,EQ
MSFT,EQ
AMZN,EQ
AVGO,EQ
TSLA,EQ
META,EQ
WMT,EQ
MU,EQ
AMD,EQ
ASML,EQ
INTC,EQ
CSCO,EQ
COST,EQ
LRCX,EQ
NFLX,EQ
AMAT,EQ
PLTR,EQ
ARM,EQ
TXN,EQ
QCOM,EQ
KLAC,EQ
LIN,EQ
SNDK,EQ
PANW,EQ
TMUS,EQ
PEP,EQ
ADI,EQ
AMGN,EQ
STX,EQ
MRVL,EQ
CRWD,EQ
WDC,EQ
GILD,EQ
APP,EQ
ISRG,EQ
HON,EQ
IBKR,EQ
PDD,EQ
SHOP,EQ
BKNG,EQ
SBUX,EQ
VRTX,EQ
SNY,EQ
EQIX,EQ
CEG,EQ
CME,EQ
CDNS,EQ
SNPS,EQ
ADBE,EQ
FTNT,EQ
MAR,EQ
ADP,EQ
CMCSA,EQ
INTU,EQ
MNST,EQ
CSX,EQ
MELI,EQ
NXPI,EQ
ABNB,EQ
MDLZ,EQ
DDOG,EQ
RKLB,EQ
MPWR,EQ
ORLY,EQ
ROST,EQ
NTES,EQ
LITE,EQ
AEP,EQ
DASH,EQ
CTAS,EQ
WBD,EQ
REGN,EQ
HOOD,EQ
BKR,EQ
CRWV,EQ
PCAR,EQ
FANG,EQ
TER,EQ
MSTR,EQ
CBRS,EQ
NBIS,EQ
BRKRP,EQ
ALAB,EQ
EBAY,EQ
NDAQ,EQ
ADSK,EQ
HBANL,EQ
XEL,EQ
MCHP,EQ
FAST,EQ
EA,EQ
ARGX,EQ
COIN,EQ
MDLN,EQ
FER,EQ
FLEX,EQ
GFS,EQ
EXC,EQ
ON,EQ
ERIC,EQ
FITB,EQ
HBANM,EQ
IDXX,EQ
ODFL,EQ
BIDU,EQ
MCHPP,EQ
CCEP,EQ
TTWO,EQ
JD,EQ
HBANZ,EQ
ASTS,EQ
CRDO,EQ
ALNY,EQ
KDP,EQ
PYPL,EQ
BTSGU,EQ
TRI,EQ
WSE,EQ
SATS,EQ
ESLT,EQ
STRF,EQ
