Symbol,Series
TSLA,EQ
NVDA,EQ
QQQ,EQ
MSTR,EQ
PLTR,EQ
AAPL,EQ
AMZN,EQ
MSFT,EQ
META,EQ
AVGO,EQ
AMD,EQ
COIN,EQ
GOOGL,EQ
GOOG,EQ
TLT,EQ
LLY,EQ
UNH,EQ
MU,EQ
APP,EQ
CRM,EQ
TQQQ,EQ
BA,EQ
MARA,EQ
ADBE,EQ
INTC,EQ
UBER,EQ
COST,EQ
SHOP,EQ
DELL,EQ
MRVL,EQ
JPM,EQ
ASML,EQ
ORCL,EQ
CRWD,EQ
GSAT,EQ
XOM,EQ
APO,EQ
VST,EQ
VRT,EQ
GLD,EQ
QCOM,EQ
ARM,EQ
V,EQ
BAC,EQ
WMT,EQ
RGTI,EQ
PFE,EQ
AMAT,EQ
AMGN,EQ
PDD,EQ
MELI,EQ
INTU,EQ
GS,EQ
HD,EQ
HOOD,EQ
ETN,EQ
DIS,EQ
JNJ,EQ
TMO,EQ
OXY,EQ
ABBV,EQ
MA,EQ
DDOG,EQ
SOFI,EQ
WFC,EQ
GEV,EQ
MRK,EQ
WDAY,EQ
XYZ,EQ
TXN,EQ
HON,EQ
PANW,EQ
CCL,EQ
TGT,EQ
LULU,EQ
CSCO,EQ
PEP,EQ
KO,EQ
C,EQ
TMUS,EQ
MDB,EQ
PG,EQ
SBUX,EQ
HSY,EQ
LIN,EQ
SLB,EQ
AMCR,EQ
ABNB,EQ
AFRM,EQ
NKE,EQ
PYPL,EQ
MPWR,EQ
ACN,EQ
LRCX,EQ
CVS,EQ
VRTX,EQ
ZTS,EQ
GE,EQ
MS,EQ
REGN,EQ
MCD,EQ
RCL,EQ
RKLB,EQ
CMCSA,EQ
RIVN,EQ
TDG,EQ
NEE,EQ
ANET,EQ
ISRG,EQ
DHR,EQ
AXON,EQ
IBM,EQ
ELV,EQ
CAT,EQ
TEAM,EQ
FSLR,EQ
TT,EQ
SNPS,EQ
TTD,EQ
BLK,EQ
CI,EQ
F,EQ
GILD,EQ
PLD,EQ
AXP,EQ
VZ,EQ
COP,EQ
BMY,EQ
SHW,EQ
RIOT,EQ
LMT,EQ
BX,EQ
CARR,EQ
COF,EQ
NXPI,EQ
UNP,EQ
LOW,EQ
MCHP,EQ
DLR,EQ
UAL,EQ
HUM,EQ
SCHW,EQ
GM,EQ
DE,EQ
VEEV,EQ
PGR,EQ
ADSK,EQ
UPS,EQ
AON,EQ
EW,EQ
AMT,EQ
CDNS,EQ
AAL,EQ
DECK,EQ
MDLZ,EQ
FTNT,EQ
CME,EQ
AJG,EQ
TJX,EQ
CHTR,EQ
MRNA,EQ
BDX,EQ
FDX,EQ
DKNG,EQ
PM,EQ
FISV,EQ
KKR,EQ
CMG,EQ
NCLH,EQ
HPE,EQ
FCX,EQ
COHR,EQ
HCA,EQ
ZS,EQ
ULTA,EQ
URI,EQ
O,EQ
RTX,EQ
SYK,EQ
