Symbol,Series
TSLA,EQ
NVDA,EQ
AAPL,EQ
AVGO,EQ
GOOGL,EQ
MSFT,EQ
META,EQ
AMZN,EQ
GOOG,EQ
PLTR,EQ
AMD,EQ
MU,EQ
NFLX,EQ
HOOD,EQ
ORCL,EQ
SNDK,EQ
LLY,EQ
INTC,EQ
COST,EQ
COIN,EQ
APP,EQ
LRCX,EQ
CSCO,EQ
WMT,EQ
WBD,EQ
GEV,EQ
JPM,EQ
PFE,EQ
AMAT,EQ
UNH,EQ
WDC,EQ
PEP,EQ
LIN,EQ
SNPS,EQ
CRM,EQ
PANW,EQ
UBER,EQ
TXN,EQ
PG,EQ
V,EQ
AMGN,EQ
CMCSA,EQ
CAT,EQ
ADBE,EQ
JNJ,EQ
BA,EQ
HD,EQ
ISRG,EQ
ABBV,EQ
QCOM,EQ
TMUS,EQ
KVUE,EQ
MRK,EQ
BAC,EQ
MA,EQ
NKE,EQ
C,EQ
PYPL,EQ
CRWD,EQ
ETN,EQ
XOM,EQ
DIS,EQ
GS,EQ
GILD,EQ
LULU,EQ
KMB,EQ
INTU,EQ
TMO,EQ
GE,EQ
AMCR,EQ
REGN,EQ
DDOG,EQ
APH,EQ
SMCI,EQ
CEG,EQ
SBUX,EQ
HON,EQ
VZ,EQ
KO,EQ
ACN,EQ
ANET,EQ
DHR,EQ
LEN,EQ
EXPE,EQ
ZTS,EQ
IBM,EQ
AXON,EQ
MS,EQ
WFC,EQ
BMY,EQ
ROST,EQ
NEM,EQ
WDAY,EQ
TJX,EQ
COF,EQ
PM,EQ
FISV,EQ
HPE,EQ
AXP,EQ
TTD,EQ
