Symbol,Series
AAPL,EQ
ABBV,EQ
ABT,EQ
ACN,EQ
ADBE,EQ
AMAT,EQ
AMD,EQ
AMGN,EQ
AMT,EQ
AMZN,EQ
AVGO,EQ
AXP,EQ
BA,EQ
BAC,EQ
BKNG,EQ
BLK,EQ
BMY,EQ
BNY,EQ
BRK.B,EQ
C,EQ
CAT,EQ
CL,EQ
CMCSA,EQ
COF,EQ
COP,EQ
COST,EQ
CRM,EQ
CSCO,EQ
CVS,EQ
CVX,EQ
DE,EQ
DHR,EQ
DIS,EQ
DUK,EQ
EMR,EQ
FDX,EQ
GD,EQ
GE,EQ
GEV,EQ
GILD,EQ
GM,EQ
GOOG,EQ
GOOGL,EQ
GS,EQ
HD,EQ
HON,EQ
IBM,EQ
INTC,EQ
INTU,EQ
ISRG,EQ
JNJ,EQ
JPM,EQ
KO,EQ
LIN,EQ
LLY,EQ
LMT,EQ
LOW,EQ
LRCX,EQ
MA,EQ
MCD,EQ
MDLZ,EQ
MDT,EQ
META,EQ
MMM,EQ
MO,EQ
MRK,EQ
MS,EQ
MSFT,EQ
MU,EQ
NEE,EQ
NFLX,EQ
NKE,EQ
NOW,EQ
NVDA,EQ
ORCL,EQ
PEP,EQ
PFE,EQ
PG,EQ
PLTR,EQ
PM,EQ
QCOM,EQ
RTX,EQ
SBUX,EQ
SCHW,EQ
SO,EQ
SPG,EQ
T,EQ
TMO,EQ
TMUS,EQ
TSLA,EQ
TXN,EQ
UBER,EQ
UNH,EQ
UNP,EQ
UPS,EQ
USB,EQ
V,EQ
VZ,EQ
WFC,EQ
WMT,EQ
XOM,EQ
